id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,jump_target,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_bowwowparadise_04_e_1,40010,event_bowwowparadise_04_e,Narration,Narration,Locale_SubScenario:event_bowwowparadise_04_e_1,False,SchoolCorridor,black,black,1.0,bgm_story_orangepop,,,,,biscuit,1,idle,liter,13,idle,,centi_c,15,idle,
event_bowwowparadise_04_e_2,40010,event_bowwowparadise_04_e,Speech,liter,Locale_SubScenario:event_bowwowparadise_04_e_2,True,,12,12,1.0,,liter,,,,,1,idle,,13,idle,,,15,idle,
event_bowwowparadise_04_e_3,40010,event_bowwowparadise_04_e,Speech,liter,Locale_SubScenario:event_bowwowparadise_04_e_3,True,,12,12,1.0,,liter,,,,,1,idle,,13,sorrow,,,15,idle,
event_bowwowparadise_04_e_4,40010,event_bowwowparadise_04_e,Speech,biscuit,Locale_SubScenario:event_bowwowparadise_04_e_4,True,,12,12,1.0,,biscuit,,,,,1,delight,,13,sorrow,,,15,idle,
event_bowwowparadise_04_e_5,40010,event_bowwowparadise_04_e,Speech,liter,Locale_SubScenario:event_bowwowparadise_04_e_5,True,,12,12,1.0,,liter,,,,,1,idle,,13,delight,,,15,idle,
event_bowwowparadise_04_e_6,40010,event_bowwowparadise_04_e,Speech,liter,Locale_SubScenario:event_bowwowparadise_04_e_6,True,,12,12,1.0,,liter,,,,,1,idle,,13,delight,,,15,idle,
event_bowwowparadise_04_e_7,40010,event_bowwowparadise_04_e,Speech,liter,Locale_SubScenario:event_bowwowparadise_04_e_7,True,,12,12,1.0,,liter,,,,,1,idle,,13,delight,,,15,idle,
event_bowwowparadise_04_e_8,40010,event_bowwowparadise_04_e,Speech,centi,Locale_SubScenario:event_bowwowparadise_04_e_8,True,,12,14,1.0,,centi_c,,,,,1,idle,,13,idle,,,15,delight,
event_bowwowparadise_04_e_9,40010,event_bowwowparadise_04_e,Speech,centi,Locale_SubScenario:event_bowwowparadise_04_e_9,True,,14,14,1.0,,centi_c,,,,,1,idle,,13,idle,,,15,idle,
event_bowwowparadise_04_e_10,40010,event_bowwowparadise_04_e,Speech,centi,Locale_SubScenario:event_bowwowparadise_04_e_10,True,,14,14,1.0,,centi_c,,,,,1,idle,,13,idle,,,15,idle,
event_bowwowparadise_04_e_11,40010,event_bowwowparadise_04_e,Speech,liter,Locale_SubScenario:event_bowwowparadise_04_e_11,True,,14,14,1.0,,liter,,,,,1,idle,,13,delight,,,15,idle,
event_bowwowparadise_04_e_12,40010,event_bowwowparadise_04_e,Monologue,Monologue,Locale_SubScenario:event_bowwowparadise_04_e_12,False,,14,14,1.0,,,,,,,1,idle,,13,idle,,,15,idle,
