id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_ce004_1_03_s_1,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_1,True,Office,2,2,1.0,bgm_story_fairytalesend_if,andersen,3,idle,ce004_04,1,idle,ce004_03,13,idle,ce004_02,15,idle,ce004_01,17,idle
event_ce004_1_03_s_2,40055,event_ce004_1_03_s,Speech,ce004_04,ce004_04,Locale_SubScenario:event_ce004_1_03_s_2,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_3,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_3,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_4,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_4,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_5,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_5,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_6,40055,event_ce004_1_03_s,Speech,ce004_01,ce004_01,Locale_SubScenario:event_ce004_1_03_s_6,True,,170,170,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,surprise
event_ce004_1_03_s_7,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_7,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,surprise
event_ce004_1_03_s_8,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_8,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_9,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_9,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_10,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_10,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_11,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_11,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_12,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_12,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_13,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_13,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_14,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_14,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_15,40055,event_ce004_1_03_s,Self,andersen,,Locale_SubScenario:event_ce004_1_03_s_15,False,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_16,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_16,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_17,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_17,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_18,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_18,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_19,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_19,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_20,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_20,True,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_21,40055,event_ce004_1_03_s,Self,andersen,,Locale_SubScenario:event_ce004_1_03_s_21,False,,2,2,1.0,,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_22,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_22,True,,2,2,1.0,,,3,think,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_23,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_23,True,,2,2,1.0,,,3,angry,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_24,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_24,True,,2,2,1.0,,,3,angry,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_25,40055,event_ce004_1_03_s,Self,andersen,,Locale_SubScenario:event_ce004_1_03_s_25,False,,2,2,1.0,,,3,angry,,1,idle,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_26,40055,event_ce004_1_03_s,Speech,ce004_04,ce004_04,Locale_SubScenario:event_ce004_1_03_s_26,True,,2,2,1.0,,,3,angry,,1,surprise,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_27,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_27,True,,2,L_30,1.0,,,3,angry,,1,surprise,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_28,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_28,True,,L_30,L_30,1.0,,,3,angry,,1,surprise,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_29,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_29,True,,L_30,L_30,1.0,,,3,angry,,1,surprise,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_30,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_30,True,,L_30,L_30,1.0,,,3,angry,,1,surprise,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_31,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_31,True,,L_30,L_30,1.0,,,3,angry,,1,surprise,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_32,40055,event_ce004_1_03_s,Self,andersen,,Locale_SubScenario:event_ce004_1_03_s_32,False,,L_30,L_30,1.0,,,3,angry,,1,surprise,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_33,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_33,True,,L_30,L_30,1.0,,,3,angry,,1,surprise,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_34,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_34,True,,L_30,L_30,1.0,,,3,angry,,1,surprise,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_35,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_35,True,,L_30,L_30,1.0,,,3,angry,,1,surprise,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_36,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_36,True,,L_30,L_30,1.0,,,3,think,,1,surprise,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_37,40055,event_ce004_1_03_s,Self,andersen,,Locale_SubScenario:event_ce004_1_03_s_37,False,,L_30,L_30,1.0,,,3,think,,1,surprise,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_38,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_38,True,,L_30,L_300,1.0,,,3,angry,,1,surprise,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_39,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_39,True,,L_300,L_300,1.0,,,3,angry,,1,surprise,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_40,40055,event_ce004_1_03_s,Speech,andersen,andersen,Locale_SubScenario:event_ce004_1_03_s_40,True,,L_300,L_300,1.0,,,3,angry,,1,surprise,,13,idle,,15,idle,,17,idle
event_ce004_1_03_s_41,40055,event_ce004_1_03_s,Self,andersen,,Locale_SubScenario:event_ce004_1_03_s_41,False,,L_300,L_300,1.0,,,3,angry,,1,think,,13,angry,,15,idle,,17,idle
event_ce004_1_03_s_42,40055,event_ce004_1_03_s,Speech,ce004_03,ce004_03,Locale_SubScenario:event_ce004_1_03_s_42,True,,130,130,1.0,,,3,angry,,1,think,,13,angry,,15,idle,,17,idle
event_ce004_1_03_s_43,40055,event_ce004_1_03_s,Speech,ce004_01,ce004_01,Locale_SubScenario:event_ce004_1_03_s_43,False,,170,170,1.0,,,3,angry,,1,think,,13,angry,,15,idle,,17,think
event_ce004_1_03_s_44,40055,event_ce004_1_03_s,Speech,ce004_02,ce004_02,Locale_SubScenario:event_ce004_1_03_s_44,False,,150,150,1.0,,,3,angry,,1,think,,13,angry,,15,idle,,17,think
