id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_coinsinrush1_04_e_1,40088,event_coinsinrush1_04_e,Speech,exia_b_op,exia_b_op,Locale_MainScenario:event_coinsinrush1_04_e_1,True,CoinRushDrinkZone,70,70,1.0,event_bgm_cir_smoothoperation,,ade_b,1,idle,exia_b_op,OP_leftup,idle,,milk_b_op_r,OP_rightup,good,
event_coinsinrush1_04_e_2,40088,event_coinsinrush1_04_e,Speech,exia_b_op,exia_b_op,Locale_MainScenario:event_coinsinrush1_04_e_2,True,,70,70,1.0,,,,1,idle,,OP_leftup,idle,,,OP_rightup,good,
event_coinsinrush1_04_e_3,40088,event_coinsinrush1_04_e,Speech,milk_b_op_r,milk_b_op_r,Locale_MainScenario:event_coinsinrush1_04_e_3,True,,70,70,1.0,,,,1,idle,,OP_leftup,idle,,,OP_rightup,good,
event_coinsinrush1_04_e_4,40088,event_coinsinrush1_04_e,Speech,milk_b_op_r,milk_b_op_r,Locale_MainScenario:event_coinsinrush1_04_e_4,True,,70,70,1.0,,,,1,idle,,OP_leftup,idle,,,OP_rightup,good,
event_coinsinrush1_04_e_5,40088,event_coinsinrush1_04_e,Self,ade_b,,Locale_MainScenario:event_coinsinrush1_04_e_5,False,,70,10,1.0,,,,1,idle,,OP_leftup,idle,,,OP_rightup,good,
event_coinsinrush1_04_e_6,40088,event_coinsinrush1_04_e,Speech,ade_b,ade_b,Locale_MainScenario:event_coinsinrush1_04_e_6,True,,10,10,1.0,,,,1,idle,,OP_leftup,idle,,,OP_rightup,good,
event_coinsinrush1_04_e_7,40088,event_coinsinrush1_04_e,Monologue,,,Locale_MainScenario:event_coinsinrush1_04_e_7,False,,black,black,1.0,,,,1,idle,,OP_leftup,idle,exia_b_op,,OP_rightup,good,milk_b_op_r
event_coinsinrush1_04_e_8,40088,event_coinsinrush1_04_e,Monologue,,,Locale_MainScenario:event_coinsinrush1_04_e_8,False,,black,black,1.0,,,,1,idle,,,,,,,,
event_coinsinrush1_04_e_9,40088,event_coinsinrush1_04_e,Monologue,,,Locale_MainScenario:event_coinsinrush1_04_e_9,False,,black,black,1.0,,,,1,idle,,,,,,,,
event_coinsinrush1_04_e_10,40088,event_coinsinrush1_04_e,Speech,bay_b_op,bay_b_op,Locale_MainScenario:event_coinsinrush1_04_e_10,True,,10,10,1.0,,,,1,idle,bay_b_op,OP_leftup,idle,,exia_b_op_r,OP_rightup,idle,
