id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_coinsinrush1_04_s_1,40088,event_coinsinrush1_04_s,,Monologue,,,Locale_MainScenario:event_coinsinrush1_04_s_1,False,,,,,,,black,black,0,,,,100,none,,None,None,,None,False,ade_b,,1,delight,exia_b,,13,etc,,,,,milk_b,,15,surprise3,bay_b,,17,delight,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_coinsinrush1_04_s_2,40088,event_coinsinrush1_04_s,,Monologue,,,Locale_MainScenario:event_coinsinrush1_04_s_2,False,BriefingRoom,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,etc,,,,,,,15,surprise3,,,17,delight,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_coinsinrush1_04_s_3,40088,event_coinsinrush1_04_s,,Speech,milk_b,milk_b,Locale_MainScenario:event_coinsinrush1_04_s_3,True,,,,,,,16,16,0,,,,100,event_bgm_cir_startagem,,None,None,,None,False,,,1,delight,,,13,etc,,,,,,,15,surprise3,,,17,delight,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_coinsinrush1_04_s_4,40088,event_coinsinrush1_04_s,,Speech,bay_b,bay_b,Locale_MainScenario:event_coinsinrush1_04_s_4,True,,,,,,,16,16,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,etc,,,,,,,15,surprise3,,,17,delight,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_coinsinrush1_04_s_5,40088,event_coinsinrush1_04_s,,Speech,ade_b,ade_b,Locale_MainScenario:event_coinsinrush1_04_s_5,True,,,,,,,16,12,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,etc,,,,,,,15,surprise3,,,17,delight,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_coinsinrush1_04_s_6,40088,event_coinsinrush1_04_s,,Speech,ade_b,ade_b,Locale_MainScenario:event_coinsinrush1_04_s_6,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,etc,,,,,,,15,good,,,17,delight,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_coinsinrush1_04_s_7,40088,event_coinsinrush1_04_s,,Speech,exia_b,exia_b,Locale_MainScenario:event_coinsinrush1_04_s_7,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,etc,,,,,,,15,good,,,17,delight,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_coinsinrush1_04_s_8,40088,event_coinsinrush1_04_s,,Speech,exia_b,exia_b,Locale_MainScenario:event_coinsinrush1_04_s_8,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,etc,,,,,,,15,good,,,17,delight,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_coinsinrush1_04_s_9,40088,event_coinsinrush1_04_s,,Narration,,,Locale_MainScenario:event_coinsinrush1_04_s_9,False,,,,,,,black,black,0,,sfx_scn_dooropen,,100,,,None,None,,None,False,,,1,delight,,,13,etc,rouge_b,,3,delight2,,,15,good,,,17,delight,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_coinsinrush1_04_s_10,40088,event_coinsinrush1_04_s,,Speech,rouge_b,rouge_b,Locale_MainScenario:event_coinsinrush1_04_s_10,True,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,etc,,,3,delight2,,,15,good,,,17,delight,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_coinsinrush1_04_s_11,40088,event_coinsinrush1_04_s,,Monologue,rouge_b,,Locale_MainScenario:event_coinsinrush1_04_s_11,False,,,,,,,30,30,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,etc,,,3,delight2,,,15,good,,,17,delight,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_coinsinrush1_04_s_12,40088,event_coinsinrush1_04_s,,Speech,exia_b,exia_b,Locale_MainScenario:event_coinsinrush1_04_s_12,True,,,,,,,30,S_130,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,good,,,3,delight2,,,15,good,,,17,delight,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_coinsinrush1_04_s_13,40088,event_coinsinrush1_04_s,,Speech,exia_b,exia_b,Locale_MainScenario:event_coinsinrush1_04_s_13,True,,,,,,,S_130,S_130,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,good,,,3,delight2,,,15,good,,,17,delight,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_coinsinrush1_04_s_14,40088,event_coinsinrush1_04_s,,Speech,exia_b,exia_b,Locale_MainScenario:event_coinsinrush1_04_s_14,True,,,,,,,S_130,S_130,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,good,,,3,delight2,,,15,good,,,17,delight,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_coinsinrush1_04_s_15,40088,event_coinsinrush1_04_s,,Monologue,exia_b,,Locale_MainScenario:event_coinsinrush1_04_s_15,False,,,,,,,S_130,S_130,0,,,,100,,,None,None,,None,False,,,1,delight,,,13,good,,,3,delight2,,,15,good,,,17,delight,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
