id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_coinsinrush1_prologue_1,40088,event_coinsinrush1_prologue,Narration,Locale_MainScenario:event_coinsinrush1_prologue_1,False,Office,L_170,L_170,1.0,none,,,,mustang,1,angry,,,
event_coinsinrush1_prologue_2,40088,event_coinsinrush1_prologue,Narration,Locale_MainScenario:event_coinsinrush1_prologue_2,False,,L_170,L_10,1.0,,,,,,1,angry,,,
event_coinsinrush1_prologue_3,40088,event_coinsinrush1_prologue,Speech,Locale_MainScenario:event_coinsinrush1_prologue_3,False,,L_10,L_10,1.0,bgm_story_fairytalesend_if,mustang,mustang,,,1,angry,,,
event_coinsinrush1_prologue_4,40088,event_coinsinrush1_prologue,Narration,Locale_MainScenario:event_coinsinrush1_prologue_4,False,,L_10,L_10,1.0,,mustang,,sfx_scn_knock,,1,angry,,,
event_coinsinrush1_prologue_5,40088,event_coinsinrush1_prologue,Speech,Locale_MainScenario:event_coinsinrush1_prologue_5,True,,L_10,L_10,1.0,,mustang,mustang,,,1,angry,,,
event_coinsinrush1_prologue_6,40088,event_coinsinrush1_prologue,Narration,Locale_MainScenario:event_coinsinrush1_prologue_6,False,,black,black,1.0,,,,sfx_scn_dooropen,,1,angry,ade,3,idle
event_coinsinrush1_prologue_7,40088,event_coinsinrush1_prologue,Narration,Locale_MainScenario:event_coinsinrush1_prologue_7,False,,black,black,1.0,,,,sfx_scn_heelfootstep,,1,angry,,3,idle
event_coinsinrush1_prologue_8,40088,event_coinsinrush1_prologue,Speech,Locale_MainScenario:event_coinsinrush1_prologue_8,False,,L_10,L_10,1.0,,mustang,mustang,,,1,angry,,3,idle
event_coinsinrush1_prologue_9,40088,event_coinsinrush1_prologue,Speech,Locale_MainScenario:event_coinsinrush1_prologue_9,True,,L_10,L_10,1.0,,mustang,mustang,,,1,angry,,3,idle
event_coinsinrush1_prologue_10,40088,event_coinsinrush1_prologue,Speech,Locale_MainScenario:event_coinsinrush1_prologue_10,True,,L_10,2,1.0,,ade,ade,,,1,angry,,3,idle
