id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
event_coinsinrush2_05_e_1,40089,event_coinsinrush2_05_e,Narration,Locale_MainScenario:event_coinsinrush2_05_e_1,False,CoinRushMainHall,black,black,1.0,sfx_scn_skid,none,,,,,velvet,3,delight_02,,ade_b,1,no,,,
event_coinsinrush2_05_e_2,40089,event_coinsinrush2_05_e,Monologue,Locale_MainScenario:event_coinsinrush2_05_e_2,False,,black,black,1.0,,,,,,,,3,delight_02,,,1,no,,,
event_coinsinrush2_05_e_3,40089,event_coinsinrush2_05_e,Monologue,Locale_MainScenario:event_coinsinrush2_05_e_3,False,,black,black,1.0,,,,,,,,3,delight_02,,,1,no,,,
event_coinsinrush2_05_e_4,40089,event_coinsinrush2_05_e,Speech,Locale_MainScenario:event_coinsinrush2_05_e_4,True,,30,30,1.0,,event_bgm_cir_startagem,velvet,velvet,,,,3,delight_02,,,1,no,,,
event_coinsinrush2_05_e_5,40089,event_coinsinrush2_05_e,Monologue,Locale_MainScenario:event_coinsinrush2_05_e_5,False,,30,2,1.0,,,,,,,,3,delight_02,,,1,no,,,
event_coinsinrush2_05_e_6,40089,event_coinsinrush2_05_e,Speech,Locale_MainScenario:event_coinsinrush2_05_e_6,True,,2,2,1.0,,,ade_b,ade_b,,,,3,delight_02,,,1,no,,,
event_coinsinrush2_05_e_7,40089,event_coinsinrush2_05_e,Speech,Locale_MainScenario:event_coinsinrush2_05_e_7,True,,2,2,1.0,,,ade_b,ade_b,,,,3,delight_02,,,1,no,,,
event_coinsinrush2_05_e_8,40089,event_coinsinrush2_05_e,Speech,Locale_MainScenario:event_coinsinrush2_05_e_8,True,,2,2,1.0,,,velvet,velvet,,,,3,idle_02,,,1,no,,,
event_coinsinrush2_05_e_9,40089,event_coinsinrush2_05_e,Speech,Locale_MainScenario:event_coinsinrush2_05_e_9,True,,2,2,1.0,,,velvet,velvet,,,,3,good_02,,,1,no,,,
event_coinsinrush2_05_e_10,40089,event_coinsinrush2_05_e,Speech,Locale_MainScenario:event_coinsinrush2_05_e_10,True,,2,2,1.0,,,velvet,velvet,,,,3,good_02,,,1,no,,,
event_coinsinrush2_05_e_11,40089,event_coinsinrush2_05_e,Speech,Locale_MainScenario:event_coinsinrush2_05_e_11,True,,2,2,1.0,,,velvet,velvet,,,,3,smile_02,,,1,no,,,
event_coinsinrush2_05_e_12,40089,event_coinsinrush2_05_e,Speech,Locale_MainScenario:event_coinsinrush2_05_e_12,True,,2,2,1.0,,,velvet,velvet,,,,3,delight_02,,,1,no,,,
event_coinsinrush2_05_e_13,40089,event_coinsinrush2_05_e,Speech,Locale_MainScenario:event_coinsinrush2_05_e_13,True,,2,2,1.0,,,ade_b,ade_b,,,,3,delight_02,,,1,angry,,,
event_coinsinrush2_05_e_14,40089,event_coinsinrush2_05_e,Speech,Locale_MainScenario:event_coinsinrush2_05_e_14,True,,2,2,1.0,,,ade_b,ade_b,,,,3,delight_02,,,1,angry,,,
