id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_darkhero_04_s_1,40047,event_darkhero_04_s,Narration,trony,Locale_SubScenario:event_darkhero_04_s_1,False,trony,2,sad,NikkeRoom,20,20,1.0,bgm_mystery,,,,
event_darkhero_04_s_2,40047,event_darkhero_04_s,Speech,trony,Locale_SubScenario:event_darkhero_04_s_2,True,,2,sad,,20,20,1.0,,trony,,,
event_darkhero_04_s_3,40047,event_darkhero_04_s,Narration,trony,Locale_SubScenario:event_darkhero_04_s_3,False,,2,sad,,20,20,1.0,,,,,
event_darkhero_04_s_4,40047,event_darkhero_04_s,Narration,trony,Locale_SubScenario:event_darkhero_04_s_4,False,,2,sad,,20,20,1.0,,,,,
event_darkhero_04_s_5,40047,event_darkhero_04_s,Speech,trony,Locale_SubScenario:event_darkhero_04_s_5,True,,2,sad,,20,20,1.0,,trony,,,
event_darkhero_04_s_6,40047,event_darkhero_04_s,Speech,trony,Locale_SubScenario:event_darkhero_04_s_6,True,,2,sad,,20,20,1.0,,trony,,,
event_darkhero_04_s_7,40047,event_darkhero_04_s,Narration,trony,Locale_SubScenario:event_darkhero_04_s_7,False,,2,sad,,20,20,1.0,,,,,
event_darkhero_04_s_8,40047,event_darkhero_04_s,Speech,trony,Locale_SubScenario:event_darkhero_04_s_8,True,,2,shy,,20,2,0.5,,trony,,,
event_darkhero_04_s_9,40047,event_darkhero_04_s,Narration,trony,Locale_SubScenario:event_darkhero_04_s_9,False,,2,shy,,2,2,1.0,,,,,
event_darkhero_04_s_10,40047,event_darkhero_04_s,Narration,trony,Locale_SubScenario:event_darkhero_04_s_10,False,,2,shy,,2,2,1.0,,,,,
event_darkhero_04_s_11,40047,event_darkhero_04_s,Speech,ether,Locale_SubScenario:event_darkhero_04_s_11,True,,2,shy,,2,1,1.0,,ether,ether,12,idle
event_darkhero_04_s_12,40047,event_darkhero_04_s,Speech,ether,Locale_SubScenario:event_darkhero_04_s_12,True,,2,shy,,1,1,1.0,,ether,,12,idle
event_darkhero_04_s_13,40047,event_darkhero_04_s,Narration,ether,Locale_SubScenario:event_darkhero_04_s_13,False,,2,sad,,1,1,1.0,,,,12,idle
event_darkhero_04_s_14,40047,event_darkhero_04_s,Speech,ether,Locale_SubScenario:event_darkhero_04_s_14,True,,2,sad,,1,1,1.0,,ether,,12,idle
event_darkhero_04_s_15,40047,event_darkhero_04_s,Speech,ether,Locale_SubScenario:event_darkhero_04_s_15,True,,2,sad,,1,1,1.0,,ether,,12,idle
event_darkhero_04_s_16,40047,event_darkhero_04_s,Speech,trony,Locale_SubScenario:event_darkhero_04_s_16,True,,2,sad,,1,1,1.0,,trony,,12,idle
event_darkhero_04_s_17,40047,event_darkhero_04_s,Speech,ether,Locale_SubScenario:event_darkhero_04_s_17,True,,2,sad,,1,1,1.0,,ether,,12,idle
event_darkhero_04_s_18,40047,event_darkhero_04_s,Speech,ether,Locale_SubScenario:event_darkhero_04_s_18,True,,2,sad,,1,1,1.0,,ether,,12,delight
event_darkhero_04_s_19,40047,event_darkhero_04_s,Speech,trony,Locale_SubScenario:event_darkhero_04_s_19,True,,2,think,,1,1,1.0,,trony,,12,delight
event_darkhero_04_s_20,40047,event_darkhero_04_s,Speech,ether,Locale_SubScenario:event_darkhero_04_s_20,True,,2,think,,1,XS_120,1.0,,ether,,12,delight
event_darkhero_04_s_21,40047,event_darkhero_04_s,Speech,trony,Locale_SubScenario:event_darkhero_04_s_21,True,,2,surprise,,XS_120,20,1.0,,trony,,12,delight
event_darkhero_04_s_22,40047,event_darkhero_04_s,Speech,ether,Locale_SubScenario:event_darkhero_04_s_22,True,,2,surprise,,20,1,1.0,,ether,,12,delight
event_darkhero_04_s_23,40047,event_darkhero_04_s,Speech,trony,Locale_SubScenario:event_darkhero_04_s_23,True,,2,surprise,,1,1,1.0,,trony,,12,delight
event_darkhero_04_s_24,40047,event_darkhero_04_s,Speech,ether,Locale_SubScenario:event_darkhero_04_s_24,True,,2,surprise,,1,1,1.0,,ether,,12,delight
event_darkhero_04_s_25,40047,event_darkhero_04_s,Speech,trony,Locale_SubScenario:event_darkhero_04_s_25,True,,2,surprise,,1,1,1.0,,trony,,12,delight
event_darkhero_04_s_26,40047,event_darkhero_04_s,Speech,ether,Locale_SubScenario:event_darkhero_04_s_26,True,,2,surprise,,1,1,1.0,,ether,,12,delight
