id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_filter_01,set_filter_02,play_sound,set_camera_shake
event_dirtybackyard_02_s_1,40038,event_dirtybackyard_02_s,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_s_1,True,moran,5,idle,sugar_g,3,idle,OutpostOut,S_30,S_30,1.0,none,,,,,
event_dirtybackyard_02_s_2,40038,event_dirtybackyard_02_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_02_s_2,False,,5,idle,,3,idle,,S_30,3,1.0,,,,,,
event_dirtybackyard_02_s_3,40038,event_dirtybackyard_02_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_s_3,True,,5,idle,,3,idle,,50,50,1.0,,,,,,
event_dirtybackyard_02_s_4,40038,event_dirtybackyard_02_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_s_4,True,,5,idle,,3,idle,,50,50,1.0,,,,,,
event_dirtybackyard_02_s_5,40038,event_dirtybackyard_02_s,Self,,,Locale_SubScenario:event_dirtybackyard_02_s_5,False,,5,idle,,3,idle,,50,50,1.0,,,,,,
event_dirtybackyard_02_s_6,40038,event_dirtybackyard_02_s,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_s_6,False,,5,idle,,3,idle,,50,4,1.0,,,,,,
event_dirtybackyard_02_s_7,40038,event_dirtybackyard_02_s,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_s_7,True,,5,idle,,3,idle,,4,4,1.0,bgm_intotheswarm,,,,,
event_dirtybackyard_02_s_8,40038,event_dirtybackyard_02_s,Self,,,Locale_SubScenario:event_dirtybackyard_02_s_8,False,,5,idle,,3,idle,,4,4,1.0,,,,,,
event_dirtybackyard_02_s_9,40038,event_dirtybackyard_02_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_s_9,True,,5,idle,,3,idle,,4,4,1.0,,,,,,
event_dirtybackyard_02_s_10,40038,event_dirtybackyard_02_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_s_10,True,,5,idle,,3,idle,,4,4,1.0,,,,,,
event_dirtybackyard_02_s_11,40038,event_dirtybackyard_02_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_s_11,True,,5,idle,,3,idle,,4,4,1.0,,,,,,
event_dirtybackyard_02_s_12,40038,event_dirtybackyard_02_s,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_s_12,True,,5,idle,,3,idle,,4,4,1.0,,,,,,
event_dirtybackyard_02_s_13,40038,event_dirtybackyard_02_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_s_13,True,,5,worry,,3,idle,,4,4,1.0,,,,,,
event_dirtybackyard_02_s_14,40038,event_dirtybackyard_02_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_s_14,True,,5,worry,,3,idle,,4,4,1.0,,,,,,
event_dirtybackyard_02_s_15,40038,event_dirtybackyard_02_s,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_s_15,True,,5,worry,,3,idle,,4,4,1.0,,,,,,
event_dirtybackyard_02_s_16,40038,event_dirtybackyard_02_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_s_16,False,,5,think,,3,idle,,4,4,1.0,,,,,,
event_dirtybackyard_02_s_17,40038,event_dirtybackyard_02_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_s_17,True,,5,idle,,3,idle,,4,4,1.0,,,,,,
event_dirtybackyard_02_s_18,40038,event_dirtybackyard_02_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_s_18,True,,5,idle,,3,idle,,4,4,1.0,,,,,,
event_dirtybackyard_02_s_19,40038,event_dirtybackyard_02_s,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_s_19,True,,5,idle,,3,angry,,4,S_30,1.0,,,,,,
event_dirtybackyard_02_s_20,40038,event_dirtybackyard_02_s,Self,,,Locale_SubScenario:event_dirtybackyard_02_s_20,False,,5,idle,,3,angry,,S_30,S_30,1.0,,,,,,
event_dirtybackyard_02_s_21,40038,event_dirtybackyard_02_s,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_s_21,True,,5,idle,,3,idle,,S_30,S_30,1.0,none,,,,,
event_dirtybackyard_02_s_22,40038,event_dirtybackyard_02_s,Narration,,,Locale_SubScenario:event_dirtybackyard_02_s_22,False,,5,idle,,3,idle,OuterrimWall,15,15,1.0,,black,,,,
event_dirtybackyard_02_s_23,40038,event_dirtybackyard_02_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_02_s_23,False,,5,idle,,3,idle,,15,15,1.0,,,,,,
event_dirtybackyard_02_s_24,40038,event_dirtybackyard_02_s,Speech,outerrimman,outerrimman,Locale_SubScenario:event_dirtybackyard_02_s_24,False,,5,idle,,3,idle,,15,19,0.7,bgm_story_trauma,,Vignetting,Blur_High,,
event_dirtybackyard_02_s_25,40038,event_dirtybackyard_02_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_02_s_25,False,,5,idle,,3,idle,,19,190,1.0,,,Vignetting,Blur_High,,
event_dirtybackyard_02_s_26,40038,event_dirtybackyard_02_s,Speech,outerrimman,outerrimman,Locale_SubScenario:event_dirtybackyard_02_s_26,True,,5,idle,,3,idle,,190,15,0.7,,,Vignetting,Blur_High,,
event_dirtybackyard_02_s_27,40038,event_dirtybackyard_02_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_02_s_27,False,,5,idle,,3,idle,,15,150,1.0,,,Vignetting,Blur_High,sfx_scn_rustle,
event_dirtybackyard_02_s_28,40038,event_dirtybackyard_02_s,Speech,outerrimman,outerrimman,Locale_SubScenario:event_dirtybackyard_02_s_28,True,,5,idle,,3,idle,,150,13,0.7,,,Vignetting,Blur_High,,
event_dirtybackyard_02_s_29,40038,event_dirtybackyard_02_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_02_s_29,False,,5,idle,,3,idle,,13,130,1.0,,,Vignetting,Blur_High,,
event_dirtybackyard_02_s_30,40038,event_dirtybackyard_02_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_02_s_30,False,,5,idle,,3,idle,,black,black,1.0,,,,,,
event_dirtybackyard_02_s_31,40038,event_dirtybackyard_02_s,Monologue,,,Locale_SubScenario:event_dirtybackyard_02_s_31,False,,5,idle,,3,idle,,black,black,1.0,,,,,,
event_dirtybackyard_02_s_32,40038,event_dirtybackyard_02_s,Self,,,Locale_SubScenario:event_dirtybackyard_02_s_32,False,,5,no,,3,surprise,,4,4,1.0,,,,,,
event_dirtybackyard_02_s_33,40038,event_dirtybackyard_02_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_s_33,False,,5,no,,3,surprise,,4,4,1.0,,,,,,
event_dirtybackyard_02_s_34,40038,event_dirtybackyard_02_s,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_s_34,False,,5,no,,3,surprise,,4,4,1.0,,,,,,
event_dirtybackyard_02_s_35,40038,event_dirtybackyard_02_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_s_35,True,,5,special,,3,surprise,,4,5,1.0,,,,,,
event_dirtybackyard_02_s_36,40038,event_dirtybackyard_02_s,Speech,moran,moran,Locale_SubScenario:event_dirtybackyard_02_s_36,True,,5,special,,3,surprise,,5,50,0.7,,,,,,Low_2
event_dirtybackyard_02_s_37,40038,event_dirtybackyard_02_s,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_s_37,True,,5,special,,3,angry,,50,S_30,1.0,,,,,,
event_dirtybackyard_02_s_38,40038,event_dirtybackyard_02_s,Speech,sugar_g,sugar_g,Locale_SubScenario:event_dirtybackyard_02_s_38,True,,5,special,,3,angry,,S_30,S_30,1.0,,,,,,
