id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_exnii1_07_s_1,40070,event_exnii1_07_s,,Narration,,,Locale_SubScenario:event_exnii1_07_s_1,False,ocean_r,,,,,,1,1,0,,sfx_scn_explosions,,100,event_bgm_ce005_laststand,Low_2,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_exnii1_07_s_2,40070,event_exnii1_07_s,,Speech,mast_op,mast_op,Locale_SubScenario:event_exnii1_07_s_2,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,mast_op,,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_exnii1_07_s_3,40070,event_exnii1_07_s,,Narration,,,Locale_SubScenario:event_exnii1_07_s_3,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,,mast_op,OP_leftup,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_exnii1_07_s_4,40070,event_exnii1_07_s,,Narration,,,Locale_SubScenario:event_exnii1_07_s_4,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_exnii1_07_s_5,40070,event_exnii1_07_s,,Speech,anchor,anchor,Locale_SubScenario:event_exnii1_07_s_5,True,EzsUp,,,,,,1,event_exnii_talk_09,0,,,,100,,,None,None,,Black,False,,,,,mast,,3,idle,helm,,1,idle,anchor,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_exnii1_07_s_6,40070,event_exnii1_07_s,,Self,helm,,Locale_SubScenario:event_exnii1_07_s_6,False,,,,,,,event_exnii_talk_09,event_exnii_talk_09,0,,,,100,,,None,None,,None,False,,,,,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_exnii1_07_s_7,40070,event_exnii1_07_s,,Speech,helm,helm,Locale_SubScenario:event_exnii1_07_s_7,True,,,,,,,event_exnii_talk_09,1,0,,,,100,,,None,None,,None,False,,,,,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_exnii1_07_s_8,40070,event_exnii1_07_s,,Speech,helm,helm,Locale_SubScenario:event_exnii1_07_s_8,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_exnii1_07_s_9,40070,event_exnii1_07_s,,Speech,rapi,rapi,Locale_SubScenario:event_exnii1_07_s_9,True,,,,,,,1,5,0,,,,100,,,None,None,,Black,False,rapi,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_exnii1_07_s_10,40070,event_exnii1_07_s,,Self,rapi,,Locale_SubScenario:event_exnii1_07_s_10,False,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
