id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_firstaffection_6_1,130002,event_firstaffection_06,,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_6_1,True,CityForest_03_d,,,,,,1,1,0,,,,100,bgm_distress,,None,None,,None,False,neon,,6,idle,anis,,4,idle,rapi,,2,angry,marian_f,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_2,130002,event_firstaffection_06,,Speech,marian_f,marian_f,Locale_SubScenario:event_firstaffection_6_2,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,6,idle,,,4,idle,,,2,angry,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_3,130002,event_firstaffection_06,,Speech,anis,anis,Locale_SubScenario:event_firstaffection_6_3,True,,,,,,,1,5,858993459,,,,100,,,None,None,,None,False,,,6,idle,,,4,angry,,,2,idle,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_4,130002,event_firstaffection_06,,Speech,neon,neon,Locale_SubScenario:event_firstaffection_6_4,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,6,idle,,,4,angry,,,2,idle,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_5,130002,event_firstaffection_06,,Speech,anis,anis,Locale_SubScenario:event_firstaffection_6_5,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,6,idle,,,4,worry,,,2,idle,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_6,130002,event_firstaffection_06,,Speech,neon,neon,Locale_SubScenario:event_firstaffection_6_6,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,6,surprise,,,4,worry,,,2,idle,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_7,130002,event_firstaffection_06,,Speech,anis,anis,Locale_SubScenario:event_firstaffection_6_7,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,6,surprise,,,4,worry,,,2,idle,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_8,130002,event_firstaffection_06,,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_6_8,True,,,,,,,5,3,0,,,,100,,,None,None,,None,False,,,6,idle,,,4,worry,,,2,idle,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_9,130002,event_firstaffection_06,,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_6_9,True,,,,,,,3,3,0,,,,100,,,None,None,,None,False,,,6,idle,,,4,worry,,,2,idle,,,12,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_10,130002,event_firstaffection_06,,Speech,marian_f,marian_f,Locale_SubScenario:event_firstaffection_6_10,True,,,,,,,120,120,0,,,,100,,,None,None,,None,False,,,6,idle,,,4,idle,,,2,idle,,,12,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_11,130002,event_firstaffection_06,,Speech,marian_f,marian_f,Locale_SubScenario:event_firstaffection_6_11,True,,,,,,,120,120,0,,,,100,,,None,None,,None,False,,,6,idle,,,4,idle,,,2,idle,,,12,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_12,130002,event_firstaffection_06,,Speech,anis,anis,Locale_SubScenario:event_firstaffection_6_12,False,,,,,,,40,40,0,,,,100,,,None,None,,None,False,,,6,idle,,,4,no,,,2,idle,,,12,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_13,130002,event_firstaffection_06,,Speech,neon,neon,Locale_SubScenario:event_firstaffection_6_13,False,,,,,,,S_60,S_60,0,,,,100,,,None,None,,None,False,,,6,no,,,4,no,,,2,idle,,,12,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_14,130002,event_firstaffection_06,,Speech,marian_f,marian_f,Locale_SubScenario:event_firstaffection_6_14,True,,,,,,,120,120,0,,,,100,,,None,None,,None,False,,,6,no,,,4,no,,,2,idle,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_15,130002,event_firstaffection_06,,Monologue,,Monologue,Locale_SubScenario:event_firstaffection_6_15,False,,,,,,,120,120,0,,,,100,none,,None,None,,None,False,,,6,no,,,4,idle,,,2,idle,,marian_f,16,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_16,130002,event_firstaffection_06,,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_6_16,False,,,,,,,120,2,0,,,,100,,,None,None,,None,False,,,6,idle,,,4,idle,,,2,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_17,130002,event_firstaffection_06,,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_6_17,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,6,idle,,,4,idle,,,2,worry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_18,130002,event_firstaffection_06,,Self,,Self,Locale_SubScenario:event_firstaffection_6_18,False,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,6,idle,,,4,idle,,,2,worry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_19,130002,event_firstaffection_06,,Speech,rapi,rapi,Locale_SubScenario:event_firstaffection_6_19,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,6,idle,,,4,idle,,,2,worry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_20,130002,event_firstaffection_06,,Speech,anis,anis,Locale_SubScenario:event_firstaffection_6_20,True,,,,,,,4,40,0,,,,100,,,None,None,,None,False,,,6,idle,,,4,angry,,,2,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_firstaffection_6_21,130002,event_firstaffection_06,,Speech,neon,neon,Locale_SubScenario:event_firstaffection_6_21,True,,,,,,,40,S_60,0,,,,100,,,None,None,,None,False,,,6,angry,,,4,angry,,,2,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
