id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_footstepwalkrun2_01_e_1,40066,event_footstepwalkrun2_01_e,Narration,Locale_MainScenario:event_footstepwalkrun2_01_e_1,False,WasteLand_03,black,black,1.0,sfx_scn_metalpartsassemble2,none,,,,rapi_m,1,idle,redhood,13,idle
event_footstepwalkrun2_01_e_2,40066,event_footstepwalkrun2_01_e,Narration,Locale_MainScenario:event_footstepwalkrun2_01_e_2,False,,black,black,1.0,sfx_scn_rustle_2,,,,,,1,idle,,13,idle
event_footstepwalkrun2_01_e_3,40066,event_footstepwalkrun2_01_e,Speech,Locale_MainScenario:event_footstepwalkrun2_01_e_3,True,,100,100,1.0,,event_bgm_redash_alldownhill,rapi_m,rapi_m,,,1,idle,,13,idle
event_footstepwalkrun2_01_e_4,40066,event_footstepwalkrun2_01_e,Speech,Locale_MainScenario:event_footstepwalkrun2_01_e_4,True,,1300,1300,1.0,,,redhood,redhood,,,1,idle,,13,idle
event_footstepwalkrun2_01_e_5,40066,event_footstepwalkrun2_01_e,Speech,Locale_MainScenario:event_footstepwalkrun2_01_e_5,True,,100,10,1.0,,,rapi_m,rapi_m,,,1,idle,,13,idle
event_footstepwalkrun2_01_e_6,40066,event_footstepwalkrun2_01_e,Speech,Locale_MainScenario:event_footstepwalkrun2_01_e_6,True,,10,113,1.0,,,redhood,redhood,,,1,idle,,13,surprise_02
event_footstepwalkrun2_01_e_7,40066,event_footstepwalkrun2_01_e,Speech,Locale_MainScenario:event_footstepwalkrun2_01_e_7,False,,113,113,1.0,,,rapi_m,rapi_m,,,1,idle,,13,surprise_02
event_footstepwalkrun2_01_e_8,40066,event_footstepwalkrun2_01_e,Speech,Locale_MainScenario:event_footstepwalkrun2_01_e_8,True,,113,113,1.0,,,redhood,redhood,,,1,idle,,13,surprise_02
event_footstepwalkrun2_01_e_9,40066,event_footstepwalkrun2_01_e,Speech,Locale_MainScenario:event_footstepwalkrun2_01_e_9,True,,113,113,1.0,,,rapi_m,rapi_m,,,1,idle,,13,surprise_02
event_footstepwalkrun2_01_e_10,40066,event_footstepwalkrun2_01_e,Speech,Locale_MainScenario:event_footstepwalkrun2_01_e_10,True,,113,113,1.0,,,redhood,redhood,,,1,idle,,13,sad_02
event_footstepwalkrun2_01_e_11,40066,event_footstepwalkrun2_01_e,Speech,Locale_MainScenario:event_footstepwalkrun2_01_e_11,True,,113,113,1.0,,,redhood,redhood,,,1,idle,,13,sad_02
event_footstepwalkrun2_01_e_12,40066,event_footstepwalkrun2_01_e,Speech,Locale_MainScenario:event_footstepwalkrun2_01_e_12,False,,113,1,1.0,,,rapi_m,rapi_m,,,1,idle,,13,sad_02
event_footstepwalkrun2_01_e_13,40066,event_footstepwalkrun2_01_e,Speech,Locale_MainScenario:event_footstepwalkrun2_01_e_13,True,,1,10,1.0,,,rapi_m,rapi_m,,,1,idle,,13,sad_02
event_footstepwalkrun2_01_e_14,40066,event_footstepwalkrun2_01_e,Speech,Locale_MainScenario:event_footstepwalkrun2_01_e_14,True,,130,1300,0.7,,,redhood,redhood,,,1,idle,,13,go
event_footstepwalkrun2_01_e_15,40066,event_footstepwalkrun2_01_e,Speech,Locale_MainScenario:event_footstepwalkrun2_01_e_15,True,,100,10,1.0,,,rapi_m,rapi_m,,,1,idle,,13,go
event_footstepwalkrun2_01_e_16,40066,event_footstepwalkrun2_01_e,Speech,Locale_MainScenario:event_footstepwalkrun2_01_e_16,False,,10,113,1.0,,,redhood,redhood,,,1,idle,,13,think
