id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
event_footstepwalkrun2_02_s_1,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_1,True,WasteLand_02,1300,130,0.5,none,,,,rapi_m,1,idle,redhood,13,pain_1
event_footstepwalkrun2_02_s_2,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_2,True,,130,130,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_3,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_3,True,,130,130,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_4,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_4,True,,130,113,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_5,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_5,True,,113,113,1.0,bgm_story_tepidappleade,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_6,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_6,True,,113,113,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_7,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_7,True,,113,113,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_8,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_8,True,,113,113,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_9,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_9,True,,113,10,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_10,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_10,True,,10,100,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_11,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_11,True,,130,1300,0.5,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_12,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_12,True,,100,100,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_13,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_13,True,,1300,1300,0.5,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_14,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_14,True,,100,100,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_15,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_15,True,,1300,1300,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_16,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_16,True,,100,10,0.7,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_17,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_17,True,,10,113,0.7,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_18,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_18,False,,113,113,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_19,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_19,False,,113,113,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_20,40066,event_footstepwalkrun2_02_s,Narration,rapi_m,,Locale_MainScenario:event_footstepwalkrun2_02_s_20,False,,113,113,1.0,none,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_21,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_21,True,,113,113,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_22,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_22,True,,113,113,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_23,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_23,True,,113,113,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_24,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_24,True,,113,113,1.0,bgm_intotheswarm,,,,,1,idle,,13,pain_2
event_footstepwalkrun2_02_s_25,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_25,True,,113,113,1.0,,,,,,1,idle,,13,pain_2
event_footstepwalkrun2_02_s_26,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_26,True,,113,113,1.0,,,,,,1,idle,,13,pain_2
event_footstepwalkrun2_02_s_27,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_27,True,,113,113,1.0,,,,,,1,idle,,13,pain_2
event_footstepwalkrun2_02_s_28,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_28,True,,113,130,1.0,,,,,,1,idle,,13,pain_2
event_footstepwalkrun2_02_s_29,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_29,True,,130,130,1.0,,,,,,1,idle,,13,pain_2
event_footstepwalkrun2_02_s_30,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_30,True,,130,130,1.0,,,,,,1,idle,,13,pain_2
event_footstepwalkrun2_02_s_31,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_31,True,,130,130,1.0,,,,,,1,idle,,13,pain_2
event_footstepwalkrun2_02_s_32,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_32,True,,130,113,1.0,,,,,,1,idle,,13,pain_2
event_footstepwalkrun2_02_s_33,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_33,True,,113,113,1.0,,,,,,1,idle,,13,pain_2
event_footstepwalkrun2_02_s_34,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_34,True,,113,113,1.0,,,,,,1,idle,,13,pain_2
event_footstepwalkrun2_02_s_35,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_35,True,,113,113,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_36,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_36,True,,113,113,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_37,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_37,True,,113,113,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_38,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_38,True,,113,113,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_39,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_39,True,,113,113,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_40,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_40,True,,113,13,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_41,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_41,True,,13,130,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_42,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_42,True,,130,130,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_43,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_43,True,,130,130,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_44,40066,event_footstepwalkrun2_02_s,Speech,redhood,redhood,Locale_MainScenario:event_footstepwalkrun2_02_s_44,True,,130,130,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_45,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_45,True,,130,10,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_46,40066,event_footstepwalkrun2_02_s,Speech,rapi_m,rapi_m,Locale_MainScenario:event_footstepwalkrun2_02_s_46,False,,10,10,1.0,,,,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_47,40066,event_footstepwalkrun2_02_s,Narration,rapi_m,,Locale_MainScenario:event_footstepwalkrun2_02_s_47,False,,10,100,1.0,,Grey,Vignetting,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_48,40066,event_footstepwalkrun2_02_s,Narration,rapi_m,,Locale_MainScenario:event_footstepwalkrun2_02_s_48,False,,100,100,1.0,,Grey,Vignetting,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_49,40066,event_footstepwalkrun2_02_s,Narration,rapi_m,,Locale_MainScenario:event_footstepwalkrun2_02_s_49,False,,100,100,1.0,,Grey,Vignetting,,,1,idle,,13,pain_1
event_footstepwalkrun2_02_s_50,40066,event_footstepwalkrun2_02_s,Narration,rapi_m,,Locale_MainScenario:event_footstepwalkrun2_02_s_50,False,,100,100,1.0,,Grey,Vignetting,,,1,idle,,13,pain_1
