id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_forrest_02_s_1,40072,event_forrest_02_s,Monologue,Locale_SubScenario:event_forrest_02_s_1,False,CommanderRoom,160,160,1.0,bgm_story_breakaway,,,,,,,,,,
event_forrest_02_s_2,40072,event_forrest_02_s,Monologue,Locale_SubScenario:event_forrest_02_s_2,False,,160,160,1.0,,,,,,,,,,,
event_forrest_02_s_3,40072,event_forrest_02_s,Self,Locale_SubScenario:event_forrest_02_s_3,False,,160,160,1.0,,,,,,,,,,,
event_forrest_02_s_4,40072,event_forrest_02_s,Monologue,Locale_SubScenario:event_forrest_02_s_4,False,,160,160,1.0,,,,,,,,,,,
event_forrest_02_s_5,40072,event_forrest_02_s,Monologue,Locale_SubScenario:event_forrest_02_s_5,False,,160,160,1.0,,,,,,,,,,,
event_forrest_02_s_6,40072,event_forrest_02_s,Monologue,Locale_SubScenario:event_forrest_02_s_6,False,,160,160,1.0,,,,,,,,,,,
event_forrest_02_s_7,40072,event_forrest_02_s,Monologue,Locale_SubScenario:event_forrest_02_s_7,False,,160,160,1.0,,,,,,,,,,,
event_forrest_02_s_8,40072,event_forrest_02_s,Monologue,Locale_SubScenario:event_forrest_02_s_8,False,,160,160,1.0,,,,,,,,,,,
event_forrest_02_s_9,40072,event_forrest_02_s,Monologue,Locale_SubScenario:event_forrest_02_s_9,False,,160,160,1.0,,,,,,,,,,,
event_forrest_02_s_10,40072,event_forrest_02_s,Self,Locale_SubScenario:event_forrest_02_s_10,False,,160,160,1.0,,,,,,,,,,,
event_forrest_02_s_11,40072,event_forrest_02_s,Monologue,Locale_SubScenario:event_forrest_02_s_11,False,,160,160,1.0,,,,,,,,,,,
event_forrest_02_s_12,40072,event_forrest_02_s,Monologue,Locale_SubScenario:event_forrest_02_s_12,False,,160,160,1.0,,,,,,,,,,,
event_forrest_02_s_13,40072,event_forrest_02_s,Monologue,Locale_SubScenario:event_forrest_02_s_13,False,,160,160,1.0,,,,,,,,,,,
event_forrest_02_s_14,40072,event_forrest_02_s,Monologue,Locale_SubScenario:event_forrest_02_s_14,False,,160,160,1.0,,,,,,,,,,,
event_forrest_02_s_15,40072,event_forrest_02_s,Monologue,Locale_SubScenario:event_forrest_02_s_15,False,,160,160,1.0,,,,,,,,,,,
