id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_forrest_03_s_1,40072,event_forrest_03_s,,Narration,,,Locale_SubScenario:event_forrest_03_s_1,False,Laboratory,,,,,,18,18,0,,,,100,event_bgm_secretgarden,,Vignetting,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_2,40072,event_forrest_03_s,,Narration,,,Locale_SubScenario:event_forrest_03_s_2,False,,,,,,,18,18,0,,,,100,,,Vignetting,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_3,40072,event_forrest_03_s,,Narration,,,Locale_SubScenario:event_forrest_03_s_3,False,land_s,,,,,,18,18,0,,,,100,,,Vignetting,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_4,40072,event_forrest_03_s,,Narration,,,Locale_SubScenario:event_forrest_03_s_4,False,Sky_s,,,,,,18,18,0,,,,100,,,Vignetting,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_5,40072,event_forrest_03_s,,Narration,,,Locale_SubScenario:event_forrest_03_s_5,False,,,,,,,18,18,0,,,,100,,,Vignetting,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_6,40072,event_forrest_03_s,,Speech,,linne,Locale_SubScenario:event_forrest_03_s_6,False,,,,,,,18,18,0,,,,100,,,Vignetting,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_7,40072,event_forrest_03_s,,Narration,,,Locale_SubScenario:event_forrest_03_s_7,False,,,,,,,black,black,0,,,,100,,,Vignetting,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_8,40072,event_forrest_03_s,,Narration,,,Locale_SubScenario:event_forrest_03_s_8,False,land_s,,,,,,black,black,0,,,,100,,,Vignetting,None,,None,False,linne,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_9,40072,event_forrest_03_s,,Speech,linne,linne,Locale_SubScenario:event_forrest_03_s_9,True,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_10,40072,event_forrest_03_s,,Speech,linne,trina,Locale_SubScenario:event_forrest_03_s_10,False,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_11,40072,event_forrest_03_s,,Speech,linne,trina,Locale_SubScenario:event_forrest_03_s_11,False,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_12,40072,event_forrest_03_s,,Speech,linne,linne,Locale_SubScenario:event_forrest_03_s_12,True,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_13,40072,event_forrest_03_s,,Speech,linne,linne,Locale_SubScenario:event_forrest_03_s_13,True,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_14,40072,event_forrest_03_s,,Speech,linne,linne,Locale_SubScenario:event_forrest_03_s_14,True,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_15,40072,event_forrest_03_s,,Speech,linne,linne,Locale_SubScenario:event_forrest_03_s_15,True,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_16,40072,event_forrest_03_s,,Speech,linne,linne,Locale_SubScenario:event_forrest_03_s_16,True,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_17,40072,event_forrest_03_s,,Speech,linne,linne,Locale_SubScenario:event_forrest_03_s_17,True,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_18,40072,event_forrest_03_s,,Speech,linne,linne,Locale_SubScenario:event_forrest_03_s_18,True,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_19,40072,event_forrest_03_s,,Speech,linne,linne,Locale_SubScenario:event_forrest_03_s_19,True,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_20,40072,event_forrest_03_s,,Speech,linne,trina,Locale_SubScenario:event_forrest_03_s_20,False,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_21,40072,event_forrest_03_s,,Speech,linne,linne,Locale_SubScenario:event_forrest_03_s_21,True,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_22,40072,event_forrest_03_s,,Speech,linne,trina,Locale_SubScenario:event_forrest_03_s_22,False,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_23,40072,event_forrest_03_s,,Speech,linne,trina,Locale_SubScenario:event_forrest_03_s_23,False,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_24,40072,event_forrest_03_s,,Speech,linne,trina,Locale_SubScenario:event_forrest_03_s_24,False,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_25,40072,event_forrest_03_s,,Speech,linne,trina,Locale_SubScenario:event_forrest_03_s_25,False,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_forrest_03_s_26,40072,event_forrest_03_s,,Speech,linne,trina,Locale_SubScenario:event_forrest_03_s_26,False,,,,,,,12,12,0,,,,100,,,Vignetting,None,,None,False,,,12,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
