id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_goddessfall2_intermission_01_1,40094,event_goddessfall2_intermission_01,,Speech,nayuta,nayuta,Locale_MainScenario:event_goddessfall2_intermission_01_1,True,BrokenEdenLobby,,,,,,113,113,0,,,,100,event_bgm_goddessfall_whateverittakes,,Grey,Vignetting,,None,False,nayuta,,1,idle_02,marian_q,,13,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_2,40094,event_goddessfall2_intermission_01,,Speech,nayuta,nayuta,Locale_MainScenario:event_goddessfall2_intermission_01_2,True,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_3,40094,event_goddessfall2_intermission_01,,Speech,marian_q,marian_q,Locale_MainScenario:event_goddessfall2_intermission_01_3,False,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_4,40094,event_goddessfall2_intermission_01,,Speech,nayuta,nayuta,Locale_MainScenario:event_goddessfall2_intermission_01_4,True,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_5,40094,event_goddessfall2_intermission_01,,Speech,marian_q,marian_q,Locale_MainScenario:event_goddessfall2_intermission_01_5,True,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,sad2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_6,40094,event_goddessfall2_intermission_01,,Speech,marian_q,marian_q,Locale_MainScenario:event_goddessfall2_intermission_01_6,True,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,sad2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_7,40094,event_goddessfall2_intermission_01,,Speech,marian_q,marian_q,Locale_MainScenario:event_goddessfall2_intermission_01_7,True,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,sad2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_8,40094,event_goddessfall2_intermission_01,,Speech,marian_q,marian_q,Locale_MainScenario:event_goddessfall2_intermission_01_8,True,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,sad2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_9,40094,event_goddessfall2_intermission_01,,Narration,marian_q,,Locale_MainScenario:event_goddessfall2_intermission_01_9,False,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,sad2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_10,40094,event_goddessfall2_intermission_01,,Narration,marian_q,,Locale_MainScenario:event_goddessfall2_intermission_01_10,False,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,sad2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_11,40094,event_goddessfall2_intermission_01,,Speech,marian_q,marian_q,Locale_MainScenario:event_goddessfall2_intermission_01_11,True,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_12,40094,event_goddessfall2_intermission_01,,Speech,nayuta,nayuta,Locale_MainScenario:event_goddessfall2_intermission_01_12,False,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_13,40094,event_goddessfall2_intermission_01,,Speech,marian_q,marian_q,Locale_MainScenario:event_goddessfall2_intermission_01_13,True,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_14,40094,event_goddessfall2_intermission_01,,Speech,marian_q,marian_q,Locale_MainScenario:event_goddessfall2_intermission_01_14,True,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_15,40094,event_goddessfall2_intermission_01,,Speech,nayuta,nayuta,Locale_MainScenario:event_goddessfall2_intermission_01_15,True,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_16,40094,event_goddessfall2_intermission_01,,Speech,nayuta,nayuta,Locale_MainScenario:event_goddessfall2_intermission_01_16,True,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_17,40094,event_goddessfall2_intermission_01,,Speech,marian_q,marian_q,Locale_MainScenario:event_goddessfall2_intermission_01_17,False,,,,,,,113,113,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,void,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_18,40094,event_goddessfall2_intermission_01,,Speech,marian_q,marian_q,Locale_MainScenario:event_goddessfall2_intermission_01_18,True,,,,,,,113,130,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_19,40094,event_goddessfall2_intermission_01,,Speech,marian_q,marian_q,Locale_MainScenario:event_goddessfall2_intermission_01_19,True,,,,,,,130,130,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_20,40094,event_goddessfall2_intermission_01,,Speech,marian_q,marian_q,Locale_MainScenario:event_goddessfall2_intermission_01_20,True,,,,,,,130,130,0,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_21,40094,event_goddessfall2_intermission_01,,Speech,marian_q,marian_q,Locale_MainScenario:event_goddessfall2_intermission_01_21,True,,,,,,,130,1300,1717986918,,,,100,,,Grey,Vignetting,,None,False,,,1,idle_02,,,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_22,40094,event_goddessfall2_intermission_01,,Speech,marian_q,marian_q,Locale_MainScenario:event_goddessfall2_intermission_01_22,True,EventScene_goddessfall_20_1,,,,,,black,black,0,,,,100,,,None,None,,Black,False,,nayuta,1,idle_02,,marian_q,13,angry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_23,40094,event_goddessfall2_intermission_01,,Narration,,,Locale_MainScenario:event_goddessfall2_intermission_01_23,False,,,,,,,goddessfall_15,goddessfall_16,0,,sfx_scn_missilelauncherfires,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_24,40094,event_goddessfall2_intermission_01,,Narration,,,Locale_MainScenario:event_goddessfall2_intermission_01_24,False,,,,,,,goddessfall_16,goddessfall_16,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_25,40094,event_goddessfall2_intermission_01,,Narration,,,Locale_MainScenario:event_goddessfall2_intermission_01_25,False,,,,,,,goddessfall_16,goddessfall_16,0,,sfx_scn_firemissiles,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_26,40094,event_goddessfall2_intermission_01,,Narration,,,Locale_MainScenario:event_goddessfall2_intermission_01_26,False,,,,,,,goddessfall_16,goddessfall_16,0,,sfx_scn_brokenmetaldrop,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_27,40094,event_goddessfall2_intermission_01,,Narration,,,Locale_MainScenario:event_goddessfall2_intermission_01_27,False,,,,,,,goddessfall_16,goddessfall_16,0,,sfx_scn_mbg004ready,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_28,40094,event_goddessfall2_intermission_01,,Narration,,,Locale_MainScenario:event_goddessfall2_intermission_01_28,False,,,,,,,goddessfall_16,goddessfall_16,0,,sfx_scn_energecharge,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_29,40094,event_goddessfall2_intermission_01,,Speech,marian_q,marian_q,Locale_MainScenario:event_goddessfall2_intermission_01_29,True,,,,,,,goddessfall_16,goddessfall_16,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_30,40094,event_goddessfall2_intermission_01,,Speech,indivilia,indivilia,Locale_MainScenario:event_goddessfall2_intermission_01_30,True,EventScene_goddessfall_20_2,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_31,40094,event_goddessfall2_intermission_01,,Narration,,,Locale_MainScenario:event_goddessfall2_intermission_01_31,False,,,,,,,goddessfall_17,goddessfall_17,0,,sfx_scn_ebg003shot,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_32,40094,event_goddessfall2_intermission_01,,Narration,,,Locale_MainScenario:event_goddessfall2_intermission_01_32,False,,,,,,,goddessfall_17,1,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goddessfall2_intermission_01_33,40094,event_goddessfall2_intermission_01,,Narration,,,Locale_MainScenario:event_goddessfall2_intermission_01_33,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
