id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_goldencoinrush2_epilogue_1,40049,event_goldencoinrush2_epilogue,,Speech,soda,soda,Locale_MainScenario:event_goldencoinrush2_epilogue_1,True,NikkeRoom,,,,,,5,5,0,,,,100,bgm_story_orangepop,,None,None,,None,False,soda,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_2,40049,event_goldencoinrush2_epilogue,,Speech,soda,soda,Locale_MainScenario:event_goldencoinrush2_epilogue_2,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_3,40049,event_goldencoinrush2_epilogue,,Speech,soda,soda,Locale_MainScenario:event_goldencoinrush2_epilogue_3,True,,,,,,,5,S_50,858993459,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_4,40049,event_goldencoinrush2_epilogue,,Speech,soda,soda,Locale_MainScenario:event_goldencoinrush2_epilogue_4,True,,,,,,,S_50,5,-858993459,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_5,40049,event_goldencoinrush2_epilogue,,Speech,soda,soda,Locale_MainScenario:event_goldencoinrush2_epilogue_5,True,,,,,,,5,S_50,858993459,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_6,40049,event_goldencoinrush2_epilogue,,Speech,soda,soda,Locale_MainScenario:event_goldencoinrush2_epilogue_6,True,,,,,,,S_50,5,-858993459,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_7,40049,event_goldencoinrush2_epilogue,,Speech,soda,soda,Locale_MainScenario:event_goldencoinrush2_epilogue_7,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_8,40049,event_goldencoinrush2_epilogue,,Speech,soda,soda,Locale_MainScenario:event_goldencoinrush2_epilogue_8,True,,,,,,,5,S_50,0,,,,100,,,None,None,,None,False,,,5,serious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_9,40049,event_goldencoinrush2_epilogue,,Speech,soda,soda,Locale_MainScenario:event_goldencoinrush2_epilogue_9,True,,,,,,,S_50,S_50,0,,,,100,,,None,None,,None,False,,,5,serious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_10,40049,event_goldencoinrush2_epilogue,,Speech,soda,soda,Locale_MainScenario:event_goldencoinrush2_epilogue_10,True,,,,,,,S_50,S_50,0,,,,100,,,None,None,,None,False,,,5,serious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_11,40049,event_goldencoinrush2_epilogue,,Speech,soda,soda,Locale_MainScenario:event_goldencoinrush2_epilogue_11,True,City_d,,,,,,12,5,0,,,,100,,,None,None,,Black,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_12,40049,event_goldencoinrush2_epilogue,,Speech,soda,soda,Locale_MainScenario:event_goldencoinrush2_epilogue_12,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_13,40049,event_goldencoinrush2_epilogue,,Speech,soda,soda,Locale_MainScenario:event_goldencoinrush2_epilogue_13,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_14,40049,event_goldencoinrush2_epilogue,,Speech,glasseswoman,glasseswoman,Locale_MainScenario:event_goldencoinrush2_epilogue_14,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_15,40049,event_goldencoinrush2_epilogue,,Speech,glasseswoman,glasseswoman,Locale_MainScenario:event_goldencoinrush2_epilogue_15,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_16,40049,event_goldencoinrush2_epilogue,,Speech,glasseswoman,glasseswoman,Locale_MainScenario:event_goldencoinrush2_epilogue_16,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_17,40049,event_goldencoinrush2_epilogue,,Speech,cameraman,cameraman,Locale_MainScenario:event_goldencoinrush2_epilogue_17,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_18,40049,event_goldencoinrush2_epilogue,,Speech,cameraman,cameraman,Locale_MainScenario:event_goldencoinrush2_epilogue_18,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_19,40049,event_goldencoinrush2_epilogue,,Speech,youngman,youngman,Locale_MainScenario:event_goldencoinrush2_epilogue_19,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_20,40049,event_goldencoinrush2_epilogue,,Speech,soda,soda,Locale_MainScenario:event_goldencoinrush2_epilogue_20,True,,,,,,,5,S_50,0,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_21,40049,event_goldencoinrush2_epilogue,,Speech,soda,soda,Locale_MainScenario:event_goldencoinrush2_epilogue_21,True,,,,,,,S_50,S_50,0,,,,100,,,None,None,,None,False,,,5,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_22,40049,event_goldencoinrush2_epilogue,,Narration,alice,,Locale_MainScenario:event_goldencoinrush2_epilogue_22,False,,,,,,,S_50,S_50,0,,sfx_scn_toyshopbell,,100,,,None,None,,None,False,,soda,5,sad,ludmilla,,13,idle,alice,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_23,40049,event_goldencoinrush2_epilogue,,Speech,alice,alice,Locale_MainScenario:event_goldencoinrush2_epilogue_23,True,,,,,,,S_50,14,0,,,,100,,,None,None,,None,False,,,,,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_24,40049,event_goldencoinrush2_epilogue,,Speech,alice,alice,Locale_MainScenario:event_goldencoinrush2_epilogue_24,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,,,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_goldencoinrush2_epilogue_25,40049,event_goldencoinrush2_epilogue,,Speech,ludmilla,ludmilla,Locale_MainScenario:event_goldencoinrush2_epilogue_25,True,,,,,,,14,14,0,,,,100,,,None,None,,None,False,,,,,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
