id,event_id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,jump_target,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01,fade,characters/1/hide_char_id,characters/2/hide_char_id
event_jinxplayer_02_e_1,40058,event_jinxplayer_02_e,Self,Self,Locale_SubScenario:event_jinxplayer_02_e_1,False,rouge,3,think,NikkeRoom,3,3,1.0,none,,,,,,,,,,,,,,
event_jinxplayer_02_e_2,40058,event_jinxplayer_02_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_02_e_2,True,,3,think,,3,3,1.0,bgm_frostpillar,rouge,,,,,,,,,,,,,
event_jinxplayer_02_e_3,40058,event_jinxplayer_02_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_02_e_3,True,,3,think,,3,3,1.0,,rouge,,,,,,,,,,,,,
event_jinxplayer_02_e_4,40058,event_jinxplayer_02_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_02_e_4,True,,3,sad,,3,30,1.0,,rouge,,,,,,,,,,,,,
event_jinxplayer_02_e_5,40058,event_jinxplayer_02_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_02_e_5,True,,3,sad,,30,30,1.0,,rouge,,,,,,,,,,,,,
event_jinxplayer_02_e_6,40058,event_jinxplayer_02_e,Self,Self,Locale_SubScenario:event_jinxplayer_02_e_6,False,,3,sad,,30,30,1.0,,,,,,,,,,,,,,,
event_jinxplayer_02_e_7,40058,event_jinxplayer_02_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_02_e_7,True,,3,think,,30,30,1.0,,rouge,,,,,,,,,,,,,
event_jinxplayer_02_e_8,40058,event_jinxplayer_02_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_02_e_8,True,,3,think,,30,30,1.0,,rouge,,,,,,,,,,,,,
event_jinxplayer_02_e_9,40058,event_jinxplayer_02_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_02_e_9,True,,3,think,,30,30,1.0,,rouge,,,,,,,,,,,,,
event_jinxplayer_02_e_10,40058,event_jinxplayer_02_e,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_02_e_10,False,,3,think,,30,30,1.0,,,,,,,,,,,,,,,
event_jinxplayer_02_e_11,40058,event_jinxplayer_02_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_02_e_11,True,,3,sad,,30,30,1.0,,rouge,,,,,,,,,,,,,
event_jinxplayer_02_e_12,40058,event_jinxplayer_02_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_02_e_12,True,,3,think,,30,30,1.0,,rouge,,,,,,,,,,,,,
event_jinxplayer_02_e_13,40058,event_jinxplayer_02_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_02_e_13,True,,3,think,,30,30,1.0,,rouge,,,,,,,,,,,,,
event_jinxplayer_02_e_14,40058,event_jinxplayer_02_e,Speech,rouge,Locale_SubScenario:event_jinxplayer_02_e_14,True,,3,think,,30,30,1.0,,rouge,,,,,,,,,,,,,
event_jinxplayer_02_e_15,40058,event_jinxplayer_02_e,Monologue,Monologue,Locale_SubScenario:event_jinxplayer_02_e_15,False,,3,think,,30,30,1.0,,,,,,,,,,,,,,,
