id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,fade,characters/0/hide_char_id
event_juveniledays_01_e_1,40053,event_juveniledays_01_e,Narration,ein,Locale_SubScenario:event_juveniledays_01_e_1,False,Classroom_e,1,1,1.0,sfx_scn_schoolbell,none,,,,,,,,,,,,,,
event_juveniledays_01_e_2,40053,event_juveniledays_01_e,Monologue,ein,Locale_SubScenario:event_juveniledays_01_e_2,False,,1,1,1.0,,bgm_story_orangepop,,,,,,,,,,,,,,
event_juveniledays_01_e_3,40053,event_juveniledays_01_e,Monologue,ein,Locale_SubScenario:event_juveniledays_01_e_3,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_juveniledays_01_e_4,40053,event_juveniledays_01_e,Monologue,ein,Locale_SubScenario:event_juveniledays_01_e_4,False,,1,1,1.0,,,,,,,,,,,,,,,,
event_juveniledays_01_e_5,40053,event_juveniledays_01_e,Speech,ein,Locale_SubScenario:event_juveniledays_01_e_5,True,,1,10,1.0,,,ein,ein,1,surprise,,,,,,,,,,
event_juveniledays_01_e_6,40053,event_juveniledays_01_e,Speech,ein,Locale_SubScenario:event_juveniledays_01_e_6,True,,10,10,1.0,,,ein,,1,surprise,,,,,,,,,,
event_juveniledays_01_e_7,40053,event_juveniledays_01_e,Speech,ein,Locale_SubScenario:event_juveniledays_01_e_7,True,,10,10,1.0,,,ein,,1,surprise,,,,,,,,,,
event_juveniledays_01_e_8,40053,event_juveniledays_01_e,Self,ein,Locale_SubScenario:event_juveniledays_01_e_8,False,,10,10,1.0,,,,,1,surprise,,,,,,,,,,
event_juveniledays_01_e_9,40053,event_juveniledays_01_e,Speech,ein,Locale_SubScenario:event_juveniledays_01_e_9,True,,10,10,1.0,,,ein,,1,delight,,,,,,,,,,
event_juveniledays_01_e_10,40053,event_juveniledays_01_e,Speech,ein,Locale_SubScenario:event_juveniledays_01_e_10,True,,10,100,1.0,,,ein,,1,surprise,,,,,,,,,,
event_juveniledays_01_e_11,40053,event_juveniledays_01_e,Speech,ein,Locale_SubScenario:event_juveniledays_01_e_11,True,,100,100,1.0,,,ein,,1,surprise,,,,,,,,,,
event_juveniledays_01_e_12,40053,event_juveniledays_01_e,Speech,ein,Locale_SubScenario:event_juveniledays_01_e_12,True,,100,100,1.0,,,ein,,1,surprise,,,,,,,,,,
event_juveniledays_01_e_13,40053,event_juveniledays_01_e,Self,ein,Locale_SubScenario:event_juveniledays_01_e_13,False,,100,100,1.0,,,,,1,surprise,,,,,,,,,,
event_juveniledays_01_e_14,40053,event_juveniledays_01_e,Speech,ein,Locale_SubScenario:event_juveniledays_01_e_14,True,,100,10,1.0,,,ein,,1,shy,,,,,,,,,,
event_juveniledays_01_e_15,40053,event_juveniledays_01_e,Speech,ein,Locale_SubScenario:event_juveniledays_01_e_15,True,,10,10,1.0,,,ein,,1,delight,,,,,,,,,,
event_juveniledays_01_e_16,40053,event_juveniledays_01_e,Speech,ein,Locale_SubScenario:event_juveniledays_01_e_16,True,,10,10,1.0,,,ein,,1,delight,,,,,,,,,,
event_juveniledays_01_e_17,40053,event_juveniledays_01_e,Self,ein,Locale_SubScenario:event_juveniledays_01_e_17,False,,10,10,1.0,,,,,1,delight,,,,,,,,,,
