id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,set_filter_01,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
event_neverland2_01_e_1,40035,event_neverland2_01_e,Narration,Locale_MainScenario:event_neverland2_01_e_1,False,Church,black,black,1.0,sfx_scn_3shutter,none,Grey,,,,orphandirector,1,idle,,royalwoman,3,idle,
event_neverland2_01_e_2,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_2,True,,1,L_10,1.0,,,Grey,orphandirector,orphandirector,,,1,idle,,,3,idle,
event_neverland2_01_e_3,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_3,True,,L_10,L_10,1.0,,bgm_story_weare,Grey,orphandirector,orphandirector,,,1,idle,,,3,idle,
event_neverland2_01_e_4,40035,event_neverland2_01_e,Narration,Locale_MainScenario:event_neverland2_01_e_4,False,,L_10,L_10,1.0,sfx_scn_3shutter,,Grey,,,,,1,idle,,,3,idle,
event_neverland2_01_e_5,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_5,True,,L_10,31,2.0,,,Grey,royalwoman,royalwoman,,,1,idle,,,3,idle,
event_neverland2_01_e_6,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_6,True,,31,31,1.0,,,Grey,royalwoman,royalwoman,,,1,idle,,,3,idle,
event_neverland2_01_e_7,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_7,True,,31,31,1.0,,,Grey,orphandirector,orphandirector,,,1,idle,,,3,idle,
event_neverland2_01_e_8,40035,event_neverland2_01_e,Narration,Locale_MainScenario:event_neverland2_01_e_8,False,,black,black,1.0,,,Grey,,,,,1,idle,,,3,idle,
event_neverland2_01_e_9,40035,event_neverland2_01_e,Narration,Locale_MainScenario:event_neverland2_01_e_9,False,,black,black,1.0,sfx_scn_3shutter,,Grey,,,,,1,idle,,,3,idle,
event_neverland2_01_e_10,40035,event_neverland2_01_e,Narration,Locale_MainScenario:event_neverland2_01_e_10,False,,black,black,1.0,,,Grey,,,,,1,idle,,,3,idle,
event_neverland2_01_e_11,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_11,True,,31,31,1.0,,,Grey,royalwoman,royalwoman,,,1,idle,,,3,idle,
event_neverland2_01_e_12,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_12,True,,31,31,1.0,,,Grey,royalwoman,royalwoman,,,1,idle,,,3,idle,
event_neverland2_01_e_13,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_13,True,,31,31,1.0,,,Grey,orphandirector,orphandirector,,,1,idle,,,3,idle,
event_neverland2_01_e_14,40035,event_neverland2_01_e,Narration,Locale_MainScenario:event_neverland2_01_e_14,False,,black,black,1.0,,,Grey,,,,,1,idle,,,3,idle,
event_neverland2_01_e_15,40035,event_neverland2_01_e,Narration,Locale_MainScenario:event_neverland2_01_e_15,False,,black,black,1.0,,,Grey,,,,,1,idle,,,3,idle,
event_neverland2_01_e_16,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_16,True,,30,30,1.0,,,Grey,royalwoman,royalwoman,,,1,idle,,,3,idle,
event_neverland2_01_e_17,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_17,True,,30,30,1.0,,,Grey,mica_w,mica_w,,,1,idle,,,3,idle,
event_neverland2_01_e_18,40035,event_neverland2_01_e,Narration,Locale_MainScenario:event_neverland2_01_e_18,False,,30,30,1.0,,,Grey,,,,,1,idle,,,3,idle,
event_neverland2_01_e_19,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_19,True,,30,30,1.0,,,Grey,mica_w,mica_w,,,1,idle,,,3,idle,
event_neverland2_01_e_20,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_20,True,,30,30,1.0,,,Grey,belorta,belorta,,,1,idle,,,3,idle,
event_neverland2_01_e_21,40035,event_neverland2_01_e,Narration,Locale_MainScenario:event_neverland2_01_e_21,False,,30,30,1.0,,,Grey,,,,,1,idle,,,3,idle,
event_neverland2_01_e_22,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_22,False,,30,31,2.0,,,Grey,royalwoman,royalwoman,,,1,idle,,,3,idle,
event_neverland2_01_e_23,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_23,True,,31,31,1.0,,,Grey,orphandirector,orphandirector,,,1,idle,,,3,idle,
event_neverland2_01_e_24,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_24,True,,31,30,1.0,,,Grey,royalwoman,royalwoman,,,1,idle,,,3,idle,
event_neverland2_01_e_25,40035,event_neverland2_01_e,Narration,Locale_MainScenario:event_neverland2_01_e_25,False,,30,30,1.0,,,Grey,,,,,1,idle,,,3,idle,
event_neverland2_01_e_26,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_26,True,,30,300,1.0,,,Grey,royalwoman,royalwoman,,,1,idle,,,3,idle,
event_neverland2_01_e_27,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_27,True,,300,300,1.0,,,Grey,royalwoman,royalwoman,,,1,idle,,,3,idle,
event_neverland2_01_e_28,40035,event_neverland2_01_e,Narration,Locale_MainScenario:event_neverland2_01_e_28,False,,300,300,1.0,,,Grey,,,,,1,idle,,,3,idle,
event_neverland2_01_e_29,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_29,True,,300,31,2.0,,,Grey,orphandirector,orphandirector,,,1,idle,,,3,idle,
event_neverland2_01_e_30,40035,event_neverland2_01_e,Narration,Locale_MainScenario:event_neverland2_01_e_30,False,,31,31,1.0,,,Grey,,,,,1,idle,,,3,idle,
event_neverland2_01_e_31,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_31,True,,31,31,1.0,,,Grey,royalwoman,royalwoman,,,1,idle,,,3,idle,
event_neverland2_01_e_32,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_32,True,,31,31,1.0,,,Grey,orphandirector,orphandirector,,,1,idle,,,3,idle,
event_neverland2_01_e_33,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_33,True,,31,31,1.0,,,Grey,royalwoman,royalwoman,,,1,idle,,,3,idle,
event_neverland2_01_e_34,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_34,True,,31,31,1.0,,,Grey,royalwoman,royalwoman,,,1,idle,,,3,idle,
event_neverland2_01_e_35,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_35,True,,31,31,1.0,,,Grey,royalwoman,royalwoman,,,1,idle,,,3,idle,
event_neverland2_01_e_36,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_36,False,,31,31,1.0,,,Grey,orphandirector,orphandirector,,,1,idle,,,3,idle,
event_neverland2_01_e_37,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_37,True,,31,31,1.0,,,Grey,orphandirector,orphandirector,,,1,idle,,,3,idle,
event_neverland2_01_e_38,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_38,True,,31,31,1.0,,,Grey,orphandirector,orphandirector,,,1,idle,,,3,idle,
event_neverland2_01_e_39,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_39,True,,31,75,2.0,,,Grey,mica_w,mica_w,,,1,idle,,,3,idle,
event_neverland2_01_e_40,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_40,True,,75,75,1.0,,,Grey,belorta,belorta,,,1,idle,,,3,idle,
event_neverland2_01_e_41,40035,event_neverland2_01_e,Narration,Locale_MainScenario:event_neverland2_01_e_41,False,EventScene_NeverLand_02_1,black,black,1.0,,,Grey,,,black,,1,idle,orphandirector,,3,idle,royalwoman
event_neverland2_01_e_42,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_42,True,,mica_belorta_01,mica_belorta_02,2.0,,,Grey,belorta,belorta,,,,,,,,,
event_neverland2_01_e_43,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_43,True,,mica_belorta_02,mica_belorta_03,2.0,,,Grey,mica_w,mica_w,,,,,,,,,
event_neverland2_01_e_44,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_44,True,,mica_belorta_03,mica_belorta_03,1.0,,,Grey,belorta,belorta,,,,,,,,,
event_neverland2_01_e_45,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_45,True,,mica_belorta_03,mica_belorta_04,2.0,,,Grey,mica_w,mica_w,,,,,,,,,
event_neverland2_01_e_46,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_46,True,,mica_belorta_04,mica_belorta_04,1.0,,,Grey,mica_w,mica_w,,,,,,,,,
event_neverland2_01_e_47,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_47,True,,mica_belorta_04,mica_belorta_04,1.0,,,Grey,belorta,belorta,,,,,,,,,
event_neverland2_01_e_48,40035,event_neverland2_01_e,Narration,Locale_MainScenario:event_neverland2_01_e_48,False,,mica_belorta_04,1,2.0,,,Grey,,,,,,,,,,,
event_neverland2_01_e_49,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_49,True,,1,1,1.0,,,Grey,belorta,belorta,,,,,,,,,
event_neverland2_01_e_50,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_50,True,,1,mica_belorta_03,3.0,,,Grey,mica_w,mica_w,,,,,,,,,
event_neverland2_01_e_51,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_51,True,,mica_belorta_03,mica_belorta_03,1.0,,,Grey,belorta,belorta,,,,,,,,,
event_neverland2_01_e_52,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_52,True,,mica_belorta_03,mica_belorta_03,3.0,,,Grey,mica_w,mica_w,,,,,,,,,
event_neverland2_01_e_53,40035,event_neverland2_01_e,Narration,Locale_MainScenario:event_neverland2_01_e_53,False,,mica_belorta_03,mica_belorta_03,1.0,sfx_scn_dooropenfast,,Grey,,,,,,,,,,,
event_neverland2_01_e_54,40035,event_neverland2_01_e,Speech,Locale_MainScenario:event_neverland2_01_e_54,True,,mica_belorta_03,mica_belorta_03,1.0,,,Grey,orphandirector,orphandirector,,,,,,,,,
