id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound
event_newflavor_01_e_1,40073,event_newflavor_01_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_01_e_1,True,rapi,3,idle,bready,1,idle,crust,13,delight,CommanderRoom,XS_130,XS_130,1.0,bgm_story_alittlestar,
event_newflavor_01_e_2,40073,event_newflavor_01_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_01_e_2,True,,3,idle,,1,idle,,13,delight,,XS_130,XS_130,1.0,,
event_newflavor_01_e_3,40073,event_newflavor_01_e,Monologue,crust,,Locale_SubScenario:event_newflavor_01_e_3,False,,3,idle,,1,idle,,13,delight,,XS_130,XS_130,1.0,,
event_newflavor_01_e_4,40073,event_newflavor_01_e,Monologue,crust,,Locale_SubScenario:event_newflavor_01_e_4,False,,3,idle,,1,idle,,13,delight,,XS_130,XS_130,1.0,,
event_newflavor_01_e_5,40073,event_newflavor_01_e,Self,crust,,Locale_SubScenario:event_newflavor_01_e_5,False,,3,idle,,1,idle,,13,delight,,XS_130,XS_130,1.0,,
event_newflavor_01_e_6,40073,event_newflavor_01_e,Self,crust,,Locale_SubScenario:event_newflavor_01_e_6,False,,3,idle,,1,idle,,13,delight,,XS_130,XS_130,1.0,,
event_newflavor_01_e_7,40073,event_newflavor_01_e,Self,crust,,Locale_SubScenario:event_newflavor_01_e_7,False,,3,idle,,1,idle,,13,delight,,XS_130,XS_130,1.0,,
event_newflavor_01_e_8,40073,event_newflavor_01_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_01_e_8,True,,3,idle,,1,idle,,13,surprise,,XS_130,XS_130,1.0,,
event_newflavor_01_e_9,40073,event_newflavor_01_e,Speech,bready,bready,Locale_SubScenario:event_newflavor_01_e_9,True,,3,idle,,1,idle,,13,surprise,,XS_130,12,1.3,,
event_newflavor_01_e_10,40073,event_newflavor_01_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_01_e_10,True,,3,idle,,1,idle,,13,think,,12,12,1.0,,
event_newflavor_01_e_11,40073,event_newflavor_01_e,Speech,crust,crust,Locale_SubScenario:event_newflavor_01_e_11,True,,3,idle,,1,idle,,13,think,,12,12,1.0,,
