id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_nocallerid_03_e_1,40001,event_nocallerid_03_e,,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_e_1,True,WasteLand_03,,,,,,13,13,0,,,,100,bgm_distress,,None,None,,None,False,neon,,3,idle,anis,,1,worry,rapi,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_2,40001,event_nocallerid_03_e,,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_e_2,True,,,,,,,13,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,worry,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_3,40001,event_nocallerid_03_e,,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_e_3,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,worry,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_4,40001,event_nocallerid_03_e,,Monologue,rapi,Monologue,Locale_SubScenario:event_nocallerid_03_e_4,False,,,,,,,12,17,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_5,40001,event_nocallerid_03_e,,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_e_5,True,,,,,,,17,13,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_6,40001,event_nocallerid_03_e,,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_e_6,True,,,,,,,13,13,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_7,40001,event_nocallerid_03_e,,Self,rapi,Self,Locale_SubScenario:event_nocallerid_03_e_7,False,,,,,,,13,13,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_8,40001,event_nocallerid_03_e,,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_e_8,True,,,,,,,13,130,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,void,,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_9,40001,event_nocallerid_03_e,,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_e_9,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_10,40001,event_nocallerid_03_e,,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_e_10,False,,,,,,,130,13,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_11,40001,event_nocallerid_03_e,,Speech,rapi,rapi,Locale_SubScenario:event_nocallerid_03_e_11,True,,,,,,,13,130,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_12,40001,event_nocallerid_03_e,,Self,rapi,Self,Locale_SubScenario:event_nocallerid_03_e_12,False,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_13,40001,event_nocallerid_03_e,,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_e_13,True,,,,,,,130,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,worry,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_14,40001,event_nocallerid_03_e,,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_e_14,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,worry,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_15,40001,event_nocallerid_03_e,,Narration,,Narration,Locale_SubScenario:event_nocallerid_03_e_15,False,ArkRuinIndoor,,,,,,black,black,0,,sfx_scn_takeofflock,,100,,,None,None,,Black,False,,,3,idle,,,1,worry,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_16,40001,event_nocallerid_03_e,,Monologue,,Monologue,Locale_SubScenario:event_nocallerid_03_e_16,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_17,40001,event_nocallerid_03_e,,Monologue,,Monologue,Locale_SubScenario:event_nocallerid_03_e_17,False,,,,,,,6,6,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,void,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_18,40001,event_nocallerid_03_e,,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_e_18,True,,,,,,,6,1,0,,,,100,,,None,None,,None,False,,,3,idle,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_19,40001,event_nocallerid_03_e,,Speech,neon,neon,Locale_SubScenario:event_nocallerid_03_e_19,True,,,,,,,1,S_30,0,,,,100,,,None,None,,None,False,,,3,surprise,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_20,40001,event_nocallerid_03_e,,Monologue,,Monologue,Locale_SubScenario:event_nocallerid_03_e_20,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,neon,3,surprise,,anis,1,idle,,rapi,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_21,40001,event_nocallerid_03_e,,Monologue,,Monologue,Locale_SubScenario:event_nocallerid_03_e_21,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,3,surprise,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_22,40001,event_nocallerid_03_e,,Speech,neon,neon,Locale_SubScenario:event_nocallerid_03_e_22,True,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,neon,,3,surprise,anis,,1,idle,rapi,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_23,40001,event_nocallerid_03_e,,Self,,Self,Locale_SubScenario:event_nocallerid_03_e_23,False,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,,,3,surprise,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_24,40001,event_nocallerid_03_e,,Speech,neon,neon,Locale_SubScenario:event_nocallerid_03_e_24,True,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,,,3,delight,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_25,40001,event_nocallerid_03_e,,Speech,neon,neon,Locale_SubScenario:event_nocallerid_03_e_25,True,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,,,3,delight,,,1,idle,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_26,40001,event_nocallerid_03_e,,Speech,anis,anis,Locale_SubScenario:event_nocallerid_03_e_26,True,,,,,,,S_30,2,0,,,,100,,,None,None,,None,False,,,3,delight,,,1,delight,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_nocallerid_03_e_27,40001,event_nocallerid_03_e,,Speech,neon,neon,Locale_SubScenario:event_nocallerid_03_e_27,True,,,,,,,2,2,0,,,,100,,,None,None,,None,False,,,3,worry,,,1,delight,,,13,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
