id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_overthehorizon_03_s_1,40081,event_overthehorizon_03_s,,Speech,sky,sky,Locale_SubScenario:event_overthehorizon_03_s_1,True,Hospital,,,,,,XS_300,XS_300,0,,,,100,bgm_story_backtonormal,,None,None,,None,False,sora,,1,idle,sky,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_2,40081,event_overthehorizon_03_s,,Speech,sky,sky,Locale_SubScenario:event_overthehorizon_03_s_2,True,,,,,,,XS_300,XS_300,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_3,40081,event_overthehorizon_03_s,,Speech,sky,sky,Locale_SubScenario:event_overthehorizon_03_s_3,True,,,,,,,XS_300,XS_30,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_4,40081,event_overthehorizon_03_s,,Self,sky,,Locale_SubScenario:event_overthehorizon_03_s_4,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_5,40081,event_overthehorizon_03_s,,Speech,sky,sky,Locale_SubScenario:event_overthehorizon_03_s_5,True,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_6,40081,event_overthehorizon_03_s,,Self,sky,,Locale_SubScenario:event_overthehorizon_03_s_6,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_7,40081,event_overthehorizon_03_s,,Speech,sky,sky,Locale_SubScenario:event_overthehorizon_03_s_7,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_8,40081,event_overthehorizon_03_s,,Self,sky,,Locale_SubScenario:event_overthehorizon_03_s_8,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_9,40081,event_overthehorizon_03_s,,Speech,sky,sky,Locale_SubScenario:event_overthehorizon_03_s_9,True,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_10,40081,event_overthehorizon_03_s,,Self,sky,,Locale_SubScenario:event_overthehorizon_03_s_10,False,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_11,40081,event_overthehorizon_03_s,,Speech,sky,sky,Locale_SubScenario:event_overthehorizon_03_s_11,True,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_12,40081,event_overthehorizon_03_s,,Speech,sky,sky,Locale_SubScenario:event_overthehorizon_03_s_12,True,,,,,,,XS_30,XS_30,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_13,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_13,True,,,,,,,XS_30,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_14,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_14,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_15,40081,event_overthehorizon_03_s,,Speech,sky,sky,Locale_SubScenario:event_overthehorizon_03_s_15,True,,,,,,,10,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_16,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_16,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_17,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_17,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_18,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_18,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_19,40081,event_overthehorizon_03_s,,Speech,sky,sky,Locale_SubScenario:event_overthehorizon_03_s_19,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_20,40081,event_overthehorizon_03_s,,Speech,sky,sky,Locale_SubScenario:event_overthehorizon_03_s_20,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_21,40081,event_overthehorizon_03_s,,Speech,sky,sky,Locale_SubScenario:event_overthehorizon_03_s_21,True,,,,,,,31,31,0,,,,100,,,None,None,,None,False,,,1,idle,,,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_22,40081,event_overthehorizon_03_s,,Monologue,sky,,Locale_SubScenario:event_overthehorizon_03_s_22,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,idle,,sky,3,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_23,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_23,True,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_24,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_24,True,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_25,40081,event_overthehorizon_03_s,,Self,sora,,Locale_SubScenario:event_overthehorizon_03_s_25,False,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_26,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_26,True,,,,,,,100,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_27,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_27,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_28,40081,event_overthehorizon_03_s,,Self,sora,,Locale_SubScenario:event_overthehorizon_03_s_28,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_29,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_29,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_30,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_30,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_31,40081,event_overthehorizon_03_s,,Self,sora,,Locale_SubScenario:event_overthehorizon_03_s_31,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_32,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_32,True,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_33,40081,event_overthehorizon_03_s,,Self,sora,,Locale_SubScenario:event_overthehorizon_03_s_33,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_34,40081,event_overthehorizon_03_s,,Self,sora,,Locale_SubScenario:event_overthehorizon_03_s_34,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_35,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_35,False,,,,,,,10,100,0,,,,100,,,None,None,,None,False,,,1,idle2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_36,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_36,True,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_37,40081,event_overthehorizon_03_s,,Self,sora,,Locale_SubScenario:event_overthehorizon_03_s_37,False,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,delight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_38,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_38,True,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_39,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_39,True,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_40,40081,event_overthehorizon_03_s,,Monologue,sora,,Locale_SubScenario:event_overthehorizon_03_s_40,False,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_41,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_41,True,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_42,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_42,True,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_43,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_43,True,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_44,40081,event_overthehorizon_03_s,,Self,sora,,Locale_SubScenario:event_overthehorizon_03_s_44,False,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_45,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_45,True,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_46,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_46,True,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_47,40081,event_overthehorizon_03_s,,Speech,sora,sora,Locale_SubScenario:event_overthehorizon_03_s_47,True,,,,,,,100,10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_48,40081,event_overthehorizon_03_s,,Monologue,,,Locale_SubScenario:event_overthehorizon_03_s_48,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,sora,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_49,40081,event_overthehorizon_03_s,,Self,,,Locale_SubScenario:event_overthehorizon_03_s_49,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_50,40081,event_overthehorizon_03_s,,Self,,,Locale_SubScenario:event_overthehorizon_03_s_50,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_51,40081,event_overthehorizon_03_s,,Narration,,,Locale_SubScenario:event_overthehorizon_03_s_51,False,,,,,,,10,10,0,,sfx_scn_phonevibration,,100,none,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_52,40081,event_overthehorizon_03_s,,Self,,,Locale_SubScenario:event_overthehorizon_03_s_52,False,,,,,,,10,10,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_53,40081,event_overthehorizon_03_s,,Monologue,,,Locale_SubScenario:event_overthehorizon_03_s_53,False,,,,,,,10,100,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_overthehorizon_03_s_54,40081,event_overthehorizon_03_s,,Self,,,Locale_SubScenario:event_overthehorizon_03_s_54,False,,,,,,,100,100,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
