id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
event_overzone1_06_s_1,80303,event_overzone1_06_s,Narration,Locale_MainScenario:event_overzone1_06_s_1,False,Desert_05,black,black,1.0,sfx_scn_heavysupplies,bgm_story_thepilgrimacv,,,,dorothy,1,worry,snowwhite,3,idle,,hongryeon,5,surprise,,rapunzel,7,sad,,pinne,13,worry
event_overzone1_06_s_2,80303,event_overzone1_06_s,Narration,Locale_MainScenario:event_overzone1_06_s_2,False,,black,black,1.0,sfx_scn_crumblingsupplies,,,,,,1,worry,,3,idle,,,5,surprise,,,7,sad,,,13,worry
event_overzone1_06_s_3,80303,event_overzone1_06_s,Narration,Locale_MainScenario:event_overzone1_06_s_3,False,,black,black,1.0,,,,,,,1,worry,,3,idle,,,5,surprise,,,7,sad,,,13,worry
event_overzone1_06_s_4,80303,event_overzone1_06_s,Speech,Locale_MainScenario:event_overzone1_06_s_4,False,,3,L_30,1.0,,,snowwhite,snowwhite,,,1,worry,,3,idle,,,5,surprise,,,7,sad,,,13,worry
event_overzone1_06_s_5,80303,event_overzone1_06_s,Speech,Locale_MainScenario:event_overzone1_06_s_5,True,,75,75,1.0,,,hongryeon,hongryeon,,,1,worry,,3,idle,,,5,surprise,,,7,sad,,,13,worry
event_overzone1_06_s_6,80303,event_overzone1_06_s,Speech,Locale_MainScenario:event_overzone1_06_s_6,True,,75,75,1.0,,,rapunzel,rapunzel,,,1,worry,,3,idle,,,5,surprise,,,7,sad,,,13,worry
event_overzone1_06_s_7,80303,event_overzone1_06_s,Speech,Locale_MainScenario:event_overzone1_06_s_7,True,,L_30,L_30,1.0,,,snowwhite,snowwhite,,,1,worry,,3,idle,,,5,surprise,,,7,sad,,,13,worry
event_overzone1_06_s_8,80303,event_overzone1_06_s,Narration,Locale_MainScenario:event_overzone1_06_s_8,False,,black,black,1.0,,,,,,,1,worry,,3,idle,,,5,surprise,,,7,sad,,,13,worry
event_overzone1_06_s_9,80303,event_overzone1_06_s,Speech,Locale_MainScenario:event_overzone1_06_s_9,True,,75,75,1.0,,,rapunzel,rapunzel,,,1,worry,,3,idle,,,5,surprise,,,7,sad,,,13,worry
event_overzone1_06_s_10,80303,event_overzone1_06_s,Speech,Locale_MainScenario:event_overzone1_06_s_10,True,,75,75,1.0,,,hongryeon,hongryeon,,,1,worry,,3,idle,,,5,surprise,,,7,sad,,,13,worry
