id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
event_phantomthiefvsdetective_01_e_1,40059,event_phantomthiefvsdetective_01_e,Speech,miranda,miranda,Locale_SubScenario:event_phantomthiefvsdetective_01_e_1,True,CommanderRoom_n,14,S_140,1.0,bgm_story_tuffguys,,,,phantom,2,idle,,quency,12,idle,,miranda,14,idle,
event_phantomthiefvsdetective_01_e_2,40059,event_phantomthiefvsdetective_01_e,Speech,miranda,miranda,Locale_SubScenario:event_phantomthiefvsdetective_01_e_2,True,,S_140,S_140,1.0,,,,,,2,idle,,,12,idle,,,14,idle,
event_phantomthiefvsdetective_01_e_3,40059,event_phantomthiefvsdetective_01_e,Speech,quency,quency,Locale_SubScenario:event_phantomthiefvsdetective_01_e_3,True,,S_140,120,1.0,,,,,,2,idle,,,12,delight,,,14,idle,
event_phantomthiefvsdetective_01_e_4,40059,event_phantomthiefvsdetective_01_e,Speech,quency,quency,Locale_SubScenario:event_phantomthiefvsdetective_01_e_4,True,,120,120,1.0,,,,,,2,idle,,,12,delight,,,14,idle,
event_phantomthiefvsdetective_01_e_5,40059,event_phantomthiefvsdetective_01_e,Speech,phantom,phantom,Locale_SubScenario:event_phantomthiefvsdetective_01_e_5,False,,120,L_20,1.0,,,,,,2,idle,,,12,delight,,,14,idle,
event_phantomthiefvsdetective_01_e_6,40059,event_phantomthiefvsdetective_01_e,Speech,quency,quency,Locale_SubScenario:event_phantomthiefvsdetective_01_e_6,True,,L_20,120,1.0,,,,,,2,idle,,,12,idle,,,14,idle,
event_phantomthiefvsdetective_01_e_7,40059,event_phantomthiefvsdetective_01_e,Speech,miranda,miranda,Locale_SubScenario:event_phantomthiefvsdetective_01_e_7,True,,120,S_140,1.0,,,,,,2,idle,,,12,idle,,,14,delight,
event_phantomthiefvsdetective_01_e_8,40059,event_phantomthiefvsdetective_01_e,Speech,miranda,miranda,Locale_SubScenario:event_phantomthiefvsdetective_01_e_8,True,,S_140,S_140,1.0,,,,,,2,idle,,,12,idle,,,14,delight,
event_phantomthiefvsdetective_01_e_9,40059,event_phantomthiefvsdetective_01_e,Speech,quency,quency,Locale_SubScenario:event_phantomthiefvsdetective_01_e_9,True,,S_140,13,1.0,,,,,,2,idle,,,12,idle,,,14,delight,
event_phantomthiefvsdetective_01_e_10,40059,event_phantomthiefvsdetective_01_e,Speech,quency,quency,Locale_SubScenario:event_phantomthiefvsdetective_01_e_10,True,,13,13,1.0,,,,,,2,idle,,,12,idle,,,14,delight,
event_phantomthiefvsdetective_01_e_11,40059,event_phantomthiefvsdetective_01_e,Speech,miranda,miranda,Locale_SubScenario:event_phantomthiefvsdetective_01_e_11,True,,13,13,1.0,,,,,,2,idle,,,12,idle,,,14,delight,
event_phantomthiefvsdetective_01_e_12,40059,event_phantomthiefvsdetective_01_e,Speech,miranda,miranda,Locale_SubScenario:event_phantomthiefvsdetective_01_e_12,True,,13,13,1.0,,,,,,2,idle,,,12,idle,,,14,delight,
event_phantomthiefvsdetective_01_e_13,40059,event_phantomthiefvsdetective_01_e,Self,miranda,,Locale_SubScenario:event_phantomthiefvsdetective_01_e_13,False,,13,13,1.0,,,,,,2,idle,,,12,idle,,,14,delight,
event_phantomthiefvsdetective_01_e_14,40059,event_phantomthiefvsdetective_01_e,Speech,miranda,miranda,Locale_SubScenario:event_phantomthiefvsdetective_01_e_14,True,,13,13,1.0,,,,,,2,idle,,,12,idle,,,14,delight,
event_phantomthiefvsdetective_01_e_15,40059,event_phantomthiefvsdetective_01_e,Speech,miranda,miranda,Locale_SubScenario:event_phantomthiefvsdetective_01_e_15,True,,13,13,1.0,,,,,,2,idle,,,12,idle,,,14,delight,
event_phantomthiefvsdetective_01_e_16,40059,event_phantomthiefvsdetective_01_e,Self,miranda,,Locale_SubScenario:event_phantomthiefvsdetective_01_e_16,False,,13,13,1.0,,,,,,2,idle,,,12,idle,,,14,delight,
event_phantomthiefvsdetective_01_e_17,40059,event_phantomthiefvsdetective_01_e,Speech,quency,quency,Locale_SubScenario:event_phantomthiefvsdetective_01_e_17,True,,13,120,1.0,,,,,,2,idle,,,12,delight,,,14,delight,
event_phantomthiefvsdetective_01_e_18,40059,event_phantomthiefvsdetective_01_e,Speech,quency,quency,Locale_SubScenario:event_phantomthiefvsdetective_01_e_18,True,,120,120,1.0,,,,,,2,idle,,,12,delight,,,14,delight,
event_phantomthiefvsdetective_01_e_19,40059,event_phantomthiefvsdetective_01_e,Speech,quency,quency,Locale_SubScenario:event_phantomthiefvsdetective_01_e_19,True,,120,1200,1.0,,,,,,2,idle,,,12,delight,,,14,delight,
event_phantomthiefvsdetective_01_e_20,40059,event_phantomthiefvsdetective_01_e,Speech,miranda,miranda,Locale_SubScenario:event_phantomthiefvsdetective_01_e_20,True,,1200,S_1400,0.5,,,,,,2,idle,,,12,delight,,,14,delight,
event_phantomthiefvsdetective_01_e_21,40059,event_phantomthiefvsdetective_01_e,Speech,miranda,miranda,Locale_SubScenario:event_phantomthiefvsdetective_01_e_21,True,,S_1400,S_140,1.0,,,,,,2,idle,,,12,delight,,,14,delight,
event_phantomthiefvsdetective_01_e_22,40059,event_phantomthiefvsdetective_01_e,Self,miranda,,Locale_SubScenario:event_phantomthiefvsdetective_01_e_22,False,,S_140,S_140,1.0,,,,,,2,idle,,,12,delight,,,14,delight,
