id,event_id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/8/hide_char_id,characters/9/hide_char_id,characters/1/hide_char_id,fade,set_camera_shake,characters/0/hide_char_id
event_schooloflock_02_e_1,40028,event_schooloflock_02_e,Monologue,Locale_SubScenario:event_schooloflock_02_e_1,False,SchoolCorridor,5,1,1.0,bgm_story_orangepop,,,,,,,,,,,,,,,,,,,,,
event_schooloflock_02_e_2,40028,event_schooloflock_02_e,Speech,Locale_SubScenario:event_schooloflock_02_e_2,True,,1,XS_10,0.6,,rei,rei,marciana,13,think,rei,1,idle,,,,,,,,,,,,,
event_schooloflock_02_e_3,40028,event_schooloflock_02_e,Narration,Locale_SubScenario:event_schooloflock_02_e_3,False,,XS_10,XS_10,1.0,,,,,13,think,,1,idle,,,,,,,,,,,,,
event_schooloflock_02_e_4,40028,event_schooloflock_02_e,Monologue,Locale_SubScenario:event_schooloflock_02_e_4,False,,XS_10,XS_10,1.0,,,,,13,think,,1,idle,,,,,,,,,,,,,
event_schooloflock_02_e_5,40028,event_schooloflock_02_e,Speech,Locale_SubScenario:event_schooloflock_02_e_5,True,,XS_10,XS_10,1.0,,rei,rei,,13,think,,1,idle,,,,,,,,,,,,,
event_schooloflock_02_e_6,40028,event_schooloflock_02_e,Self,Locale_SubScenario:event_schooloflock_02_e_6,False,,XS_10,XS_10,1.0,,,,,13,think,,1,idle,,,,,,,,,,,,,
event_schooloflock_02_e_7,40028,event_schooloflock_02_e,Speech,Locale_SubScenario:event_schooloflock_02_e_7,True,,XS_10,XS_10,1.0,,rei,rei,,13,think,,1,idle,,,,,,,,,,,,,
event_schooloflock_02_e_8,40028,event_schooloflock_02_e,Self,Locale_SubScenario:event_schooloflock_02_e_8,False,,XS_10,XS_10,1.0,,,,,13,think,,1,idle,,,,,,,,,,,,,
event_schooloflock_02_e_9,40028,event_schooloflock_02_e,Speech,Locale_SubScenario:event_schooloflock_02_e_9,True,,XS_10,XS_10,1.0,,rei,rei,,13,think,,1,idle,,,,,,,,,,,,,
event_schooloflock_02_e_10,40028,event_schooloflock_02_e,Speech,Locale_SubScenario:event_schooloflock_02_e_10,True,,XS_10,XS_10,1.0,,rei,rei,,13,think,,1,idle,,,,,,,,,,,,,
event_schooloflock_02_e_11,40028,event_schooloflock_02_e,Speech,Locale_SubScenario:event_schooloflock_02_e_11,True,,XS_10,XS_10,1.0,,rei,rei,,13,think,,1,idle,,,,,,,,,,,,,
event_schooloflock_02_e_12,40028,event_schooloflock_02_e,Speech,Locale_SubScenario:event_schooloflock_02_e_12,True,,XS_10,XS_10,1.0,,rei,rei,,13,think,,1,idle,,,,,,,,,,,,,
