id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,characters/1/hide_char_id,fade,characters/0/hide_char_id,play_sound
event_trueflavor_05_e_1,40074,event_trueflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_1,False,bready,2,special,crust,12,idle,RuinIndoor,S_200,S_200,1.0,bgm_story_monochrome,Grey,,,,
event_trueflavor_05_e_2,40074,event_trueflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_2,True,,2,special,,12,idle,,S_200,S_20,1.3,,Grey,,,,
event_trueflavor_05_e_3,40074,event_trueflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_3,True,,2,delight,,12,idle,,S_20,S_20,1.0,,Grey,,,,
event_trueflavor_05_e_4,40074,event_trueflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_4,True,,2,delight,,12,idle,,S_20,S_20,1.0,,Grey,,,,
event_trueflavor_05_e_5,40074,event_trueflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_5,True,,2,delight,,12,idle,,S_20,S_20,1.0,,Grey,,,,
event_trueflavor_05_e_6,40074,event_trueflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_6,True,,2,special,,12,idle,Kitchen,black,black,1.0,,Grey,,,,
event_trueflavor_05_e_7,40074,event_trueflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_7,True,,2,special,,12,idle,,S_20,S_20,1.0,,Grey,,,,
event_trueflavor_05_e_8,40074,event_trueflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_8,True,,2,delight,,12,idle,,S_20,S_20,1.0,,Grey,,,,
event_trueflavor_05_e_9,40074,event_trueflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_9,True,,2,delight,,12,idle,,S_20,S_20,1.0,,Grey,,,,
event_trueflavor_05_e_10,40074,event_trueflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_10,True,,2,delight,,12,idle,,S_20,S_20,1.0,,Grey,,,,
event_trueflavor_05_e_11,40074,event_trueflavor_05_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_05_e_11,True,,2,delight,,12,idle,,S_20,1,1.3,,Grey,,,,
event_trueflavor_05_e_12,40074,event_trueflavor_05_e,Speech,crust,crust,Locale_SubScenario:event_trueflavor_05_e_12,True,,2,delight,,12,idle,,1,1,1.0,,Grey,,,,
event_trueflavor_05_e_13,40074,event_trueflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_13,True,,2,delight,,12,idle,,1,1,1.0,,Grey,,,,
event_trueflavor_05_e_14,40074,event_trueflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_14,True,,2,delight,,12,idle,,1,1,1.0,,Grey,,,,
event_trueflavor_05_e_15,40074,event_trueflavor_05_e,Speech,bready,bready,Locale_SubScenario:event_trueflavor_05_e_15,True,,2,delight,,12,idle,,1,1,1.0,,Grey,,,,
