id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
event_unbreakablesphere1_04_s_1,40075,event_unbreakablesphere1_04_s,,Monologue,mori,,Locale_MainScenario:event_unbreakablesphere1_04_s_1,False,Laboratory,,,,,,black,black,0,,,,100,event_bgm_ubsphere_defectiveproducts,,None,None,,None,False,mori,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_2,40075,event_unbreakablesphere1_04_s,,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_04_s_2,True,,,,,,,S_100,S_100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_3,40075,event_unbreakablesphere1_04_s,,Monologue,mori,,Locale_MainScenario:event_unbreakablesphere1_04_s_3,False,,,,,,,S_100,S_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_4,40075,event_unbreakablesphere1_04_s,,Monologue,mori,,Locale_MainScenario:event_unbreakablesphere1_04_s_4,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_5,40075,event_unbreakablesphere1_04_s,,Monologue,mori,,Locale_MainScenario:event_unbreakablesphere1_04_s_5,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_6,40075,event_unbreakablesphere1_04_s,,Monologue,mori,,Locale_MainScenario:event_unbreakablesphere1_04_s_6,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_7,40075,event_unbreakablesphere1_04_s,,Monologue,mori,,Locale_MainScenario:event_unbreakablesphere1_04_s_7,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_8,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_8,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_9,40075,event_unbreakablesphere1_04_s,,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_04_s_9,True,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_10,40075,event_unbreakablesphere1_04_s,,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_04_s_10,True,,,,,,,S_10,S_100,0,,,,100,,,None,None,,None,False,,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_11,40075,event_unbreakablesphere1_04_s,,Monologue,mori,,Locale_MainScenario:event_unbreakablesphere1_04_s_11,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_12,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_12,False,,,,,,,S_100,S_100,0,,,,100,,,None,None,,None,False,,,1,surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_13,40075,event_unbreakablesphere1_04_s,,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_04_s_13,True,,,,,,,S_100,S_100,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_14,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_14,False,,,,,,,S_100,S_100,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_15,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_15,False,,,,,,,S_100,S_100,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_16,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_16,False,,,,,,,S_100,S_100,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_17,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_17,False,,,,,,,S_100,S_100,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_18,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_18,False,,,,,,,S_100,S_100,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_19,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_19,False,,,,,,,S_100,S_10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_20,40075,event_unbreakablesphere1_04_s,,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_04_s_20,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_21,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_21,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_22,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_22,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_23,40075,event_unbreakablesphere1_04_s,,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_04_s_23,True,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_24,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_24,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_25,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_25,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_26,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_26,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_27,40075,event_unbreakablesphere1_04_s,,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_04_s_27,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_28,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_28,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_29,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_29,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_30,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_30,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_31,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_31,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_32,40075,event_unbreakablesphere1_04_s,,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_04_s_32,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_33,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_33,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_34,40075,event_unbreakablesphere1_04_s,,Speech,mori,womanresearcher,Locale_MainScenario:event_unbreakablesphere1_04_s_34,False,,,,,,,S_10,S_100,0,,,,100,,,None,None,,None,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_35,40075,event_unbreakablesphere1_04_s,,Monologue,mori,,Locale_MainScenario:event_unbreakablesphere1_04_s_35,False,,,,,,,black,black,0,,,,100,,,None,None,,Black,False,,,1,think,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_36,40075,event_unbreakablesphere1_04_s,,Monologue,mori,,Locale_MainScenario:event_unbreakablesphere1_04_s_36,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_37,40075,event_unbreakablesphere1_04_s,,Monologue,mori,,Locale_MainScenario:event_unbreakablesphere1_04_s_37,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_38,40075,event_unbreakablesphere1_04_s,,Monologue,mori,,Locale_MainScenario:event_unbreakablesphere1_04_s_38,False,NikkeCorridor,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,idle,whispersnikke,,13,idle,follownikke,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_39,40075,event_unbreakablesphere1_04_s,,Speech,whispersnikke,whispersnikke,Locale_MainScenario:event_unbreakablesphere1_04_s_39,True,,,,,,,1,1315,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_40,40075,event_unbreakablesphere1_04_s,,Speech,whispersnikke,whispersnikke,Locale_MainScenario:event_unbreakablesphere1_04_s_40,True,,,,,,,1315,1315,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_41,40075,event_unbreakablesphere1_04_s,,Speech,follownikke,follownikke,Locale_MainScenario:event_unbreakablesphere1_04_s_41,True,,,,,,,1315,1315,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_42,40075,event_unbreakablesphere1_04_s,,Speech,follownikke,follownikke,Locale_MainScenario:event_unbreakablesphere1_04_s_42,True,,,,,,,1315,1315,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_43,40075,event_unbreakablesphere1_04_s,,Speech,whispersnikke,whispersnikke,Locale_MainScenario:event_unbreakablesphere1_04_s_43,True,,,,,,,1315,1315,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_44,40075,event_unbreakablesphere1_04_s,,Speech,whispersnikke,whispersnikke,Locale_MainScenario:event_unbreakablesphere1_04_s_44,True,,,,,,,1315,1315,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_45,40075,event_unbreakablesphere1_04_s,,Speech,follownikke,follownikke,Locale_MainScenario:event_unbreakablesphere1_04_s_45,True,,,,,,,1315,1315,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_46,40075,event_unbreakablesphere1_04_s,,Speech,mori,mori,Locale_MainScenario:event_unbreakablesphere1_04_s_46,False,,,,,,,S_10,S_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_47,40075,event_unbreakablesphere1_04_s,,Speech,follownikke,follownikke,Locale_MainScenario:event_unbreakablesphere1_04_s_47,True,,,,,,,150,150,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_48,40075,event_unbreakablesphere1_04_s,,Speech,whispersnikke,whispersnikke,Locale_MainScenario:event_unbreakablesphere1_04_s_48,True,,,,,,,150,130,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_49,40075,event_unbreakablesphere1_04_s,,Speech,whispersnikke,whispersnikke,Locale_MainScenario:event_unbreakablesphere1_04_s_49,True,,,,,,,130,130,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_50,40075,event_unbreakablesphere1_04_s,,Speech,whispersnikke,whispersnikke,Locale_MainScenario:event_unbreakablesphere1_04_s_50,True,,,,,,,130,1300,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_51,40075,event_unbreakablesphere1_04_s,,Monologue,mori,,Locale_MainScenario:event_unbreakablesphere1_04_s_51,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_52,40075,event_unbreakablesphere1_04_s,,Monologue,mori,,Locale_MainScenario:event_unbreakablesphere1_04_s_52,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_53,40075,event_unbreakablesphere1_04_s,,Narration,mori,,Locale_MainScenario:event_unbreakablesphere1_04_s_53,False,FastFood,,,,,,black,black,0,,sfx_scn_remotesignal,,100,,,None,None,,Black,False,,,1,think,,whispersnikke,13,idle,,follownikke,15,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
event_unbreakablesphere1_04_s_54,40075,event_unbreakablesphere1_04_s,,Narration,mori,,Locale_MainScenario:event_unbreakablesphere1_04_s_54,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,think,squadnikke,,3,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
