id,event_id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
re_event_ce02_2_04_s_1,40083,re_event_ce02_2_04_s,,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_04_s_1,True,TechIndoor_n,,,,,,10,1,0,,,,100,event_bgm_ce002_field,,None,None,,None,False,neon,,9,idle,anis,,7,void,rapi,,5,idle,ce_02_01,,3,idle,ce_02_npc_01,,1,idle,c1002_02,,13,idle,6000d_02,,15,idle,b0006_02,,17,idle,,,,,,,,,,,,False,,,,False
re_event_ce02_2_04_s_2,40083,re_event_ce02_2_04_s,,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_04_s_2,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,void,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,,,,,,,,,,False,,,,False
re_event_ce02_2_04_s_3,40083,re_event_ce02_2_04_s,,Speech,ce_02_npc_01,ce_02_npc_01,Locale_SubScenario:event_ce02_2_04_s_3,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,void,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,,,,,,,,,,False,,,,False
re_event_ce02_2_04_s_4,40083,re_event_ce02_2_04_s,,Speech,rapi,rapi,Locale_SubScenario:event_ce02_2_04_s_4,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,void,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,,,,,,,,,,False,,,,False
re_event_ce02_2_04_s_5,40083,re_event_ce02_2_04_s,,Speech,rapi,rapi,Locale_SubScenario:event_ce02_2_04_s_5,True,,,,,,,5,5,0,,,,100,,,None,None,,None,False,,,9,idle,,,7,void,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,,,,,,,,,,False,,,,False
re_event_ce02_2_04_s_6,40083,re_event_ce02_2_04_s,,Speech,neon,neon,Locale_SubScenario:event_ce02_2_04_s_6,True,,,,,,,S_90,S_90,0,,,,100,,,None,None,,None,False,,,9,worry,,,7,void,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,,,,,,,,,,False,,,,False
re_event_ce02_2_04_s_7,40083,re_event_ce02_2_04_s,,Speech,neon,neon,Locale_SubScenario:event_ce02_2_04_s_7,True,,,,,,,S_90,S_90,0,,,,100,,,None,None,,None,False,,,9,worry,,,7,void,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,,,,,,,,,,False,,,,False
re_event_ce02_2_04_s_8,40083,re_event_ce02_2_04_s,,Speech,rapi,rapi,Locale_SubScenario:event_ce02_2_04_s_8,True,,,,,,,50,50,0,,,,100,,,None,None,,None,False,,,9,worry,,,7,void,,,5,think,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,,,,,,,,,,False,,,,False
re_event_ce02_2_04_s_9,40083,re_event_ce02_2_04_s,,Speech,anis,anis,Locale_SubScenario:event_ce02_2_04_s_9,True,,,,,,,8,8,0,,,,100,,,None,None,,None,False,,,9,worry,,,7,worry,,,5,think,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,,,,,,,,,,False,,,,False
re_event_ce02_2_04_s_10,40083,re_event_ce02_2_04_s,,Speech,anis,anis,Locale_SubScenario:event_ce02_2_04_s_10,True,,,,,,,8,8,0,,,,100,,,None,None,,None,False,,,9,worry,,,7,worry,,,5,think,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,17,idle,,,,,,,,,,,,False,,,,False
