id,event_id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id
re_event_ce02_3_02_s_1,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_1,True,product12,13,idle,ce_02_02,1,idle,Factory,12,12,1.0,event_bgm_ce002_story_2,
re_event_ce02_3_02_s_2,40082,re_event_ce02_3_02_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_02_s_2,True,,13,idle,,1,idle,,12,12,1.0,,
re_event_ce02_3_02_s_3,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_3,True,,13,idle,,1,idle,,12,12,1.0,,
re_event_ce02_3_02_s_4,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_4,True,,13,idle,,1,idle,,12,12,1.0,,
re_event_ce02_3_02_s_5,40082,re_event_ce02_3_02_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_02_s_5,True,,13,idle,,1,idle,,12,10,1.0,,
re_event_ce02_3_02_s_6,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_6,True,,13,idle,,1,idle,,130,130,1.0,,
re_event_ce02_3_02_s_7,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_7,True,,13,idle,,1,idle,,130,130,1.0,,
re_event_ce02_3_02_s_8,40082,re_event_ce02_3_02_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_02_s_8,True,,13,idle,,1,idle,,130,12,1.0,,
re_event_ce02_3_02_s_9,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_9,True,,13,idle,,1,idle,,12,12,1.0,,
re_event_ce02_3_02_s_10,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_10,True,,13,idle,,1,idle,,12,12,1.0,,
re_event_ce02_3_02_s_11,40082,re_event_ce02_3_02_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_02_s_11,True,,13,idle,,1,idle,,12,12,1.0,,
re_event_ce02_3_02_s_12,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_12,True,,13,idle,,1,idle,,12,130,1.0,,
re_event_ce02_3_02_s_13,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_13,True,,13,idle,,1,idle,,130,130,1.0,,
re_event_ce02_3_02_s_14,40082,re_event_ce02_3_02_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_02_s_14,False,,13,idle,,1,think,,10,10,1.0,,
re_event_ce02_3_02_s_15,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_15,True,,13,idle,,1,think,,130,130,1.0,,
re_event_ce02_3_02_s_16,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_16,True,,13,idle,,1,think,,130,130,1.0,,
re_event_ce02_3_02_s_17,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_17,True,,13,idle,,1,think,,130,130,1.0,,
re_event_ce02_3_02_s_18,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_18,True,,13,idle,,1,think,,130,130,1.0,,
re_event_ce02_3_02_s_19,40082,re_event_ce02_3_02_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_02_s_19,True,,13,idle,,1,think,,10,10,1.0,,
re_event_ce02_3_02_s_20,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_20,True,,13,idle,,1,idle,,130,13,1.0,,
re_event_ce02_3_02_s_21,40082,re_event_ce02_3_02_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_02_s_21,True,,13,idle,,1,idle,,10,10,1.0,,
re_event_ce02_3_02_s_22,40082,re_event_ce02_3_02_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_02_s_22,True,,13,idle,,1,idle,,10,10,1.0,,
re_event_ce02_3_02_s_23,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_23,True,,13,idle,,1,idle,,13,130,1.4,,
re_event_ce02_3_02_s_24,40082,re_event_ce02_3_02_s,Speech,product12,product12,Locale_SubScenario:event_ce02_3_02_s_24,True,p12,13,idle,,1,idle,,black,black,1.0,,product12
re_event_ce02_3_02_s_25,40082,re_event_ce02_3_02_s,Speech,p12,p12,Locale_SubScenario:event_ce02_3_02_s_25,True,,13,idle,,1,idle,,130,130,1.0,,
re_event_ce02_3_02_s_26,40082,re_event_ce02_3_02_s,Speech,p12,p12,Locale_SubScenario:event_ce02_3_02_s_26,True,,13,idle,,1,idle,,130,13,0.6,,
re_event_ce02_3_02_s_27,40082,re_event_ce02_3_02_s,Speech,p12,p12,Locale_SubScenario:event_ce02_3_02_s_27,True,,13,idle,,1,idle,,13,13,1.0,,
re_event_ce02_3_02_s_28,40082,re_event_ce02_3_02_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_02_s_28,True,,13,idle,,1,idle,,13,12,1.0,,
re_event_ce02_3_02_s_29,40082,re_event_ce02_3_02_s,Speech,p12,p12,Locale_SubScenario:event_ce02_3_02_s_29,True,,13,idle,,1,idle,,12,12,1.0,,
re_event_ce02_3_02_s_30,40082,re_event_ce02_3_02_s,Speech,p12,p12,Locale_SubScenario:event_ce02_3_02_s_30,True,,13,idle,,1,idle,,12,12,1.0,,
re_event_ce02_3_02_s_31,40082,re_event_ce02_3_02_s,Monologue,,,Locale_SubScenario:event_ce02_3_02_s_31,False,,13,idle,,1,idle,,12,12,1.0,,p12
re_event_ce02_3_02_s_32,40082,re_event_ce02_3_02_s,Speech,ce_02_02,ce_02_02,Locale_SubScenario:event_ce02_3_02_s_32,False,,,,,1,think,,12,10,1.0,,
