id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
snowfall_speech_emma_11_1,80903,snowfall_speech_emma_11,Monologue,emma,Locale_SubScenario:snowfall_speech_emma_11_1,False,HotSpringInnIn_d,1,1,1.0,amb_so_inn_in_1,event_bgm_neverland_hugme_day,,,,emma,1,worry
snowfall_speech_emma_11_2,80903,snowfall_speech_emma_11,Monologue,emma,Locale_SubScenario:snowfall_speech_emma_11_2,False,,1,1,1.0,,,,,,,1,worry
snowfall_speech_emma_11_3,80903,snowfall_speech_emma_11,Monologue,emma,Locale_SubScenario:snowfall_speech_emma_11_3,False,,1,1,1.0,,,,,,,1,worry
snowfall_speech_emma_11_4,80903,snowfall_speech_emma_11,Choice,emma,Locale_SubScenario:snowfall_speech_emma_11_4,False,,1,1,1.0,,,snowfall_speech_emma_11_7,,,,1,worry
snowfall_speech_emma_11_5,80903,snowfall_speech_emma_11,Choice,emma,Locale_SubScenario:snowfall_speech_emma_11_5,False,,1,1,1.0,,,snowfall_speech_emma_11_6,,,,1,worry
snowfall_speech_emma_11_6,80903,snowfall_speech_emma_11,Monologue,emma,Locale_SubScenario:snowfall_speech_emma_11_6,False,,black,black,1.0,,,,True,,,1,worry
snowfall_speech_emma_11_7,80903,snowfall_speech_emma_11,Speech,emma,Locale_SubScenario:snowfall_speech_emma_11_7,True,,1,10,1.0,,,,,emma,,1,worry
snowfall_speech_emma_11_8,80903,snowfall_speech_emma_11,Self,emma,Locale_SubScenario:snowfall_speech_emma_11_8,False,,10,10,1.0,,,,,,,1,worry
snowfall_speech_emma_11_9,80903,snowfall_speech_emma_11,Self,emma,Locale_SubScenario:snowfall_speech_emma_11_9,False,,10,10,1.0,,,,,,,1,worry
snowfall_speech_emma_11_10,80903,snowfall_speech_emma_11,Speech,emma,Locale_SubScenario:snowfall_speech_emma_11_10,True,,10,10,1.0,,,,,emma,,1,surprise
snowfall_speech_emma_11_11,80903,snowfall_speech_emma_11,Speech,emma,Locale_SubScenario:snowfall_speech_emma_11_11,True,,10,10,1.0,,,,,emma,,1,worry
snowfall_speech_emma_11_12,80903,snowfall_speech_emma_11,Speech,emma,Locale_SubScenario:snowfall_speech_emma_11_12,True,,10,10,1.0,,,,,emma,,1,worry
snowfall_speech_emma_11_13,80903,snowfall_speech_emma_11,Speech,emma,Locale_SubScenario:snowfall_speech_emma_11_13,True,,10,10,1.0,,,,,emma,,1,worry
snowfall_speech_emma_11_14,80903,snowfall_speech_emma_11,Speech,emma,Locale_SubScenario:snowfall_speech_emma_11_14,True,,10,10,1.0,,,,,emma,,1,worry
snowfall_speech_emma_11_15,80903,snowfall_speech_emma_11,Speech,emma,Locale_SubScenario:snowfall_speech_emma_11_15,True,,10,10,1.0,,,,,emma,,1,worry
snowfall_speech_emma_11_16,80903,snowfall_speech_emma_11,Speech,emma,Locale_SubScenario:snowfall_speech_emma_11_16,True,,10,10,1.0,,,,,emma,,1,worry
snowfall_speech_emma_11_17,80903,snowfall_speech_emma_11,Choice,emma,Locale_SubScenario:snowfall_speech_emma_11_17,False,,10,10,1.0,,,snowfall_speech_emma_11_19,,,,1,worry
snowfall_speech_emma_11_18,80903,snowfall_speech_emma_11,Choice,emma,Locale_SubScenario:snowfall_speech_emma_11_18,False,,10,10,1.0,,,snowfall_speech_emma_11_22,,,,1,worry
snowfall_speech_emma_11_19,80903,snowfall_speech_emma_11,Speech,emma,Locale_SubScenario:snowfall_speech_emma_11_19,True,,10,10,1.0,,,,,emma,,1,surprise
snowfall_speech_emma_11_20,80903,snowfall_speech_emma_11,Self,emma,Locale_SubScenario:snowfall_speech_emma_11_20,False,,10,10,1.0,,,,,,,1,surprise
snowfall_speech_emma_11_21,80903,snowfall_speech_emma_11,Speech,emma,Locale_SubScenario:snowfall_speech_emma_11_21,True,,10,10,1.0,,,snowfall_speech_emma_11_24,,emma,,1,delight
snowfall_speech_emma_11_22,80903,snowfall_speech_emma_11,Speech,emma,Locale_SubScenario:snowfall_speech_emma_11_22,True,,10,10,1.0,,,,,emma,,1,worry
snowfall_speech_emma_11_23,80903,snowfall_speech_emma_11,Speech,emma,Locale_SubScenario:snowfall_speech_emma_11_23,True,,10,10,1.0,,,snowfall_speech_emma_11_24,,emma,,1,worry
snowfall_speech_emma_11_24,80903,snowfall_speech_emma_11,Speech,emma,Locale_SubScenario:snowfall_speech_emma_11_24,True,,10,10,1.0,,,,,emma,,1,worry
snowfall_speech_emma_11_25,80903,snowfall_speech_emma_11,Speech,emma,Locale_SubScenario:snowfall_speech_emma_11_25,True,,10,10,1.0,,,,,emma,,1,worry
snowfall_speech_emma_11_26,80903,snowfall_speech_emma_11,Speech,emma,Locale_SubScenario:snowfall_speech_emma_11_26,True,,10,10,1.0,,,,,emma,,1,worry
snowfall_speech_emma_11_27,80903,snowfall_speech_emma_11,Narration,emma,Locale_SubScenario:snowfall_speech_emma_11_27,False,,black,black,1.0,,,,,,,1,worry
