id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
snowfall_speech_ludmilla_27_1,80903,snowfall_speech_ludmilla_27,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_1,False,BambooForest_d,1,1,1.0,amb_so_bambooforest_1,event_bgm_neverland_snowflakes_day,,,,ludmilla_w,1,think
snowfall_speech_ludmilla_27_2,80903,snowfall_speech_ludmilla_27,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_2,False,,1,1,1.0,,,,,,,1,think
snowfall_speech_ludmilla_27_3,80903,snowfall_speech_ludmilla_27,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_3,False,,1,1,1.0,,,,,,,1,think
snowfall_speech_ludmilla_27_4,80903,snowfall_speech_ludmilla_27,Choice,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_4,False,,1,1,1.0,,,snowfall_speech_ludmilla_27_7,,,,1,think
snowfall_speech_ludmilla_27_5,80903,snowfall_speech_ludmilla_27,Choice,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_5,False,,1,1,1.0,,,snowfall_speech_ludmilla_27_6,,,,1,think
snowfall_speech_ludmilla_27_6,80903,snowfall_speech_ludmilla_27,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_6,False,,black,black,1.0,,,,True,,,1,think
snowfall_speech_ludmilla_27_7,80903,snowfall_speech_ludmilla_27,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_7,True,,1,10,1.0,,,,,ludmilla_w,,1,think
snowfall_speech_ludmilla_27_8,80903,snowfall_speech_ludmilla_27,Monologue,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_8,False,,10,10,1.0,,,,,,,1,think
snowfall_speech_ludmilla_27_9,80903,snowfall_speech_ludmilla_27,Self,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_9,False,,10,10,1.0,,,,,,,1,think
snowfall_speech_ludmilla_27_10,80903,snowfall_speech_ludmilla_27,Self,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_10,False,,10,10,1.0,,,,,,,1,think
snowfall_speech_ludmilla_27_11,80903,snowfall_speech_ludmilla_27,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_11,True,,10,10,1.0,,,,,ludmilla_w,,1,think
snowfall_speech_ludmilla_27_12,80903,snowfall_speech_ludmilla_27,Self,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_12,False,,10,10,1.0,,,,,,,1,think
snowfall_speech_ludmilla_27_13,80903,snowfall_speech_ludmilla_27,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_13,True,,10,10,1.0,,,,,ludmilla_w,,1,idle
snowfall_speech_ludmilla_27_14,80903,snowfall_speech_ludmilla_27,Self,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_14,False,,10,10,1.0,,,,,,,1,idle
snowfall_speech_ludmilla_27_15,80903,snowfall_speech_ludmilla_27,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_15,True,,10,10,1.0,,,,,ludmilla_w,,1,idle
snowfall_speech_ludmilla_27_16,80903,snowfall_speech_ludmilla_27,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_16,True,,10,10,1.0,,,,,ludmilla_w,,1,idle
snowfall_speech_ludmilla_27_17,80903,snowfall_speech_ludmilla_27,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_17,True,,10,10,1.0,,,,,ludmilla_w,,1,idle
snowfall_speech_ludmilla_27_18,80903,snowfall_speech_ludmilla_27,Choice,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_18,False,,10,10,1.0,,,snowfall_speech_ludmilla_27_20,,,,1,idle
snowfall_speech_ludmilla_27_19,80903,snowfall_speech_ludmilla_27,Choice,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_19,False,,10,10,1.0,,,snowfall_speech_ludmilla_27_22,,,,1,idle
snowfall_speech_ludmilla_27_20,80903,snowfall_speech_ludmilla_27,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_20,True,,10,10,1.0,,,,,ludmilla_w,,1,idle
snowfall_speech_ludmilla_27_21,80903,snowfall_speech_ludmilla_27,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_21,True,,10,10,1.0,,,snowfall_speech_ludmilla_27_25,,ludmilla_w,,1,idle
snowfall_speech_ludmilla_27_22,80903,snowfall_speech_ludmilla_27,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_22,True,,10,10,1.0,,,,,ludmilla_w,,1,think
snowfall_speech_ludmilla_27_23,80903,snowfall_speech_ludmilla_27,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_23,True,,10,10,1.0,,,,,ludmilla_w,,1,idle
snowfall_speech_ludmilla_27_24,80903,snowfall_speech_ludmilla_27,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_24,True,,10,10,1.0,,,snowfall_speech_ludmilla_27_25,,ludmilla_w,,1,idle
snowfall_speech_ludmilla_27_25,80903,snowfall_speech_ludmilla_27,Self,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_25,False,,10,10,1.0,,,,,,,1,idle
snowfall_speech_ludmilla_27_26,80903,snowfall_speech_ludmilla_27,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_26,True,,10,10,1.0,,,,,ludmilla_w,,1,smile
snowfall_speech_ludmilla_27_27,80903,snowfall_speech_ludmilla_27,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_27,True,,10,10,1.0,,,,,ludmilla_w,,1,idle
snowfall_speech_ludmilla_27_28,80903,snowfall_speech_ludmilla_27,Self,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_28,False,,10,10,1.0,,,,,,,1,idle
snowfall_speech_ludmilla_27_29,80903,snowfall_speech_ludmilla_27,Speech,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_29,True,,10,10,1.0,,,,,ludmilla_w,,1,idle
snowfall_speech_ludmilla_27_30,80903,snowfall_speech_ludmilla_27,Narration,ludmilla_w,Locale_SubScenario:snowfall_speech_ludmilla_27_30,False,,black,black,1.0,,,,,,,1,idle
