id,event_id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_ambient,play_bgm,jump_target,is_exit_scenario,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
snowfall_speech_mica_29_1,80903,snowfall_speech_mica_29,Monologue,mica_w,Locale_SubScenario:snowfall_speech_mica_29_1,False,Trail_d,1,1,1.0,amb_so_trail_1,event_bgm_neverland_snowflakes_day,,,,mica_w,1,idle
snowfall_speech_mica_29_2,80903,snowfall_speech_mica_29,Monologue,mica_w,Locale_SubScenario:snowfall_speech_mica_29_2,False,,1,1,1.0,,,,,,,1,idle
snowfall_speech_mica_29_3,80903,snowfall_speech_mica_29,Monologue,mica_w,Locale_SubScenario:snowfall_speech_mica_29_3,False,,1,1,1.0,,,,,,,1,idle
snowfall_speech_mica_29_4,80903,snowfall_speech_mica_29,Choice,mica_w,Locale_SubScenario:snowfall_speech_mica_29_4,False,,1,1,1.0,,,snowfall_speech_mica_29_7,,,,1,idle
snowfall_speech_mica_29_5,80903,snowfall_speech_mica_29,Choice,mica_w,Locale_SubScenario:snowfall_speech_mica_29_5,False,,1,1,1.0,,,snowfall_speech_mica_29_6,,,,1,idle
snowfall_speech_mica_29_6,80903,snowfall_speech_mica_29,Monologue,mica_w,Locale_SubScenario:snowfall_speech_mica_29_6,False,,black,black,1.0,,,,True,,,1,idle
snowfall_speech_mica_29_7,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_7,True,,1,S_10,1.0,,,,,mica_w,,1,delight
snowfall_speech_mica_29_8,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_8,True,,S_10,S_10,1.0,,,,,mica_w,,1,delight
snowfall_speech_mica_29_9,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_9,True,,S_10,S_10,1.0,,,,,mica_w,,1,idle
snowfall_speech_mica_29_10,80903,snowfall_speech_mica_29,Choice,mica_w,Locale_SubScenario:snowfall_speech_mica_29_10,False,,S_10,S_10,1.0,,,snowfall_speech_mica_29_12,,,,1,idle
snowfall_speech_mica_29_11,80903,snowfall_speech_mica_29,Choice,mica_w,Locale_SubScenario:snowfall_speech_mica_29_11,False,,S_10,S_10,1.0,,,snowfall_speech_mica_29_15,,,,1,idle
snowfall_speech_mica_29_12,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_12,True,,S_10,S_10,1.0,,,,,mica_w,,1,idle
snowfall_speech_mica_29_13,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_13,True,,S_10,S_10,1.0,,,,,mica_w,,1,delight
snowfall_speech_mica_29_14,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_14,True,,S_10,S_10,1.0,,,snowfall_speech_mica_29_19,,mica_w,,1,idle
snowfall_speech_mica_29_15,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_15,True,,S_10,S_10,1.0,,,,,mica_w,,1,cry
snowfall_speech_mica_29_16,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_16,True,,S_10,S_10,1.0,,,,,mica_w,,1,cry
snowfall_speech_mica_29_17,80903,snowfall_speech_mica_29,Self,mica_w,Locale_SubScenario:snowfall_speech_mica_29_17,False,,S_10,S_10,1.0,,,,,,,1,cry
snowfall_speech_mica_29_18,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_18,True,,S_10,S_10,1.0,,,snowfall_speech_mica_29_19,,mica_w,,1,cry
snowfall_speech_mica_29_19,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_19,True,,S_10,S_10,1.0,,,,,mica_w,,1,idle
snowfall_speech_mica_29_20,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_20,True,,S_10,S_10,1.0,,,,,mica_w,,1,delight
snowfall_speech_mica_29_21,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_21,True,,S_10,S_10,1.0,,,,,mica_w,,1,idle
snowfall_speech_mica_29_22,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_22,True,,S_10,S_10,1.0,,,,,mica_w,,1,idle
snowfall_speech_mica_29_23,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_23,True,,S_10,S_10,1.0,,,,,mica_w,,1,idle
snowfall_speech_mica_29_24,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_24,True,,S_10,S_10,1.0,,,,,mica_w,,1,idle
snowfall_speech_mica_29_25,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_25,True,,S_10,S_10,1.0,,,,,mica_w,,1,idle
snowfall_speech_mica_29_26,80903,snowfall_speech_mica_29,Speech,mica_w,Locale_SubScenario:snowfall_speech_mica_29_26,True,,S_10,S_10,1.0,,,,,mica_w,,1,delight
snowfall_speech_mica_29_27,80903,snowfall_speech_mica_29,Narration,mica_w,Locale_SubScenario:snowfall_speech_mica_29_27,False,,black,black,1.0,,,,,,,1,delight
