id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/0/hide_char_id,jump_target,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id
d_ex_armory_04_1,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_1,True,helm,1,idle,maxwell,13,idle,liter,15,idle,Armory,1,1,1.0,bgm_story_girlstalk,,,,,,,,
d_ex_armory_04_2,d_ex_armory_04,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_armory_04_2,True,,1,idle,,13,idle,,15,idle,,1,1315,1.0,,,,,,,,,
d_ex_armory_04_3,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_3,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,,,,,,,,
d_ex_armory_04_4,d_ex_armory_04,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_armory_04_4,True,,1,idle,,13,angry,,15,idle,,1315,1315,1.0,,,,,,,,,
d_ex_armory_04_5,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_5,True,,1,idle,,13,idle,,15,idle,,1315,1315,1.0,,,,,,,,,
d_ex_armory_04_6,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_6,True,,1,idle,,13,idle,,15,idle,,1315,1,1.0,,,,,,,,,
d_ex_armory_04_7,d_ex_armory_04,Self,,,Locale_SuddenStory:d_ex_armory_04_7,False,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,,,,
d_ex_armory_04_8,d_ex_armory_04,Self,,,Locale_SuddenStory:d_ex_armory_04_8,False,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,,,,
d_ex_armory_04_9,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_9,True,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,,,,
d_ex_armory_04_10,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_10,True,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,,,,
d_ex_armory_04_11,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_11,True,,1,idle,,13,idle,,15,idle,,1,10,2.0,,,,,,,,,
d_ex_armory_04_12,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_12,True,,1,idle,,13,idle,,15,idle,,10,10,1.0,,,,,,,,,
d_ex_armory_04_13,d_ex_armory_04,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_armory_04_13,True,,1,idle,,13,angry,,15,idle,,10,130,1.0,,,,,,,,,
d_ex_armory_04_14,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_14,True,,1,idle,,13,angry,,15,idle,,130,XS_150,1.0,,,,,,,,,
d_ex_armory_04_15,d_ex_armory_04,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_armory_04_15,True,,1,idle,,13,angry,,15,idle,,130,130,1.0,,,,,,,,,
d_ex_armory_04_16,d_ex_armory_04,Speech,liter,liter,Locale_SuddenStory:d_ex_armory_04_16,True,,1,idle,,13,angry,,15,angry,,XS_150,XS_150,1.0,,,,,,,,,
d_ex_armory_04_17,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_17,True,,1,no,,13,angry,,15,angry,,1,1,1.0,,,,,,,,,
d_ex_armory_04_18,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_18,True,,1,no,,13,angry,,15,idle,,1,1,1.0,,,,,,,,,
d_ex_armory_04_19,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_19,True,,1,no,,13,angry,,15,idle,,1,1,1.0,,,,,,,,,
d_ex_armory_04_20,d_ex_armory_04,Self,,,Locale_SuddenStory:d_ex_armory_04_20,False,,1,idle,,13,angry,,15,idle,,1,1,1.0,,,,,,,,,
d_ex_armory_04_21,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_21,True,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,,,,
d_ex_armory_04_22,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_22,True,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,,,,
d_ex_armory_04_23,d_ex_armory_04,Speech,helm,helm,Locale_SuddenStory:d_ex_armory_04_23,True,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,,,,
d_ex_armory_04_24,d_ex_armory_04,Speech,eunhwa,eunhwa,Locale_SuddenStory:d_ex_armory_04_24,True,,1,idle,,13,idle,,15,idle,,1,17,1.0,,eunhwa,17,angry,,,,,
d_ex_armory_04_25,d_ex_armory_04,Speech,maxwell,maxwell,Locale_SuddenStory:d_ex_armory_04_25,True,,1,idle,,13,angry,,15,idle,,17,17,1.0,,,17,idle,,,,,
