id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/2/hide_char_id,characters/0/hide_char_id,characters/1/hide_char_id
d_ex_cafe_05_1,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_1,True,ludmilla,1,idle,sakura,3,idle,Cafe,31,31,1.0,bgm_story_orangepop,,,,,,,,,
d_ex_cafe_05_2,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_2,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_3,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_3,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_4,d_ex_cafe_05,Monologue,Monologue,Monologue,Locale_SuddenStory:d_ex_cafe_05_4,False,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_5,d_ex_cafe_05,Choice,Choice,,Locale_SuddenStory:d_ex_cafe_05_5,False,,1,idle,,3,idle,,31,31,1.0,,d_ex_cafe_05_7,,,,,,,,
d_ex_cafe_05_6,d_ex_cafe_05,Choice,Choice,,Locale_SuddenStory:d_ex_cafe_05_6,False,,1,idle,,3,idle,,31,31,1.0,,d_ex_cafe_05_8,,,,,,,,
d_ex_cafe_05_7,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_7,True,,1,idle,,3,idle,,31,31,1.0,,d_ex_cafe_05_9,,,,,,,,
d_ex_cafe_05_8,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_8,True,,1,idle,,3,idle,,31,31,1.0,,d_ex_cafe_05_9,,,,,,,,
d_ex_cafe_05_9,d_ex_cafe_05,Self,Self,Self,Locale_SuddenStory:d_ex_cafe_05_9,False,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_10,d_ex_cafe_05,Self,Self,Self,Locale_SuddenStory:d_ex_cafe_05_10,False,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_11,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_11,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_12,d_ex_cafe_05,Speech,sakura,sakura,Locale_SuddenStory:d_ex_cafe_05_12,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_13,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_13,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_14,d_ex_cafe_05,Self,Self,Self,Locale_SuddenStory:d_ex_cafe_05_14,False,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
d_ex_cafe_05_15,d_ex_cafe_05,Speech,ludmilla,ludmilla,Locale_SuddenStory:d_ex_cafe_05_15,True,,1,idle,,3,idle,,31,31,1.0,,,,,,,,,,
