id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,speaker
d_ex_cafe_10_1,d_ex_cafe_10,Monologue,frima,Locale_SuddenStory:d_ex_cafe_10_1,False,Cafe_n,black,black,1.0,none,,,,,,,,,,
d_ex_cafe_10_2,d_ex_cafe_10,Monologue,frima,Locale_SuddenStory:d_ex_cafe_10_2,False,,black,black,1.0,,milk_b,1,shy,sugar,13,surprise,frima,3,surprise,
d_ex_cafe_10_3,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_3,True,,30,30,1.0,bgm_story_tepidappleade,,1,shy,,13,surprise,,3,surprise,frima
d_ex_cafe_10_4,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_4,True,,S_130,S_130,1.0,,,1,shy,,13,surprise,,3,surprise,sugar
d_ex_cafe_10_5,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_5,True,,10,10,1.0,,,1,shy,,13,surprise,,3,surprise,milk_b
d_ex_cafe_10_6,d_ex_cafe_10,Self,milk_b,Locale_SuddenStory:d_ex_cafe_10_6,False,,10,10,1.0,,,1,shy,,13,surprise,,3,surprise,
d_ex_cafe_10_7,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_7,True,,10,10,1.0,,,1,shy,,13,surprise,,3,surprise,milk_b
d_ex_cafe_10_8,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_8,True,,10,10,1.0,,,1,angry2,,13,surprise,,3,surprise,milk_b
d_ex_cafe_10_9,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_9,True,,S_130,S_130,1.0,,,1,angry2,,13,surprise,,3,surprise,sugar
d_ex_cafe_10_10,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_10,True,,S_130,S_130,1.0,,,1,angry2,,13,surprise,,3,surprise,sugar
d_ex_cafe_10_11,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_11,True,,30,30,1.0,,,1,angry2,,13,surprise,,3,surprise,frima
d_ex_cafe_10_12,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_12,True,,10,10,1.0,,,1,shy,,13,surprise,,3,surprise,milk_b
d_ex_cafe_10_13,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_13,True,,10,12,1.0,,,1,shy,,13,idle,,3,idle,sugar
d_ex_cafe_10_14,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_14,True,,12,12,1.0,,,1,shy,,13,idle,,3,idle,sugar
d_ex_cafe_10_15,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_15,True,,12,12,1.0,,,1,shy,,13,idle,,3,idle,sugar
d_ex_cafe_10_16,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_16,True,,12,S_130,1.0,,,1,shy,,13,angry,,3,idle,sugar
d_ex_cafe_10_17,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_17,True,,10,10,1.0,,,1,angry2,,13,angry,,3,idle,milk_b
d_ex_cafe_10_18,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_18,True,,10,2,1.0,,,1,angry2,,13,angry,,3,angry,frima
d_ex_cafe_10_19,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_19,True,,2,2,1.0,,,1,no,,13,angry,,3,angry,milk_b
d_ex_cafe_10_20,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_20,True,,2,2,1.0,,,1,no,,13,angry,,3,angry,frima
d_ex_cafe_10_21,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_21,True,,2,2,1.0,,,1,no,,13,angry,,3,angry,frima
d_ex_cafe_10_22,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_22,True,,2,12,1.0,,,1,no,,13,idle,,3,angry,sugar
d_ex_cafe_10_23,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_23,True,,12,12,1.0,,,1,no,,13,idle,,3,angry,sugar
d_ex_cafe_10_24,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_24,True,,12,S_130,0.7,,,1,no,,13,angry,,3,angry,sugar
d_ex_cafe_10_25,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_25,True,,10,10,1.0,,,1,no,,13,angry,,3,angry,milk_b
d_ex_cafe_10_26,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_26,True,,10,10,1.0,,,1,no,,13,angry,,3,angry,milk_b
d_ex_cafe_10_27,d_ex_cafe_10,Self,milk_b,Locale_SuddenStory:d_ex_cafe_10_27,False,,10,10,1.0,,,1,no,,13,angry,,3,angry,
d_ex_cafe_10_28,d_ex_cafe_10,Self,milk_b,Locale_SuddenStory:d_ex_cafe_10_28,False,,10,10,1.0,,,1,no,,13,angry,,3,angry,
d_ex_cafe_10_29,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_29,True,,10,100,0.5,,,1,angry2,,13,angry,,3,idle,milk_b
d_ex_cafe_10_30,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_30,True,,100,S_1300,1.0,,,1,angry2,,13,idle,,3,idle,sugar
d_ex_cafe_10_31,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_31,True,,S_1300,S_130,1.0,,,1,angry2,,13,idle,,3,idle,sugar
d_ex_cafe_10_32,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_32,True,,30,30,1.0,,,1,angry2,,13,idle,,3,idle,frima
d_ex_cafe_10_33,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_33,True,,10,10,1.0,,,1,shy,,13,idle,,3,idle,milk_b
d_ex_cafe_10_34,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_34,True,,10,12,1.0,,,1,shy,,13,idle,,3,idle,sugar
d_ex_cafe_10_35,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_35,True,,12,12,1.0,,,1,shy,,13,idle,,3,idle,sugar
d_ex_cafe_10_36,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_36,True,,12,12,1.0,,,1,good,,13,idle,,3,idle,milk_b
d_ex_cafe_10_37,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_37,True,,3,30,0.5,,,1,good,,13,idle,,3,surprise,frima
d_ex_cafe_10_38,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_38,True,,30,30,1.0,,,1,good,,13,idle,,3,surprise,frima
d_ex_cafe_10_39,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_39,True,,S_130,S_130,1.0,,,1,good,,13,idle,,3,surprise,sugar
d_ex_cafe_10_40,d_ex_cafe_10,Self,sugar,Locale_SuddenStory:d_ex_cafe_10_40,False,,S_130,S_130,1.0,,,1,good,,13,idle,,3,surprise,
d_ex_cafe_10_41,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_41,True,,S_130,12,1.0,,,1,good,,13,idle,,3,idle,sugar
d_ex_cafe_10_42,d_ex_cafe_10,Speech,sugar,Locale_SuddenStory:d_ex_cafe_10_42,True,,12,12,1.0,,,1,good,,13,idle,,3,idle,sugar
d_ex_cafe_10_43,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_43,True,,12,12,1.0,,,1,shy,,13,idle,,3,idle,milk_b
d_ex_cafe_10_44,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_44,True,,12,12,1.0,,,1,shy,,13,idle,,3,idle,milk_b
d_ex_cafe_10_45,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_45,True,,12,2,1.0,,,1,shy,,13,idle,,3,idle,frima
d_ex_cafe_10_46,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_46,True,,2,2,1.0,,,1,shy,,13,idle,,3,idle,frima
d_ex_cafe_10_47,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_47,True,,2,2,1.0,,,1,angry2,,13,idle,,3,idle,milk_b
d_ex_cafe_10_48,d_ex_cafe_10,Speech,milk_b,Locale_SuddenStory:d_ex_cafe_10_48,True,,2,10,1.0,,,1,shy3,,13,idle,,3,idle,milk_b
d_ex_cafe_10_49,d_ex_cafe_10,Self,milk_b,Locale_SuddenStory:d_ex_cafe_10_49,False,,10,10,1.0,,,1,shy3,,13,idle,,3,idle,
d_ex_cafe_10_50,d_ex_cafe_10,Speech,frima,Locale_SuddenStory:d_ex_cafe_10_50,True,,10,30,1.0,,,1,shy3,,13,idle,,3,think,frima
