id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_ex_church_02_1,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_1,False,Church,,,,,,black,black,0,,,,100,bgm_story_orangepop,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_2,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_2,False,,,,,,,19,19,0,,,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_3,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_3,False,,,,,,,19,XS_1900,0,,,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_4,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_4,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_5,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_5,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_6,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_6,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_7,d_ex_church_02,,Narration,,,Locale_SuddenStory:d_ex_church_02_7,False,,,,,,,XS_190,XS_190,0,,sfx_scn_doorclose,,100,,Low_2,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_8,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_8,False,,,,,,,XS_190,XS_190,0,,,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_9,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_9,False,,,,,,,XS_190,XS_190,0,,,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_10,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_10,False,,,,,,,XS_190,XS_190,0,,,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_11,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_11,False,,,,,,,XS_190,XS_1900,-1717986918,,,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_12,d_ex_church_02,,Narration,,,Locale_SuddenStory:d_ex_church_02_12,False,,,,,,,XS_1900,XS_1900,0,,sfx_scn_rampage,,100,,Low_2,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_13,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_13,False,,,,,,,XS_1900,XS_1900,0,,,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_14,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_14,False,,,,,,,XS_1900,XS_1900,0,,,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_15,d_ex_church_02,,Narration,,,Locale_SuddenStory:d_ex_church_02_15,False,,,,,,,XS_1900,XS_100,0,,sfx_scn_rustydooropen,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_16,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_16,False,,,,,,,XS_100,XS_100,0,,,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_17,d_ex_church_02,,Speech,unknown,unknown,Locale_SuddenStory:d_ex_church_02_17,True,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_18,d_ex_church_02,,Speech,unknown,unknown,Locale_SuddenStory:d_ex_church_02_18,True,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_19,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_19,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_20,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_20,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,signal,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_21,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_21,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_22,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_22,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_23,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_23,False,,,,,,,1,19,0,,,,100,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_24,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_24,False,,,,,,,19,19,0,,,,100,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_25,d_ex_church_02,,Narration,,,Locale_SuddenStory:d_ex_church_02_25,False,,,,,,,19,19,0,,,,100,none,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_26,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_26,False,,,,,,,19,XS_10,0,,,,100,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_27,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_27,False,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_28,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_28,True,,,,,,,XS_10,XS_10,0,,,,100,bgm_story_destinedtofight,,None,None,,None,False,,,1,sad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_29,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_29,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_30,d_ex_church_02,,Self,,,Locale_SuddenStory:d_ex_church_02_30,False,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_31,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_31,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_32,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_32,True,,,,,,,XS_10,XS_100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_33,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_33,True,,,,,,,XS_100,XS_100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_34,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_34,False,,,,,,,XS_100,XS_100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_35,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_35,True,,,,,,,XS_100,XS_100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_36,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_36,True,,,,,,,XS_100,XS_100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_37,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_37,True,,,,,,,XS_100,XS_100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_38,d_ex_church_02,,Self,,,Locale_SuddenStory:d_ex_church_02_38,False,,,,,,,XS_100,XS_100,0,,,,100,none,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_39,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_39,True,,,,,,,XS_100,XS_100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_40,d_ex_church_02,,Self,,,Locale_SuddenStory:d_ex_church_02_40,False,,,,,,,XS_100,XS_100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_41,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_41,True,,,,,,,XS_100,XS_100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_42,d_ex_church_02,,Self,,,Locale_SuddenStory:d_ex_church_02_42,False,,,,,,,XS_100,XS_100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_43,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_43,True,,,,,,,XS_100,XS_100,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_44,d_ex_church_02,,Self,,,Locale_SuddenStory:d_ex_church_02_44,False,,,,,,,XS_100,XS_10,0,,,,100,bgm_story_orangepop,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_45,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_45,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_46,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_46,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_47,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_47,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_48,d_ex_church_02,,Monologue,,,Locale_SuddenStory:d_ex_church_02_48,False,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_49,d_ex_church_02,,Self,,,Locale_SuddenStory:d_ex_church_02_49,False,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_50,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_50,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_51,d_ex_church_02,,Self,,,Locale_SuddenStory:d_ex_church_02_51,False,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_52,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_52,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_53,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_53,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_54,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_54,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_55,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_55,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_56,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_56,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_57,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_57,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_58,d_ex_church_02,,Speech,signal,signal,Locale_SuddenStory:d_ex_church_02_58,True,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_ex_church_02_59,d_ex_church_02,,Self,,,Locale_SuddenStory:d_ex_church_02_59,False,,,,,,,XS_10,XS_10,0,,,,100,,,None,None,,None,False,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
