id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,jump_target,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
d_ex_clothingstore_04_1,d_ex_clothingstore_04,Narration,Locale_SuddenStory:d_ex_clothingstore_04_1,False,ClothingStore,1,1,1.0,sfx_scn_chimebell,none,,,,,,,,,,,,,,,
d_ex_clothingstore_04_2,d_ex_clothingstore_04,Choice,Locale_SuddenStory:d_ex_clothingstore_04_2,False,,1,1,1.0,,,d_ex_clothingstore_04_4,,,,,,,,,,,,,,
d_ex_clothingstore_04_3,d_ex_clothingstore_04,Choice,Locale_SuddenStory:d_ex_clothingstore_04_3,False,,1,1,1.0,,,d_ex_clothingstore_04_6,,,,,,,,,,,,,,
d_ex_clothingstore_04_4,d_ex_clothingstore_04,Monologue,Locale_SuddenStory:d_ex_clothingstore_04_4,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_ex_clothingstore_04_5,d_ex_clothingstore_04,Self,Locale_SuddenStory:d_ex_clothingstore_04_5,False,,1,1,1.0,,,d_ex_clothingstore_04_8,,,,,,,,,,,,,,
d_ex_clothingstore_04_6,d_ex_clothingstore_04,Monologue,Locale_SuddenStory:d_ex_clothingstore_04_6,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_ex_clothingstore_04_7,d_ex_clothingstore_04,Self,Locale_SuddenStory:d_ex_clothingstore_04_7,False,,1,1,1.0,,,d_ex_clothingstore_04_8,,,,,,,,,,,,,,
d_ex_clothingstore_04_8,d_ex_clothingstore_04,Monologue,Locale_SuddenStory:d_ex_clothingstore_04_8,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_ex_clothingstore_04_9,d_ex_clothingstore_04,Monologue,Locale_SuddenStory:d_ex_clothingstore_04_9,False,,1,1,1.0,,,,,,,,,,,,,,,,,
d_ex_clothingstore_04_10,d_ex_clothingstore_04,Monologue,Locale_SuddenStory:d_ex_clothingstore_04_10,False,,1,1,1.0,,,,,,,,,,,,,,,,,
