id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,set_camera_shake,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,jump_target,set_filter_01
d_ex_command_02_1,d_ex_command_02,Monologue,Locale_SuddenStory:d_ex_command_02_1,False,none,black,black,1.0,none,,,,,,,,,,,,,,,
d_ex_command_02_2,d_ex_command_02,Monologue,Locale_SuddenStory:d_ex_command_02_2,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_ex_command_02_3,d_ex_command_02,Monologue,Locale_SuddenStory:d_ex_command_02_3,False,CommanderRoom,1,1,1.0,,,,,,,,,,,,,,,,
d_ex_command_02_4,d_ex_command_02,Narration,Locale_SuddenStory:d_ex_command_02_4,False,,1,1,1.0,,Narration,sfx_scn_birthdaybomb,Low_2,,,,,,,,,,,,
d_ex_command_02_5,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_5,True,,S_30,S_30,1.0,bgm_story_sunnycarnival,neon,,,neon,neon,3,delight,anis,1,delight,rapi,13,delight,,
d_ex_command_02_6,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_6,True,,S_30,10,1.0,,anis,,,anis,,3,delight,,1,delight,,13,delight,,
d_ex_command_02_7,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_7,True,,10,130,1.0,,rapi,,,rapi,,3,delight,,1,delight,,13,delight,,
d_ex_command_02_8,d_ex_command_02,Self,Locale_SuddenStory:d_ex_command_02_8,False,,130,130,1.0,,Self,,,,,3,delight,,1,delight,,13,delight,,
d_ex_command_02_9,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_9,True,,S_30,3,1.0,,neon,,,neon,,3,delight,,1,idle,,13,delight,,
d_ex_command_02_10,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_10,True,,3,3,1.0,,neon,,,neon,,3,delight,,1,idle,,13,delight,,
d_ex_command_02_11,d_ex_command_02,Self,Locale_SuddenStory:d_ex_command_02_11,False,,3,3,1.0,,Self,,,,,3,delight,,1,idle,,13,delight,,
d_ex_command_02_12,d_ex_command_02,Speech,Locale_SuddenStory:d_ex_command_02_12,True,,3,3,1.0,,neon,,,neon,,3,delight,,1,idle,,13,delight,,
d_ex_command_02_13,d_ex_command_02,Monologue,Locale_SuddenStory:d_ex_command_02_13,False,,3,3,1.0,,,,,,,3,delight,,1,idle,,13,delight,,
