id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,set_filter_01,set_filter_02,play_sound,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_command_07_1,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_1,True,emma,3,idle,mica_w,1,idle,CommanderRoom,2,2,1.0,none,,,,,,,,
d_ex_command_07_2,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_2,True,,3,idle,,1,idle,,2,2,1.0,bgm_story_breakaway,,,,,,,,
d_ex_command_07_3,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_3,True,,3,idle,,1,idle,,2,2,1.0,,,,,,,,,
d_ex_command_07_4,d_ex_command_07,Choice,,,Locale_SuddenStory:d_ex_command_07_4,False,,3,idle,,1,idle,,2,2,1.0,,d_ex_command_07_6,,,,,,,
d_ex_command_07_5,d_ex_command_07,Choice,,,Locale_SuddenStory:d_ex_command_07_5,False,,3,idle,,1,idle,,2,2,1.0,,d_ex_command_07_9,,,,,,,
d_ex_command_07_6,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_6,True,,3,idle,,1,sad,,2,2,1.0,,,,,,,,,
d_ex_command_07_7,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_7,True,,3,surprise,,1,sad,,2,2,1.0,,,,,,,,,
d_ex_command_07_8,d_ex_command_07,Speech,emma,emma,Locale_SuddenStory:d_ex_command_07_8,True,,3,idle,,1,sad,,2,2,1.0,,d_ex_command_07_12,,,,,,,
d_ex_command_07_9,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_9,True,,3,idle,,1,delight,,2,2,1.0,,,,,,,,,
d_ex_command_07_10,d_ex_command_07,Speech,mica_w,mica_w,Locale_SuddenStory:d_ex_command_07_10,True,,3,idle,,1,delight,,2,2,1.0,,,,,,,,,
