id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,play_sound
d_ex_command_09_1,d_ex_command_09,Monologue,Locale_SuddenStory:d_ex_command_09_1,False,CommanderRoom,S_130,S_130,1.0,bgm_story_tuffguys,,,,,,,,,,,,,
d_ex_command_09_2,d_ex_command_09,Self,Locale_SuddenStory:d_ex_command_09_2,False,,S_130,S_130,1.0,,privaty,privaty,13,sad,,,,,,,,,
d_ex_command_09_3,d_ex_command_09,Speech,Locale_SuddenStory:d_ex_command_09_3,True,,S_130,S_1300,1.0,,privaty,,13,sad,privaty,,,,,,,,
d_ex_command_09_4,d_ex_command_09,Self,Locale_SuddenStory:d_ex_command_09_4,False,,S_1300,S_1300,1.0,,privaty,,13,sad,,,,,,,,,
d_ex_command_09_5,d_ex_command_09,Speech,Locale_SuddenStory:d_ex_command_09_5,True,,S_1300,S_1300,1.0,,privaty,,13,idle,privaty,,,,,,,,
d_ex_command_09_6,d_ex_command_09,Speech,Locale_SuddenStory:d_ex_command_09_6,True,,S_1300,S_1300,1.0,,privaty,,13,idle,privaty,,,,,,,,
d_ex_command_09_7,d_ex_command_09,Speech,Locale_SuddenStory:d_ex_command_09_7,True,,S_1300,S_1300,1.0,,privaty,,13,idle,privaty,,,,,,,,
d_ex_command_09_8,d_ex_command_09,Choice,Locale_SuddenStory:d_ex_command_09_8,False,,S_1300,S_1300,1.0,,privaty,,13,idle,,d_ex_command_09_10,,,,,,,
d_ex_command_09_9,d_ex_command_09,Choice,Locale_SuddenStory:d_ex_command_09_9,False,,S_1300,S_1300,1.0,,privaty,,13,idle,,d_ex_command_09_11,,,,,,,
d_ex_command_09_10,d_ex_command_09,Speech,Locale_SuddenStory:d_ex_command_09_10,True,,S_1300,S_130,1.0,,privaty,,13,shy,privaty,d_ex_command_09_12,,,,,,,
d_ex_command_09_11,d_ex_command_09,Speech,Locale_SuddenStory:d_ex_command_09_11,True,,S_1300,S_130,1.0,,privaty,,13,shy,privaty,d_ex_command_09_12,,,,,,,
d_ex_command_09_12,d_ex_command_09,Self,Locale_SuddenStory:d_ex_command_09_12,False,,S_130,S_130,1.0,,privaty,,13,shy,,,,,,,,,
d_ex_command_09_13,d_ex_command_09,Monologue,Locale_SuddenStory:d_ex_command_09_13,False,,black,black,1.0,,privaty,,13,idle,,,,,,,,,
d_ex_command_09_14,d_ex_command_09,Self,Locale_SuddenStory:d_ex_command_09_14,False,,S_130,S_130,1.0,,privaty,,13,idle,,,,,,,,,
d_ex_command_09_15,d_ex_command_09,Monologue,Locale_SuddenStory:d_ex_command_09_15,False,,S_130,S_130,1.0,,privaty,,13,idle,,,,,,,,,
