id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_court_04_1,d_ex_court_04,Monologue,Locale_SuddenStory:d_ex_court_04_1,False,helm,1,idle,OutpostOut,black,black,1.0,bgm_story_backtonormal,,,,,,,,,,
d_ex_court_04_2,d_ex_court_04,Speech,Locale_SuddenStory:d_ex_court_04_2,True,,1,idle,,1,1,1.0,,helm,helm,,,,,,,,
d_ex_court_04_3,d_ex_court_04,Speech,Locale_SuddenStory:d_ex_court_04_3,True,,1,idle,,1,1,1.0,,helm,helm,,,,,,,,
d_ex_court_04_4,d_ex_court_04,Self,Locale_SuddenStory:d_ex_court_04_4,False,,1,idle,,1,1,1.0,,,,,,,,,,,
d_ex_court_04_5,d_ex_court_04,Speech,Locale_SuddenStory:d_ex_court_04_5,True,,1,idle,,1,S_10,1.0,,helm,helm,,,,,,,,
d_ex_court_04_6,d_ex_court_04,Speech,Locale_SuddenStory:d_ex_court_04_6,True,,1,idle,,S_10,S_10,1.0,,helm,helm,,,,,,,,
d_ex_court_04_7,d_ex_court_04,Speech,Locale_SuddenStory:d_ex_court_04_7,True,,1,idle,,S_10,S_10,1.0,,helm,helm,,,,,,,,
d_ex_court_04_8,d_ex_court_04,Self,Locale_SuddenStory:d_ex_court_04_8,False,,1,idle,,S_10,S_10,1.0,,,,,,,,,,,
d_ex_court_04_9,d_ex_court_04,Speech,Locale_SuddenStory:d_ex_court_04_9,True,,1,no,,S_10,S_10,1.0,,helm,helm,,,,,,,,
d_ex_court_04_10,d_ex_court_04,Speech,Locale_SuddenStory:d_ex_court_04_10,True,,1,no,,S_10,S_10,1.0,,helm,helm,,,,,,,,
d_ex_court_04_11,d_ex_court_04,Self,Locale_SuddenStory:d_ex_court_04_11,False,,1,no,,S_10,S_10,1.0,,,,,,,,,,,
d_ex_court_04_12,d_ex_court_04,Speech,Locale_SuddenStory:d_ex_court_04_12,True,,1,idle,,S_10,S_10,1.0,,helm,helm,,,,,,,,
d_ex_court_04_13,d_ex_court_04,Speech,Locale_SuddenStory:d_ex_court_04_13,True,,1,idle,,S_10,1,1.0,,helm,helm,,,,,,,,
d_ex_court_04_14,d_ex_court_04,Self,Locale_SuddenStory:d_ex_court_04_14,False,,1,idle,,1,1,1.0,,,,,,,,,,,
d_ex_court_04_15,d_ex_court_04,Speech,Locale_SuddenStory:d_ex_court_04_15,True,,1,idle,,1,1,1.0,,helm,helm,,,,,,,,
d_ex_court_04_16,d_ex_court_04,Speech,Locale_SuddenStory:d_ex_court_04_16,True,,1,idle,,1,1,1.0,,helm,helm,,,,,,,,
d_ex_court_04_17,d_ex_court_04,Self,Locale_SuddenStory:d_ex_court_04_17,False,,1,idle,,1,1,1.0,,,,,,,,,,,
d_ex_court_04_18,d_ex_court_04,Speech,Locale_SuddenStory:d_ex_court_04_18,True,,1,idle,,1,1,1.0,,helm,helm,,,,,,,,
d_ex_court_04_19,d_ex_court_04,Speech,Locale_SuddenStory:d_ex_court_04_19,True,,1,idle,,1,1,1.0,,helm,helm,,,,,,,,
d_ex_court_04_20,d_ex_court_04,Choice,Locale_SuddenStory:d_ex_court_04_20,False,,1,idle,,1,1,1.0,,,,d_ex_court_04_22,,,,,,,
d_ex_court_04_21,d_ex_court_04,Choice,Locale_SuddenStory:d_ex_court_04_21,False,,1,idle,,1,1,1.0,,,,d_ex_court_04_25,,,,,,,
d_ex_court_04_22,d_ex_court_04,Speech,Locale_SuddenStory:d_ex_court_04_22,True,,1,idle,,1,S_10,1.0,,helm,helm,,,,,,,,
