id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,jump_target,set_filter_01,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_ex_elevator_03_1,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_1,True,Elevator,2,S_20,2.0,sfx_scn_autodooropen,bgm_distress,,,,novel,2,think,,guillotine,12,idle,,,,,,,,,
d_ex_elevator_03_2,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_2,True,,S_20,S_20,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_3,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_3,True,,S_20,1,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_4,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_4,True,,1,1,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_5,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_5,True,,1,1,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_6,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_6,True,,1,1,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_7,d_ex_elevator_03,Choice,,,Locale_SuddenStory:d_ex_elevator_03_7,False,,1,1,1.0,,,d_ex_elevator_03_9,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_8,d_ex_elevator_03,Choice,,,Locale_SuddenStory:d_ex_elevator_03_8,False,,1,1,1.0,,,d_ex_elevator_03_10,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_9,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_9,True,,1,1,1.0,,,d_ex_elevator_03_11,,,,2,think,,,12,angry,,,,,,,,,
d_ex_elevator_03_10,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_10,True,,1,1,1.0,,,,,,,2,think,,,12,angry,,,,,,,,,
d_ex_elevator_03_11,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_11,True,,1,1,1.0,,,,,,,2,think,,,12,angry,,,,,,,,,
d_ex_elevator_03_12,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_12,True,Drain,1,1,1.0,,,,Grey,,,2,think,novel,,12,idle,guillotine,soldierfa,2,idle,,product23,12,idle,
d_ex_elevator_03_13,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_13,True,,1,1,1.0,,,,Grey,,,,,,,,,,,2,idle,,,12,idle,
d_ex_elevator_03_14,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_14,True,Elevator,1,1,1.0,,,,,,novel,2,think,,guillotine,12,idle,,,2,idle,soldierfa,,12,idle,product23
d_ex_elevator_03_15,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_15,False,,1,S_20,2.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_16,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_16,True,,S_20,S_20,1.0,,,,,,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_17,d_ex_elevator_03,Narration,,Narration,Locale_SuddenStory:d_ex_elevator_03_17,False,,1,1,1.0,sfx_scn_steamboxopen,none,,,Low_2,,2,think,,,12,idle,,,,,,,,,
d_ex_elevator_03_18,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_18,False,,1,1,1.0,,,,,,,2,pain,,,12,angry,,,,,,,,,
d_ex_elevator_03_19,d_ex_elevator_03,Self,,Self,Locale_SuddenStory:d_ex_elevator_03_19,False,,1,1,1.0,,,,,,,2,pain,,,12,angry,,,,,,,,,
d_ex_elevator_03_20,d_ex_elevator_03,Speech,guillotine,guillotine,Locale_SuddenStory:d_ex_elevator_03_20,True,,1,1,1.0,,,,,,,2,pain,,,12,angry,,,,,,,,,
d_ex_elevator_03_21,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_21,True,,1,1,1.0,,,,,,,2,pain,,,12,angry,,,,,,,,,
d_ex_elevator_03_22,d_ex_elevator_03,Speech,novel,novel,Locale_SuddenStory:d_ex_elevator_03_22,True,,1,1,1.0,,,,,,,2,pain,,,12,angry,,,,,,,,,
