id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/2/hide_char_id
d_ex_flowerpark_05_1,d_ex_flowerpark_05,Monologue,trina,Locale_SuddenStory:d_ex_flowerpark_05_1,False,none,black,black,1.0,bgm_story_orangepop,,,,,,,,,,,,,
d_ex_flowerpark_05_2,d_ex_flowerpark_05,Monologue,trina,Locale_SuddenStory:d_ex_flowerpark_05_2,False,FlowerGarden,black,black,1.0,,sfx_scn_violin,,,,,,,,,,,,
d_ex_flowerpark_05_3,d_ex_flowerpark_05,Speech,trina,Locale_SuddenStory:d_ex_flowerpark_05_3,True,,L_10,L_10,1.0,,,trina,trina,1,delight,julia,3,delight,,,,,
d_ex_flowerpark_05_4,d_ex_flowerpark_05,Speech,julia,Locale_SuddenStory:d_ex_flowerpark_05_4,True,,S_30,S_30,1.0,,,julia,,1,delight,,3,delight,,,,,
d_ex_flowerpark_05_5,d_ex_flowerpark_05,Self,julia,Locale_SuddenStory:d_ex_flowerpark_05_5,False,,S_30,S_30,1.5,,,,,1,delight,,3,delight,,,,,
d_ex_flowerpark_05_6,d_ex_flowerpark_05,Speech,trina,Locale_SuddenStory:d_ex_flowerpark_05_6,True,,S_30,2,1.0,,,trina,,1,delight,,3,delight,,,,,
d_ex_flowerpark_05_7,d_ex_flowerpark_05,Self,trina,Locale_SuddenStory:d_ex_flowerpark_05_7,False,,2,2,1.0,,,,,1,delight,,3,delight,,,,,
d_ex_flowerpark_05_8,d_ex_flowerpark_05,Speech,trina,Locale_SuddenStory:d_ex_flowerpark_05_8,True,,2,2,1.0,,,trina,,1,delight,,3,delight,,,,,
d_ex_flowerpark_05_9,d_ex_flowerpark_05,Speech,trina,Locale_SuddenStory:d_ex_flowerpark_05_9,True,,2,2,1.0,,,trina,,1,delight,,3,delight,,,,,
d_ex_flowerpark_05_10,d_ex_flowerpark_05,Speech,trina,Locale_SuddenStory:d_ex_flowerpark_05_10,True,,2,2,1.0,,,trina,,1,delight,,3,delight,,,,,
d_ex_flowerpark_05_11,d_ex_flowerpark_05,Self,trina,Locale_SuddenStory:d_ex_flowerpark_05_11,False,,2,2,1.0,,,,,1,delight,,3,delight,,,,,
d_ex_flowerpark_05_12,d_ex_flowerpark_05,Speech,trina,Locale_SuddenStory:d_ex_flowerpark_05_12,True,,2,2,1.0,,,trina,,1,delight,,3,delight,,,,,
