id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,jump_target,characters/0/hide_char_id,set_filter_01
d_ex_mysteryclub_01_1,d_ex_mysteryclub_01,Narration,Locale_SuddenStory:d_ex_mysteryclub_01_1,True,none,black,black,1.0,sfx_scn_toyshopbell,bgm_story_backtonormal,,,,,,,,,,,,
d_ex_mysteryclub_01_2,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_2,True,Bar,31,31,1.0,,,mihara,mihara,mihara,1,idle,yuni,3,idle,,,,
d_ex_mysteryclub_01_3,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_3,True,,31,31,1.0,,,yuni,yuni,,1,idle,,3,idle,,,,
d_ex_mysteryclub_01_4,d_ex_mysteryclub_01,Self,Locale_SuddenStory:d_ex_mysteryclub_01_4,True,,31,31,1.0,,,yuni,,,1,idle,,3,idle,,,,
d_ex_mysteryclub_01_5,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_5,True,,31,31,1.0,,,mihara,mihara,,1,idle,,3,idle,,,,
d_ex_mysteryclub_01_6,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_6,True,,31,31,1.0,,,mihara,mihara,,1,idle,,3,idle,,,,
d_ex_mysteryclub_01_7,d_ex_mysteryclub_01,Self,Locale_SuddenStory:d_ex_mysteryclub_01_7,True,,31,31,1.0,,,mihara,,,1,idle,,3,idle,,,,
d_ex_mysteryclub_01_8,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_8,True,,31,S_30,1.0,,,yuni,yuni,,1,idle,,3,idle,,,,
d_ex_mysteryclub_01_9,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_9,True,,S_30,S_30,1.0,,,yuni,yuni,,1,idle,,3,idle,,,,
d_ex_mysteryclub_01_10,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_10,True,,S_30,10,1.0,,,mihara,mihara,,1,idle,,3,idle,,,,
d_ex_mysteryclub_01_11,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_11,True,,10,31,1.0,,,yuni,yuni,,1,idle,,3,idle,,,,
d_ex_mysteryclub_01_12,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_12,True,,31,31,1.0,,,mihara,mihara,,1,idle,,3,idle,,,,
d_ex_mysteryclub_01_13,d_ex_mysteryclub_01,Narration,Locale_SuddenStory:d_ex_mysteryclub_01_13,True,,31,31,1.0,,,mihara,,,1,idle,,7,idle,,,,
d_ex_mysteryclub_01_14,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_14,False,,31,10,1.0,,,mihara,mihara,,1,idle,,,,yuni,,,
d_ex_mysteryclub_01_15,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_15,True,,10,10,1.0,,,mihara,mihara,,1,idle,,,,,,,
d_ex_mysteryclub_01_16,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_16,True,,10,100,1.0,,,mihara,mihara,,1,idle,,,,,,,
d_ex_mysteryclub_01_17,d_ex_mysteryclub_01,Choice,Locale_SuddenStory:d_ex_mysteryclub_01_17,True,,100,100,1.0,,,mihara,,,1,idle,,,,,d_ex_mysteryclub_01_19,,
d_ex_mysteryclub_01_18,d_ex_mysteryclub_01,Choice,Locale_SuddenStory:d_ex_mysteryclub_01_18,True,,100,100,1.0,,,mihara,,,1,idle,,,,,d_ex_mysteryclub_01_22,,
d_ex_mysteryclub_01_19,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_19,True,,100,100,1.0,,,mihara,mihara,,1,idle,,,,,,,
d_ex_mysteryclub_01_20,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_20,True,,100,100,1.0,,,mihara,mihara,,1,idle,,,,,,,
d_ex_mysteryclub_01_21,d_ex_mysteryclub_01,Self,Locale_SuddenStory:d_ex_mysteryclub_01_21,True,,100,100,1.0,,,mihara,,,1,idle,,,,,,,
d_ex_mysteryclub_01_22,d_ex_mysteryclub_01,Speech,Locale_SuddenStory:d_ex_mysteryclub_01_22,True,,100,10,1.0,,,mihara,mihara,,1,idle,,,,,,,
d_ex_mysteryclub_01_23,d_ex_mysteryclub_01,Monologue,Locale_SuddenStory:d_ex_mysteryclub_01_23,True,,10,7,2.0,,,,,,1,idle,,,,,,,
d_ex_mysteryclub_01_24,d_ex_mysteryclub_01,Monologue,Locale_SuddenStory:d_ex_mysteryclub_01_24,True,none,7,7,1.0,,none,,,,,,,,,,,mihara,
