id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_observationpost_04_1,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_1,True,BriefingRoom,113,113,1.0,bgm_story_backtonormal,,,,signal,1,idle,,delta,13,idle,,,
d_ex_observationpost_04_2,d_ex_observationpost_04,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_04_2,True,,113,113,1.0,,,,,,1,idle,,,13,idle,,,
d_ex_observationpost_04_3,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_3,True,,113,113,1.0,,,,,,1,idle,,,13,idle,,,
d_ex_observationpost_04_4,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_4,True,,113,113,1.0,,,,,,1,idle,,,13,idle,,,
d_ex_observationpost_04_5,d_ex_observationpost_04,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_04_5,True,,113,113,1.0,,,,,,1,shy,,,13,idle,,,
d_ex_observationpost_04_6,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_6,True,,113,113,1.0,,,,,,1,shy,,,13,think,,,
d_ex_observationpost_04_7,d_ex_observationpost_04,Narration,delta,,Locale_SuddenStory:d_ex_observationpost_04_7,False,,113,13,1.0,,,,,,1,shy,signal,,13,think,,,
d_ex_observationpost_04_8,d_ex_observationpost_04,Choice,delta,,Locale_SuddenStory:d_ex_observationpost_04_8,False,,13,13,1.0,,d_ex_observationpost_04_10,,,,,,,,13,idle,,,
d_ex_observationpost_04_9,d_ex_observationpost_04,Choice,delta,,Locale_SuddenStory:d_ex_observationpost_04_9,False,,13,13,1.0,,d_ex_observationpost_04_12,,,,,,,,13,idle,,,
d_ex_observationpost_04_10,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_10,True,,13,13,1.0,,,,,,,,,,13,idle,,,
d_ex_observationpost_04_11,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_11,True,,13,13,1.0,,d_ex_observationpost_04_14,,,,,,,,13,idle,,,
d_ex_observationpost_04_12,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_12,True,,13,13,1.0,,,,,,,,,,13,idle,,,
d_ex_observationpost_04_13,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_13,True,,13,13,1.0,,d_ex_observationpost_04_14,,,,,,,,13,idle,,,
d_ex_observationpost_04_14,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_14,True,,13,S_130,1.0,,,,,,,,,,13,think,,,
d_ex_observationpost_04_15,d_ex_observationpost_04,Self,delta,,Locale_SuddenStory:d_ex_observationpost_04_15,False,,S_130,S_130,1.0,,,,,,,,,,13,think,,,
d_ex_observationpost_04_16,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_16,True,,S_130,S_130,1.0,,,,,,,,,,13,think,,,
d_ex_observationpost_04_17,d_ex_observationpost_04,Speech,signal,signal,Locale_SuddenStory:d_ex_observationpost_04_17,True,none,black,black,1.0,,,Low_2,,,,,,,13,idle,,,
d_ex_observationpost_04_18,d_ex_observationpost_04,Speech,delta,delta,Locale_SuddenStory:d_ex_observationpost_04_18,False,BriefingRoom,S_130,S_1300,0.5,,,,,,,,,,13,angry,,,
