id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake
d_ex_powerplant_01_1,d_ex_powerplant_01,Self,Locale_SuddenStory:d_ex_powerplant_01_1,True,TechIndoor,black,black,1.0,bgm_story_orangepop,,,,,,,,,
d_ex_powerplant_01_2,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_2,True,,1,10,1.0,,maxwell,maxwell,maxwell,1,delight,,,,
d_ex_powerplant_01_3,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_3,True,,10,10,1.0,,maxwell,maxwell,,1,delight,,,,
d_ex_powerplant_01_4,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_4,True,,10,30,0.5,,ludmilla,ludmilla,,1,idle,ludmilla,3,idle,
d_ex_powerplant_01_5,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_5,True,,30,30,1.0,,ludmilla,ludmilla,,1,idle,,3,idle,
d_ex_powerplant_01_6,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_6,False,,10,100,0.5,,maxwell,maxwell,,1,angry,,3,idle,
d_ex_powerplant_01_7,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_7,True,,100,100,1.0,,maxwell,maxwell,,1,angry,,3,idle,
d_ex_powerplant_01_8,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_8,True,,100,100,1.0,,maxwell,maxwell,,1,angry,,3,idle,
d_ex_powerplant_01_9,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_9,True,,100,100,1.0,,maxwell,maxwell,,1,angry,,3,idle,
d_ex_powerplant_01_10,d_ex_powerplant_01,Self,Locale_SuddenStory:d_ex_powerplant_01_10,True,,100,100,1.0,,,,,1,angry,,3,idle,
d_ex_powerplant_01_11,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_11,False,,2,2,1.0,,ludmilla,ludmilla,,1,angry,,3,idle,
d_ex_powerplant_01_12,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_12,True,,2,2,1.0,,ludmilla,ludmilla,,1,angry,,3,idle,
d_ex_powerplant_01_13,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_13,True,,2,2,1.0,,ludmilla,ludmilla,,1,angry,,3,idle,
d_ex_powerplant_01_14,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_14,True,,2,2,1.0,,ludmilla,ludmilla,,1,angry,,3,idle,
d_ex_powerplant_01_15,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_15,True,,2,2,1.0,,maxwell,maxwell,,1,angry,,3,idle,
d_ex_powerplant_01_16,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_16,True,,2,2,1.0,,maxwell,maxwell,,1,angry,,3,idle,
d_ex_powerplant_01_17,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_17,True,,2,3,1.0,,ludmilla,ludmilla,,1,angry,,3,idle,
d_ex_powerplant_01_18,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_18,True,,3,3,1.0,,ludmilla,ludmilla,,1,angry,,3,idle,
d_ex_powerplant_01_19,d_ex_powerplant_01,Monologue,Locale_SuddenStory:d_ex_powerplant_01_19,True,,3,30,1.0,,,,,1,angry,,3,idle,
d_ex_powerplant_01_20,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_20,True,,100,100,1.0,,maxwell,maxwell,,1,angry,,3,idle,Low_2
d_ex_powerplant_01_21,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_21,True,,100,100,1.0,,maxwell,maxwell,,1,angry,,3,idle,
d_ex_powerplant_01_22,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_22,True,,100,100,1.0,,maxwell,maxwell,,1,angry,,3,idle,
d_ex_powerplant_01_23,d_ex_powerplant_01,Monologue,Locale_SuddenStory:d_ex_powerplant_01_23,True,,30,3,1.0,,,,,1,angry,,3,idle,
d_ex_powerplant_01_24,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_24,True,,3,3,1.0,,ludmilla,ludmilla,,1,angry,,3,idle,
d_ex_powerplant_01_25,d_ex_powerplant_01,Speech,Locale_SuddenStory:d_ex_powerplant_01_25,True,,3,2,1.0,,ludmilla,ludmilla,,1,angry,,3,idle,
