id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_filter_01,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
d_ex_redash_07_2_1,d_ex_redash_07_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_07_2_1,False,Office,black,black,1.0,none,,,,,liliweiss,9,no,,,,,,,
d_ex_redash_07_2_2,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_2,False,,9,9,1.0,event_bgm_redash_freesia,liliweiss,,,,,9,no,,,,,,,
d_ex_redash_07_2_3,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_3,True,,9,9,1.0,,liliweiss,,,,,9,no,,,,,,,
d_ex_redash_07_2_4,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_4,True,,90,90,1.0,,liliweiss,Vignetting,white,,,9,idle,,,,fx_Eventscene_camera_recording,rec,True,
d_ex_redash_07_2_5,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_5,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_6,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_6,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,no,,,,,,,
d_ex_redash_07_2_7,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_7,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,no,,,,,,,
d_ex_redash_07_2_8,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_8,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_9,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_9,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_10,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_10,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_11,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_11,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_12,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_12,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_13,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_13,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,no,,,,,,,
d_ex_redash_07_2_14,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_14,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,sad,,,,,,,
d_ex_redash_07_2_15,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_15,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,think,,,,,,,
d_ex_redash_07_2_16,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_16,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,think,,,,,,,
d_ex_redash_07_2_17,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_17,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,think,,,,,,,
d_ex_redash_07_2_18,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_18,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,think,,,,,,,
d_ex_redash_07_2_19,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_19,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,think,,,,,,,
d_ex_redash_07_2_20,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_20,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,think,,,,,,,
d_ex_redash_07_2_21,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_21,False,,90,90,1.0,,liliweiss,Vignetting,,,,9,think,,,,,,,
d_ex_redash_07_2_22,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_22,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,delight,,,,,,,
d_ex_redash_07_2_23,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_23,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,delight,,,,,,,
d_ex_redash_07_2_24,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_24,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,delight,,,,,,,
d_ex_redash_07_2_25,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_25,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,delight,,,,,,,
d_ex_redash_07_2_26,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_26,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_27,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_27,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_28,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_28,False,,90,90,1.0,,liliweiss,Vignetting,,,,9,think,,,,,,,
d_ex_redash_07_2_29,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_29,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_30,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_30,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_31,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_31,True,,90,90,1.0,,liliweiss,Vignetting,,,,9,idle,,,,,,,
d_ex_redash_07_2_32,d_ex_redash_07_2,Narration,Narration,Locale_SuddenStory:d_ex_redash_07_2_32,False,,black,black,1.0,,,,,sfx_scn_remotesignal,,9,idle,,,,,,,fx_Eventscene_camera_recording
d_ex_redash_07_2_33,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_33,False,,9,9,1.0,,liliweiss,,,,,9,idle,commander,1,idle,,,,
d_ex_redash_07_2_34,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_34,True,,9,2,1.0,,liliweiss,,,,,3,think,,1,idle,,,,
d_ex_redash_07_2_35,d_ex_redash_07_2,Speech,commander,Locale_SuddenStory:d_ex_redash_07_2_35,True,,2,2,1.0,,commander,,,,,3,think,,1,idle,,,,
d_ex_redash_07_2_36,d_ex_redash_07_2,Speech,liliweiss,Locale_SuddenStory:d_ex_redash_07_2_36,True,,30,30,1.0,,liliweiss,,,,,3,idle,,1,idle,,,,
d_ex_redash_07_2_37,d_ex_redash_07_2,Speech,commander,Locale_SuddenStory:d_ex_redash_07_2_37,True,,L_10,L_10,1.0,,commander,,,,,3,idle,,1,idle,,,,
