id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_tower_01_1,d_ex_tower_01,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_01_1,False,Police,1,1,1.0,bgm_story_orangepop,,,exia,1,delight,,,
d_ex_tower_01_2,d_ex_tower_01,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_01_2,True,,1,1,1.0,,,,,1,delight,,,
d_ex_tower_01_3,d_ex_tower_01,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_01_3,True,,1,1,1.0,,,,,1,delight,,,
d_ex_tower_01_4,d_ex_tower_01,Self,exia,,Locale_SuddenStory:d_ex_tower_01_4,True,,1,1,1.0,,,,,1,delight,,,
d_ex_tower_01_5,d_ex_tower_01,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_01_5,True,,1,S_10,2.0,,,,,1,good,,,
d_ex_tower_01_6,d_ex_tower_01,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_01_6,True,,S_10,S_10,1.0,,,,,1,good,,,
d_ex_tower_01_7,d_ex_tower_01,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_01_7,True,,S_10,S_10,1.0,,,,,1,sad,,,
d_ex_tower_01_8,d_ex_tower_01,Narration,exia,,Locale_SuddenStory:d_ex_tower_01_8,True,,S_10,S_20,1.0,,sfx_scn_knock,,,1,sad,,,
d_ex_tower_01_9,d_ex_tower_01,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_01_9,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_10,d_ex_tower_01,Self,exia,,Locale_SuddenStory:d_ex_tower_01_10,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_11,d_ex_tower_01,Narration,exia,,Locale_SuddenStory:d_ex_tower_01_11,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_12,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_12,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_13,d_ex_tower_01,Self,exia,,Locale_SuddenStory:d_ex_tower_01_13,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_14,d_ex_tower_01,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_01_14,False,,S_20,S_10,0.5,,,,,1,idle,,,
d_ex_tower_01_15,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_15,False,,S_10,S_10,1.0,,,,,1,idle,,,
d_ex_tower_01_16,d_ex_tower_01,Narration,exia,,Locale_SuddenStory:d_ex_tower_01_16,False,,S_10,S_20,1.0,,,,,1,surprise,,,
d_ex_tower_01_17,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_17,False,,S_20,S_20,1.0,,,,,1,surprise,,,
d_ex_tower_01_18,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_18,False,,S_20,S_20,1.0,,,,,1,surprise,,,
d_ex_tower_01_19,d_ex_tower_01,Narration,exia,,Locale_SuddenStory:d_ex_tower_01_19,False,,S_20,S_10,0.5,,,,,1,sad,,,
d_ex_tower_01_20,d_ex_tower_01,Self,exia,,Locale_SuddenStory:d_ex_tower_01_20,False,,S_10,S_20,1.0,,,,,1,sad,,,
d_ex_tower_01_21,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_21,False,,S_20,S_20,1.0,,,,,1,sad,,,
d_ex_tower_01_22,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_22,False,,S_20,S_20,1.0,,,,,1,sad,,,
d_ex_tower_01_23,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_23,False,,S_20,S_20,1.0,,,,,1,sad,,,
d_ex_tower_01_24,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_24,False,,S_20,S_20,1.0,,,,,1,sad,,,
d_ex_tower_01_25,d_ex_tower_01,Narration,exia,,Locale_SuddenStory:d_ex_tower_01_25,False,,S_20,S_10,1.0,,,,,1,idle,,,
d_ex_tower_01_26,d_ex_tower_01,Self,exia,,Locale_SuddenStory:d_ex_tower_01_26,False,,S_10,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_27,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_27,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_28,d_ex_tower_01,Self,exia,,Locale_SuddenStory:d_ex_tower_01_28,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_29,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_29,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_30,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_30,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_31,d_ex_tower_01,Self,exia,,Locale_SuddenStory:d_ex_tower_01_31,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_32,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_32,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_33,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_33,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_34,d_ex_tower_01,Self,exia,,Locale_SuddenStory:d_ex_tower_01_34,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_35,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_35,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_36,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_36,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_37,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_37,False,,S_20,S_20,1.0,,,,,1,idle,,,
d_ex_tower_01_38,d_ex_tower_01,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_01_38,True,,S_20,S_10,1.0,,,,,1,delight,,,
d_ex_tower_01_39,d_ex_tower_01,Speech,exia,signal,Locale_SuddenStory:d_ex_tower_01_39,False,,S_10,S_10,1.0,,,,,1,delight,,,
d_ex_tower_01_40,d_ex_tower_01,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_01_40,True,,S_10,S_10,1.0,,,,,1,delight,,,
d_ex_tower_01_41,d_ex_tower_01,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_01_41,True,,S_10,S_10,1.0,,,,,1,delight,,,
d_ex_tower_01_42,d_ex_tower_01,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_01_42,True,,S_10,S_10,1.0,,,,,1,idle,,,
d_ex_tower_01_43,d_ex_tower_01,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_01_43,True,,S_10,S_10,1.0,,,,,1,idle,,,
d_ex_tower_01_44,d_ex_tower_01,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_01_44,True,,S_10,S_10,1.0,,,,,1,good,,,
d_ex_tower_01_45,d_ex_tower_01,Speech,exia,exia,Locale_SuddenStory:d_ex_tower_01_45,True,,S_10,S_100,1.0,,,,,1,good,,,
