id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,jump_target,set_camera_shake,conversation_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,fade
d_ex_wingofvictory_02_1,d_ex_wingofvictory_02,Monologue,Locale_SuddenStory:d_ex_wingofvictory_02_1,False,Park,5,1,2.0,none,,,,,,,,,,,,,,,
d_ex_wingofvictory_02_2,d_ex_wingofvictory_02,Monologue,Locale_SuddenStory:d_ex_wingofvictory_02_2,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_ex_wingofvictory_02_3,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_3,True,,1,1,1.0,bgm_story_fairytalesend_if,guillotine,guillotine,guillotine,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_4,d_ex_wingofvictory_02,Narration,Locale_SuddenStory:d_ex_wingofvictory_02_4,False,,1,1,1.0,,guillotine,Narration,,1,idle,sfx_scn_emptywind,,,,,,,,,
d_ex_wingofvictory_02_5,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_5,True,,1,1,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_6,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_6,True,,1,1,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_7,d_ex_wingofvictory_02,Choice,Locale_SuddenStory:d_ex_wingofvictory_02_7,False,,1,1,1.0,,guillotine,,,1,idle,,d_ex_wingofvictory_02_9,,,,,,,,
d_ex_wingofvictory_02_8,d_ex_wingofvictory_02,Choice,Locale_SuddenStory:d_ex_wingofvictory_02_8,False,,1,1,1.0,,guillotine,,,1,idle,,d_ex_wingofvictory_02_12,,,,,,,,
d_ex_wingofvictory_02_9,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_9,True,,1,4,0.5,,guillotine,guillotine,,1,angry,,,Low_2,,,,,,,
d_ex_wingofvictory_02_10,d_ex_wingofvictory_02,Monologue,Locale_SuddenStory:d_ex_wingofvictory_02_10,False,,4,4,1.0,,guillotine,,,1,angry,,,,,,,,,,
d_ex_wingofvictory_02_11,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_11,True,,4,S_10,0.5,,guillotine,guillotine,,1,no,,d_ex_wingofvictory_02_14,,,,,,,,
d_ex_wingofvictory_02_12,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_12,True,,1,S_10,2.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_13,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_13,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_14,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_14,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_15,d_ex_wingofvictory_02,Choice,Locale_SuddenStory:d_ex_wingofvictory_02_15,False,,S_10,S_10,1.0,,guillotine,,,1,idle,,d_ex_wingofvictory_02_17,,,,,,,,
d_ex_wingofvictory_02_16,d_ex_wingofvictory_02,Choice,Locale_SuddenStory:d_ex_wingofvictory_02_16,False,,S_10,S_10,1.0,,guillotine,,,1,idle,,d_ex_wingofvictory_02_19,,,,,,,,
d_ex_wingofvictory_02_17,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_17,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,angry,,,,,,,,,,
d_ex_wingofvictory_02_18,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_18,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,angry,,d_ex_wingofvictory_02_20,,,,,,,,
d_ex_wingofvictory_02_19,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_19,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_20,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_20,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
d_ex_wingofvictory_02_21,d_ex_wingofvictory_02,Speech,Locale_SuddenStory:d_ex_wingofvictory_02_21,True,,S_10,S_10,1.0,,guillotine,guillotine,,1,idle,,,,,,,,,,
