id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_main_01_02_1,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_1,True,marian,1,idle,CityForest_01,1,1,1.0,bgm_distress
d_main_01_02_2,d_main_01_02,Self,marian,Self,Locale_MainScenario:d_main_01_02_2,True,,1,idle,,1,1,1.0,
d_main_01_02_3,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_3,True,,1,idle,,1,1,1.0,
d_main_01_02_4,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_4,True,,1,delight,,1,1,1.0,
d_main_01_02_5,d_main_01_02,Self,marian,Self,Locale_MainScenario:d_main_01_02_5,True,,1,idle,,1,1,1.0,
d_main_01_02_6,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_6,True,,1,delight,,1,1,1.0,
d_main_01_02_7,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_7,True,,1,delight,,1,100,1.0,
d_main_01_02_8,d_main_01_02,Self,marian,Self,Locale_MainScenario:d_main_01_02_8,True,,1,delight,,100,100,1.0,
d_main_01_02_9,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_9,True,,1,idle,,100,10,1.0,
d_main_01_02_10,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_10,True,,1,idle,,10,10,1.0,
d_main_01_02_11,d_main_01_02,Narration,marian,Narration,Locale_MainScenario:d_main_01_02_11,True,,1,delight,,10,100,1.0,
d_main_01_02_12,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_12,True,,1,delight,,100,100,1.0,
d_main_01_02_13,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_13,True,,1,idle,,100,100,1.0,
d_main_01_02_14,d_main_01_02,Self,marian,Self,Locale_MainScenario:d_main_01_02_14,True,,1,idle,,100,100,1.0,
d_main_01_02_15,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_15,True,,1,delight,,100,100,1.0,
d_main_01_02_16,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_16,True,,1,idle,,100,100,1.0,
d_main_01_02_17,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_17,False,,1,angry,,100,1,3.0,none
d_main_01_02_18,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_18,True,,1,angry,,1,1,1.0,bgm_enemyclose
d_main_01_02_19,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_19,True,,1,angry,,1,1,1.0,
d_main_01_02_20,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_20,True,,1,angry,,1,10,1.0,
d_main_01_02_21,d_main_01_02,Speech,marian,marian,Locale_MainScenario:d_main_01_02_21,True,,1,angry,,10,100,1.0,
