id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_main_03_03_1,d_main_03_03,Speech,yuni,yuni,Locale_MainScenario:d_main_03_03_1,True,rapi,1,idle,anis,3,void,neon,13,idle,mihara,17,idle,yuni,19,idle,CityForest_03,19,S_190,1.0,bgm_risk_a
d_main_03_03_2,d_main_03_03,Speech,mihara,mihara,Locale_MainScenario:d_main_03_03_2,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,S_190,170,1.0,
d_main_03_03_3,d_main_03_03,Speech,yuni,yuni,Locale_MainScenario:d_main_03_03_3,True,,1,idle,,3,void,,13,idle,,17,idle,,19,shy,,170,1719,1.0,
d_main_03_03_4,d_main_03_03,Speech,mihara,mihara,Locale_MainScenario:d_main_03_03_4,True,,1,idle,,3,void,,13,idle,,17,idle,,19,shy,,1719,1719,1.0,
d_main_03_03_5,d_main_03_03,Speech,yuni,yuni,Locale_MainScenario:d_main_03_03_5,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,1719,1719,1.0,
d_main_03_03_6,d_main_03_03,Speech,anis,anis,Locale_MainScenario:d_main_03_03_6,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,30,30,1.0,
d_main_03_03_7,d_main_03_03,Speech,yuni,yuni,Locale_MainScenario:d_main_03_03_7,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,19,19,1.0,
d_main_03_03_8,d_main_03_03,Speech,anis,anis,Locale_MainScenario:d_main_03_03_8,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,30,300,1.0,
d_main_03_03_9,d_main_03_03,Speech,yuni,yuni,Locale_MainScenario:d_main_03_03_9,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,19,S_190,1.0,
d_main_03_03_10,d_main_03_03,Speech,neon,neon,Locale_MainScenario:d_main_03_03_10,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,13,13,1.0,
d_main_03_03_11,d_main_03_03,Speech,mihara,mihara,Locale_MainScenario:d_main_03_03_11,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,17,17,1.0,
d_main_03_03_12,d_main_03_03,Speech,mihara,mihara,Locale_MainScenario:d_main_03_03_12,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,17,170,1.0,
d_main_03_03_13,d_main_03_03,Speech,mihara,mihara,Locale_MainScenario:d_main_03_03_13,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,170,170,1.0,
d_main_03_03_14,d_main_03_03,Speech,rapi,rapi,Locale_MainScenario:d_main_03_03_14,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,10,10,1.0,
d_main_03_03_15,d_main_03_03,Speech,mihara,mihara,Locale_MainScenario:d_main_03_03_15,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,170,170,1.0,
d_main_03_03_16,d_main_03_03,Speech,rapi,rapi,Locale_MainScenario:d_main_03_03_16,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,10,10,1.0,
d_main_03_03_17,d_main_03_03,Speech,mihara,mihara,Locale_MainScenario:d_main_03_03_17,True,,1,idle,,3,void,,13,idle,,17,idle,,19,idle,,170,170,1.0,
