id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_main_06_04_1,d_main_06_04,,Speech,alice,alice,Locale_MainScenario:d_main_06_04_1,True,Laboratory,,,,,,9,3,0,,,,100,bgm_frostpillar_a,,None,None,,None,False,alice,,3,delight,ludmilla,,1,think,rapi,,13,idle,anis,,15,void,neon,,17,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_06_04_2,d_main_06_04,,Monologue,,,Locale_MainScenario:d_main_06_04_2,True,,,,,,,3,3,0,,,,100,,,None,None,,None,False,,,3,delight,,,1,think,,,13,idle,,,15,void,,,17,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_06_04_3,d_main_06_04,,Speech,rapi,rapi,Locale_MainScenario:d_main_06_04_3,True,,,,,,,13,13,0,,,,100,,,None,None,,None,False,,,3,delight,,,1,think,,,13,idle,,,15,void,,,17,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_06_04_4,d_main_06_04,,Speech,alice,alice,Locale_MainScenario:d_main_06_04_4,True,,,,,,,13,3,0,,,,100,,,None,None,,None,False,,,3,delight,,,1,think,,,13,idle,,,15,void,,,17,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_06_04_5,d_main_06_04,,Speech,alice,alice,Locale_MainScenario:d_main_06_04_5,True,,,,,,,3,5,0,,,,100,,,None,None,,None,False,,,3,delight,,,1,think,,,13,idle,,,15,void,,,17,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_06_04_6,d_main_06_04,,Narration,Narration,Narration,Locale_MainScenario:d_main_06_04_6,True,,,,,,,5,5,0,,sfx_scn_capsuleopen,,100,,,None,None,,None,False,,,3,delight,,,1,think,,,13,idle,,,15,void,,,17,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_06_04_7,d_main_06_04,,Narration,Narration,Narration,Locale_MainScenario:d_main_06_04_7,True,black,,,,,,5,5,0,,,,100,,,None,None,,None,False,,alice,3,delight,,ludmilla,1,think,,rapi,13,idle,,anis,15,void,,neon,17,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_06_04_8,d_main_06_04,,Speech,rapi,rapi,Locale_MainScenario:d_main_06_04_8,False,EventScene_Chap_06_02,,,,,,nobrain_01,nobrain_02,0,,,,100,none,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_06_04_9,d_main_06_04,,Speech,anis,anis,Locale_MainScenario:d_main_06_04_9,True,,,,,,,nobrain_02,nobrain_02,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_06_04_10,d_main_06_04,,Speech,neon,neon,Locale_MainScenario:d_main_06_04_10,True,,,,,,,nobrain_02,nobrain_02,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_06_04_11,d_main_06_04,,Monologue,,,Locale_MainScenario:d_main_06_04_11,True,,,,,,,nobrain_02,nobrain_02,0,,,,100,bgm_mystery,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_06_04_12,d_main_06_04,,Speech,alice,alice,Locale_MainScenario:d_main_06_04_12,True,,,,,,,nobrain_02,nobrain_02,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_06_04_13,d_main_06_04,,Narration,Narration,Narration,Locale_MainScenario:d_main_06_04_13,True,,,,,,,nobrain_02,nobrain_02,0,,sfx_scn_capsuleopen,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_06_04_14,d_main_06_04,,Monologue,,,Locale_MainScenario:d_main_06_04_14,True,,,,,,,nobrain_02,nobrain_02,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_06_04_15,d_main_06_04,,Monologue,,,Locale_MainScenario:d_main_06_04_15,True,,,,,,,nobrain_02,nobrain_02,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_06_04_16,d_main_06_04,,Speech,alice,alice,Locale_MainScenario:d_main_06_04_16,True,,,,,,,nobrain_02,nobrain_02,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
