id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_main_15_02_1,d_main_15_02,Speech,rupee,rupee,Locale_MainScenario:d_main_15_02_1,True,none,talentum_all,talentum_all,1.0,bgm_story_shopperholic,,,,,,,,,,,,,,,,,,,,,talentum_event,event,idle,
d_main_15_02_2,d_main_15_02,Speech,rupee,rupee,Locale_MainScenario:d_main_15_02_2,True,,talentum_all,talentum_all,1.0,,,,,,,,,,,,,,,,,,,,,,,event,idle,
d_main_15_02_3,d_main_15_02,Speech,rupee,rupee,Locale_MainScenario:d_main_15_02_3,True,,talentum_all,talentum_rupee,1.5,,,,,,,,,,,,,,,,,,,,,,,event,idle,
d_main_15_02_4,d_main_15_02,Speech,rupee,rupee,Locale_MainScenario:d_main_15_02_4,True,,talentum_rupee,talentum_rupee,1.0,,,,,,,,,,,,,,,,,,,,,,,event,idle,
d_main_15_02_5,d_main_15_02,Speech,rupee,rupee,Locale_MainScenario:d_main_15_02_5,True,,talentum_rupee,talentum_rupee,1.0,,,,,,,,,,,,,,,,,,,,,,,event,idle,
d_main_15_02_6,d_main_15_02,Speech,rupee,rupee,Locale_MainScenario:d_main_15_02_6,True,,talentum_rupee,talentum_rupee,1.0,,,,,,,,,,,,,,,,,,,,,,,event,idle,
d_main_15_02_7,d_main_15_02,Speech,rupee,rupee,Locale_MainScenario:d_main_15_02_7,True,,talentum_rupee,talentum_all,2.0,,,,,,,,,,,,,,,,,,,,,,,event,idle,
d_main_15_02_8,d_main_15_02,Choice,rupee,,Locale_MainScenario:d_main_15_02_8,False,,talentum_all,talentum_all,1.0,,d_main_15_02_10,,,,,,,,,,,,,,,,,,,,,event,idle,
d_main_15_02_9,d_main_15_02,Choice,rupee,,Locale_MainScenario:d_main_15_02_9,False,,talentum_all,talentum_all,1.0,,d_main_15_02_11,,,,,,,,,,,,,,,,,,,,,event,idle,
d_main_15_02_10,d_main_15_02,Speech,rupee,rupee,Locale_MainScenario:d_main_15_02_10,True,,talentum_all,talentum_all,1.0,,d_main_15_02_14,,,,,,,,,,,,,,,,,,,,,event,idle,
d_main_15_02_11,d_main_15_02,Speech,anis,anis,Locale_MainScenario:d_main_15_02_11,False,,talentum_all,talentum_all,1.0,,,,,,,,,,,,,,,,,,,,,,,event,idle,
d_main_15_02_12,d_main_15_02,Speech,neon,neon,Locale_MainScenario:d_main_15_02_12,True,,talentum_all,talentum_all,1.0,,,,,,,,,,,,,,,,,,,,,,,event,idle,
d_main_15_02_13,d_main_15_02,Speech,rapi,rapi,Locale_MainScenario:d_main_15_02_13,True,,talentum_all,talentum_all,1.0,,,,,,,,,,,,,,,,,,,,,,,event,idle,
d_main_15_02_14,d_main_15_02,Speech,rupee,rupee,Locale_MainScenario:d_main_15_02_14,True,,talentum_all,talentum_all,1.0,,,,,,,,,,,,,,,,,,,,,,,event,idle,
d_main_15_02_15,d_main_15_02,Speech,rupee,rupee,Locale_MainScenario:d_main_15_02_15,False,,talentum_all,talentum_all,1.0,,,,,,,,,,,,,,,,,,,,,,,event,idle,
d_main_15_02_16,d_main_15_02,Self,rupee,Self,Locale_MainScenario:d_main_15_02_16,False,CityForest_03_d,13,13,1.0,,,black,rapi,7,idle,neon,5,idle,anis,3,idle,rupee,1,idle,dolla,13,idle,yan,15,idle,,event,idle,talentum_event
d_main_15_02_17,d_main_15_02,Speech,dolla,dolla,Locale_MainScenario:d_main_15_02_17,True,,13,13,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,good,,15,idle,,,,
d_main_15_02_18,d_main_15_02,Speech,dolla,dolla,Locale_MainScenario:d_main_15_02_18,True,,13,13,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,good,,15,idle,,,,
d_main_15_02_19,d_main_15_02,Speech,dolla,dolla,Locale_MainScenario:d_main_15_02_19,True,,13,S_130,2.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,good,,15,idle,,,,
d_main_15_02_20,d_main_15_02,Speech,dolla,dolla,Locale_MainScenario:d_main_15_02_20,True,,S_130,S_130,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,good,,15,idle,,,,
d_main_15_02_21,d_main_15_02,Speech,yan,yan,Locale_MainScenario:d_main_15_02_21,True,,S_130,15,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,good,,15,idle,,,,
d_main_15_02_22,d_main_15_02,Speech,yan,yan,Locale_MainScenario:d_main_15_02_22,True,,15,15,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,
d_main_15_02_23,d_main_15_02,Speech,yan,yan,Locale_MainScenario:d_main_15_02_23,True,,15,15,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,,,
d_main_15_02_24,d_main_15_02,Speech,yan,yan,Locale_MainScenario:d_main_15_02_24,True,,15,S_150,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,delight,,,,
d_main_15_02_25,d_main_15_02,Speech,yan,yan,Locale_MainScenario:d_main_15_02_25,False,,S_150,S_150,1.0,,,,,7,idle,,5,idle,,3,idle,,1,idle,,13,idle,,15,"expression_0,delight",,,,
d_main_15_02_26,d_main_15_02,Speech,anis,anis,Locale_MainScenario:d_main_15_02_26,True,,30,30,1.0,,,,,7,idle,,5,idle,,3,no,,1,idle,,13,idle,,15,idle,,,,
