id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_main_15af_04_1,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_1,True,syuen,2,surprise,rian,12,idle,Office,2,XS_20,2.0,bgm_story_destinedtofight
d_main_15af_04_2,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_2,True,,2,surprise,,12,idle,,XS_20,XS_20,1.0,
d_main_15af_04_3,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_3,True,,2,think,,12,idle,,XS_20,XS_20,1.0,
d_main_15af_04_4,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_4,True,,2,idle,,12,idle,,XS_20,2,1.0,
d_main_15af_04_5,d_main_15af_04,Self,syuen,Self,Locale_MainScenario:d_main_15af_04_5,False,,2,idle,,12,idle,,2,2,1.0,
d_main_15af_04_6,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_6,True,,2,idle,,12,idle,,2,12,1.0,
d_main_15af_04_7,d_main_15af_04,Speech,rian,rian,Locale_MainScenario:d_main_15af_04_7,True,,2,idle,,12,idle,,12,12,1.0,
d_main_15af_04_8,d_main_15af_04,Speech,rian,rian,Locale_MainScenario:d_main_15af_04_8,True,,2,idle,,12,idle,,12,12,1.0,
d_main_15af_04_9,d_main_15af_04,Speech,rian,rian,Locale_MainScenario:d_main_15af_04_9,True,,2,idle,,12,idle,,12,S_120,1.0,
d_main_15af_04_10,d_main_15af_04,Self,syuen,Self,Locale_MainScenario:d_main_15af_04_10,False,,2,idle,,12,idle,,S_120,XS_20,1.0,
d_main_15af_04_11,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_11,True,,2,surprise,,12,idle,,XS_20,XS_20,1.0,
d_main_15af_04_12,d_main_15af_04,Self,syuen,Self,Locale_MainScenario:d_main_15af_04_12,False,,2,surprise,,12,idle,,XS_20,XS_20,1.0,
d_main_15af_04_13,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_13,True,,2,idle,,12,idle,,XS_20,XS_20,1.0,
d_main_15af_04_14,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_14,True,,2,idle,,12,idle,,XS_20,XS_20,1.0,
d_main_15af_04_15,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_15,True,,2,surprise,,12,idle,,XS_20,XS_20,1.0,
d_main_15af_04_16,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_16,True,,2,think,,12,idle,,XS_20,XS_20,1.0,
d_main_15af_04_17,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_17,True,,2,idle,,12,idle,,XS_20,XS_20,1.0,
d_main_15af_04_18,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_18,True,,2,think,,12,idle,,XS_20,XS_20,1.0,
d_main_15af_04_19,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_19,True,,2,delight,,12,idle,,XS_20,XS_20,1.0,
d_main_15af_04_20,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_20,True,,2,delight,,12,idle,,XS_20,XS_20,1.0,
d_main_15af_04_21,d_main_15af_04,Self,syuen,Self,Locale_MainScenario:d_main_15af_04_21,False,,2,delight,,12,idle,,XS_20,XS_20,1.0,
d_main_15af_04_22,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_22,True,,2,surprise,,12,idle,,XS_20,XS_20,1.0,
d_main_15af_04_23,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_23,True,,2,angry,,12,idle,,XS_20,XS_20,1.0,
d_main_15af_04_24,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_24,True,,2,delight,,12,idle,,XS_20,2,0.3,
d_main_15af_04_25,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_25,True,,2,idle,,12,idle,,2,2,1.0,
d_main_15af_04_26,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_26,True,,2,idle,,12,idle,,2,2,1.0,
d_main_15af_04_27,d_main_15af_04,Speech,syuen,syuen,Locale_MainScenario:d_main_15af_04_27,True,,2,idle,,12,idle,,2,2,1.0,
