id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,fade,set_filter_01,set_filter_02,play_movie
d_main_18_12_e_1,d_main_18_12_e,Speech,rapi,rapi,Locale_MainScenario:d_main_18_12_e_1,True,neon,7,idle,anis,5,sad,rapi,3,idle,maxwell,1,idle,drake,13,no,laplace,15,sad,GreatHole,30,30,1.0,bgm_inark,,,,,,,,,,,,
d_main_18_12_e_2,d_main_18_12_e,Speech,maxwell,maxwell,Locale_MainScenario:d_main_18_12_e_2,True,,7,idle,,5,sad,,3,idle,,1,delight,,13,no,,15,sad,,30,2,1.0,,,,,,,,,,,,,
d_main_18_12_e_3,d_main_18_12_e,Speech,anis,anis,Locale_MainScenario:d_main_18_12_e_3,True,,7,idle,,5,sad,,3,idle,,1,idle,,13,no,,15,sad,,2,6,1.0,,,,,,,,,,,,,
d_main_18_12_e_4,d_main_18_12_e,Speech,neon,neon,Locale_MainScenario:d_main_18_12_e_4,True,,7,delight,,5,sad,,3,idle,,1,idle,,13,no,,15,sad,,6,6,1.0,,,,,,,,,,,,,
d_main_18_12_e_5,d_main_18_12_e,Speech,laplace,laplace,Locale_MainScenario:d_main_18_12_e_5,False,,7,idle,,5,sad,,3,idle,,1,idle,,13,no,,15,sad,,S_150,S_150,1.0,,,,,,,,,,,,,
d_main_18_12_e_6,d_main_18_12_e,Self,laplace,,Locale_MainScenario:d_main_18_12_e_6,False,,7,idle,,5,idle,,3,idle,,1,idle,,13,no,,15,sad,,S_150,S_150,1.0,,,,,,,,,,,,,
d_main_18_12_e_7,d_main_18_12_e,Speech,laplace,laplace,Locale_MainScenario:d_main_18_12_e_7,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,no,,15,sad,,S_150,S_1500,2.0,,,,,,,,,,,,,
d_main_18_12_e_8,d_main_18_12_e,Speech,laplace,laplace,Locale_MainScenario:d_main_18_12_e_8,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,no,,15,sad,,S_1500,S_1500,1.0,,,,,,,,,,,,,
d_main_18_12_e_9,d_main_18_12_e,Speech,laplace,laplace,Locale_MainScenario:d_main_18_12_e_9,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,no,,15,sad,,S_1500,S_1500,1.0,,,,,,,,,,,,,
d_main_18_12_e_10,d_main_18_12_e,Speech,laplace,laplace,Locale_MainScenario:d_main_18_12_e_10,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,no,,15,sad,,S_1500,S_1500,1.0,,,,,,,,,,,,,
