id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim
d_main_19_05_1,d_main_19_05,Speech,neon,neon,Locale_MainScenario:d_main_19_05_1,True,neon,8,delight,papillon,6,idle,anis,4,idle,rapi,2,idle,Laboratory,8,8,1.0,bgm_peripeteia_a,,,,,,,,,,,,,,,,,,,
d_main_19_05_2,d_main_19_05,Speech,anis,anis,Locale_MainScenario:d_main_19_05_2,True,,8,delight,,6,idle,,4,delight,,2,idle,,8,4,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_3,d_main_19_05,Self,,Self,Locale_MainScenario:d_main_19_05_3,False,,8,delight,,6,idle,,4,delight,,2,idle,,4,4,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_4,d_main_19_05,Monologue,,Monologue,Locale_MainScenario:d_main_19_05_4,False,,8,idle,,6,idle,,4,idle,,2,idle,,black,black,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_5,d_main_19_05,Narration,,Narration,Locale_MainScenario:d_main_19_05_5,False,,8,idle,,6,idle,,4,idle,,2,idle,,black,black,1.0,,sfx_scn_autodooropen,,,,,,,,,,,,,,,,,,
d_main_19_05_6,d_main_19_05,Speech,neon,neon,Locale_MainScenario:d_main_19_05_6,False,,8,surprise,,6,idle,,4,idle,,2,idle,,S_80,S_80,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_7,d_main_19_05,Speech,neon,neon,Locale_MainScenario:d_main_19_05_7,True,,8,surprise,,6,idle,,4,idle,,2,idle,,S_80,S_80,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_8,d_main_19_05,Speech,neon,neon,Locale_MainScenario:d_main_19_05_8,True,,8,surprise,,6,idle,,4,idle,,2,idle,,S_80,S_80,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_9,d_main_19_05,Speech,neon,neon,Locale_MainScenario:d_main_19_05_9,True,,8,surprise,,6,idle,,4,idle,,2,idle,,S_80,S_80,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_10,d_main_19_05,Speech,papillon,papillon,Locale_MainScenario:d_main_19_05_10,True,,8,surprise,,6,think,,4,idle,,2,idle,,S_80,S_60,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_11,d_main_19_05,Speech,papillon,papillon,Locale_MainScenario:d_main_19_05_11,True,,8,idle,,6,think,,4,idle,,2,idle,,S_60,S_60,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_12,d_main_19_05,Speech,rapi,rapi,Locale_MainScenario:d_main_19_05_12,False,,8,idle,,6,think,,4,idle,,2,think,,20,20,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_13,d_main_19_05,Speech,neon,neon,Locale_MainScenario:d_main_19_05_13,False,,8,idle,,6,think,,4,idle,,2,think,,S_80,S_80,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_14,d_main_19_05,Speech,anis,anis,Locale_MainScenario:d_main_19_05_14,False,,8,idle,,6,think,,4,worry,,2,think,,40,40,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_15,d_main_19_05,Speech,anis,anis,Locale_MainScenario:d_main_19_05_15,True,,8,idle,,6,idle,,4,worry,,2,idle,,40,40,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_16,d_main_19_05,Speech,anis,anis,Locale_MainScenario:d_main_19_05_16,True,,8,idle,,6,idle,,4,worry,,2,idle,,40,40,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_17,d_main_19_05,Speech,rapi,rapi,Locale_MainScenario:d_main_19_05_17,True,,8,idle,,6,idle,,4,worry,,2,idle,,40,3,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_18,d_main_19_05,Speech,anis,anis,Locale_MainScenario:d_main_19_05_18,True,,8,idle,,6,idle,,4,void,,2,idle,,3,3,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_19,d_main_19_05,Speech,anis,anis,Locale_MainScenario:d_main_19_05_19,True,,8,idle,,6,idle,,4,void,,2,idle,,3,3,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_20,d_main_19_05,Speech,papillon,papillon,Locale_MainScenario:d_main_19_05_20,True,,8,idle,,6,angry,,4,void,,2,idle,,S_60,S_60,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_21,d_main_19_05,Narration,,Narration,Locale_MainScenario:d_main_19_05_21,False,,8,surprise,,6,surprise,,4,angry,,2,angry,,S_60,6,0.3,none,sfx_scn_featherhit,Low_2,,,,,,,,,,,,,,,,,
d_main_19_05_22,d_main_19_05,Monologue,,Monologue,Locale_MainScenario:d_main_19_05_22,False,,8,surprise,,6,surprise,,4,angry,,2,angry,,6,6,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_23,d_main_19_05,Monologue,,Monologue,Locale_MainScenario:d_main_19_05_23,False,,8,surprise,,6,surprise,,4,angry,,2,angry,,6,6,1.0,bgm_story_anotherway,,,,,,,,,,,,,,,,,,,
d_main_19_05_24,d_main_19_05,Speech,rapi,rapi,Locale_MainScenario:d_main_19_05_24,True,,8,surprise,,6,surprise,,4,angry,,2,angry,,2,20,0.3,,,,,,,,,,,,,,,,,,,,
d_main_19_05_25,d_main_19_05,Speech,anis,anis,Locale_MainScenario:d_main_19_05_25,True,,8,surprise,,6,surprise,,4,angry,,2,angry,,20,40,0.3,,,,,,,,,,,,,,,,,,,,
d_main_19_05_26,d_main_19_05,Speech,unknown,unknown,Locale_MainScenario:d_main_19_05_26,True,,8,surprise,,6,surprise,,4,angry,,2,angry,EventScene_Chap_19_01,inherit_01,inherit_01,1.0,,,,neon,papillon,anis,rapi,black,,,,,,,,,,,,
d_main_19_05_27,d_main_19_05,Narration,,Narration,Locale_MainScenario:d_main_19_05_27,False,,,,,,,,,,,,,,inherit_01,inherit_02,1.5,,c231_sk2_wing,,,,,,,,,,,,,,,,,,
d_main_19_05_28,d_main_19_05,Self,,Self,Locale_MainScenario:d_main_19_05_28,False,,,,,,,,,,,,,,inherit_02,inherit_02,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_29,d_main_19_05,Speech,isabel,isabel,Locale_MainScenario:d_main_19_05_29,True,,,,,,,,,,,,,,inherit_02,inherit_02,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_30,d_main_19_05,Speech,unknown,unknown,Locale_MainScenario:d_main_19_05_30,True,,,,,,,,,,,,,,inherit_02,inherit_03,2.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_31,d_main_19_05,Speech,harran,harran,Locale_MainScenario:d_main_19_05_31,True,,,,,,,,,,,,,,inherit_03,inherit_03,1.0,,,,,,,,,,,,,,,,,,,,
d_main_19_05_32,d_main_19_05,Narration,,Narration,Locale_MainScenario:d_main_19_05_32,False,,,,,,,,,,,,,,inherit_03,inherit_03,1.0,,sfx_scn_crowflock,,,,,,,,,,,,,,,,,,
d_main_19_05_33,d_main_19_05,Speech,unknown,unknown,Locale_MainScenario:d_main_19_05_33,True,,,,,,,,,,,,,,inherit_03,inherit_04,2.5,,,,,,,,,,,,,,,,,,,,
d_main_19_05_34,d_main_19_05,Speech,noah,noah,Locale_MainScenario:d_main_19_05_34,True,,,,,,,,,,,,,,inherit_04,inherit_04,1.0,,,,,,,,,,,,,,,,,,,,
