id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/1/play_effect_id,effects/1/set_effect_position,characters/6/hide_char_id,effects/0/stop_effect_id,effects/1/stop_effect_id
d_main_22_12_s_1,d_main_22_12_s,Speech,enikk,enikk,Locale_MainScenario:d_main_22_12_s_1,True,enikk,1,special,rapi,3,idle,neon,5,idle,poli,7,idle,miranda,9,shy,anis,13,void,EnikkRoom,10,10,1.0,bgm_story_enikksroom,,,,,,,,,,,,,,,,
d_main_22_12_s_2,d_main_22_12_s,Speech,poli,poli,Locale_MainScenario:d_main_22_12_s_2,True,,1,special,,3,idle,,5,idle,,7,idle,,9,shy,,13,void,,XS_70,XS_70,1.0,,,,,,,,,,,,,,,,,
d_main_22_12_s_3,d_main_22_12_s,Speech,miranda,miranda,Locale_MainScenario:d_main_22_12_s_3,True,,1,special,,3,idle,,5,idle,,7,idle,,9,shy,,13,void,,XS_70,97,2.0,,,,,,,,,,,,,,,,,
d_main_22_12_s_4,d_main_22_12_s,Speech,poli,poli,Locale_MainScenario:d_main_22_12_s_4,True,,1,special,,3,idle,,5,idle,,7,angry,,9,shy,,13,void,,97,97,1.0,,,,,,,,,,,,,,,,,
d_main_22_12_s_5,d_main_22_12_s,Speech,miranda,miranda,Locale_MainScenario:d_main_22_12_s_5,True,,1,special,,3,idle,,5,idle,,7,angry,,9,shy,,13,void,,97,S_90,1.0,,,,,,,,,,,,,,,,,
d_main_22_12_s_6,d_main_22_12_s,Speech,enikk,enikk,Locale_MainScenario:d_main_22_12_s_6,True,,1,special,,3,idle,,5,idle,,7,angry,,9,shy,,13,void,,S_90,S_90,1.0,,,,,,,,,,,,,,,,,
d_main_22_12_s_7,d_main_22_12_s,Speech,miranda,miranda,Locale_MainScenario:d_main_22_12_s_7,True,,1,special,,3,idle,,5,idle,,7,angry,,9,idle,,13,void,,S_90,S_90,1.0,,,,,,,,,,,,,,,,,
d_main_22_12_s_8,d_main_22_12_s,Self,,,Locale_MainScenario:d_main_22_12_s_8,False,,1,special,,3,idle,,5,idle,,7,angry,,9,idle,,13,void,,10,10,1.0,,,,,,,,,,,,,,,,,
d_main_22_12_s_9,d_main_22_12_s,Speech,enikk,enikk,Locale_MainScenario:d_main_22_12_s_9,True,,1,special,,3,idle,,5,idle,,7,idle,,9,idle,,13,void,,10,10,1.0,,,,,,,,,,,,,,,,,
d_main_22_12_s_10,d_main_22_12_s,Speech,enikk,enikk,Locale_MainScenario:d_main_22_12_s_10,True,,1,special,,3,idle,,5,idle,,7,idle,,9,idle,,13,void,,10,10,1.0,,,,,,,,,,,,,,,,,
