id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,conversation_id,play_sound,set_camera_shake
d_main_23_05_e_1,d_main_23_05_e,Monologue,Locale_MainScenario:d_main_23_05_e_1,False,viper,13,idle,rapi,2,idle,Drain,13,13,1.0,bgm_greyhaze_b,,,,,
d_main_23_05_e_2,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_2,True,,13,idle,,2,idle,,13,130,1.0,,viper,viper,,,
d_main_23_05_e_3,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_3,True,,13,idle,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_4,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_4,True,,13,idle,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_5,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_5,True,,13,idle,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_6,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_6,True,,13,idle,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_7,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_7,True,,13,idle,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_8,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_8,True,,13,idle,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_9,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_9,True,,13,idle,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_10,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_10,True,,13,good,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_11,d_main_23_05_e,Monologue,Locale_MainScenario:d_main_23_05_e_11,False,,13,good,,2,idle,,130,2,1.0,,,,,,
d_main_23_05_e_12,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_12,False,,13,good,,2,idle,,2,2,1.0,,rapi,rapi,,,
d_main_23_05_e_13,d_main_23_05_e,Monologue,Locale_MainScenario:d_main_23_05_e_13,False,,13,good,,2,idle,,2,2,1.0,,,,,,
d_main_23_05_e_14,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_14,False,,13,good,,2,idle,,2,2,1.0,,rapi,rapi,,,
d_main_23_05_e_15,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_15,True,,13,good,,2,idle,,2,130,1.0,,viper,viper,,,
d_main_23_05_e_16,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_16,True,,13,idle,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_17,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_17,True,,13,idle,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_18,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_18,True,,13,idle,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_19,d_main_23_05_e,Self,Locale_MainScenario:d_main_23_05_e_19,False,,13,idle,,2,idle,,130,130,1.0,,Self,Self,,,
d_main_23_05_e_20,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_20,True,,13,delight,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_21,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_21,True,,13,idle,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_22,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_22,True,,13,idle,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_23,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_23,False,,13,shy,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_24,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_24,True,,13,shy,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_25,d_main_23_05_e,Self,Locale_MainScenario:d_main_23_05_e_25,False,,13,shy,,2,idle,,130,130,1.0,,Self,Self,,,
d_main_23_05_e_26,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_26,True,,13,shy,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_27,d_main_23_05_e,Self,Locale_MainScenario:d_main_23_05_e_27,False,,13,shy,,2,idle,,130,130,1.0,,Self,Self,,,
d_main_23_05_e_28,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_28,True,,13,good,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_29,d_main_23_05_e,Self,Locale_MainScenario:d_main_23_05_e_29,False,,13,good,,2,idle,,130,130,1.0,,Self,Self,,,
d_main_23_05_e_30,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_30,False,,13,good,,2,idle,,130,13,1.0,,viper,viper,,,
d_main_23_05_e_31,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_31,True,,13,good,,2,idle,,13,13,1.0,,viper,viper,,,
d_main_23_05_e_32,d_main_23_05_e,Self,Locale_MainScenario:d_main_23_05_e_32,False,,13,good,,2,idle,,13,13,1.0,,Self,Self,,,
d_main_23_05_e_33,d_main_23_05_e,Self,Locale_MainScenario:d_main_23_05_e_33,False,,13,good,,2,idle,,13,13,1.0,,Self,Self,,,
d_main_23_05_e_34,d_main_23_05_e,Self,Locale_MainScenario:d_main_23_05_e_34,False,,13,good,,2,idle,,13,13,1.0,,Self,Self,,,
d_main_23_05_e_35,d_main_23_05_e,Self,Locale_MainScenario:d_main_23_05_e_35,False,,13,good,,2,idle,,13,13,1.0,,Self,Self,,,
d_main_23_05_e_36,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_36,False,,13,good,,2,idle,,13,130,1.0,,viper,viper,,,
d_main_23_05_e_37,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_37,True,,13,delight,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_38,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_38,True,,13,delight,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_39,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_39,True,,13,delight,,2,idle,,130,130,1.0,,viper,viper,,,
d_main_23_05_e_40,d_main_23_05_e,Self,Locale_MainScenario:d_main_23_05_e_40,False,,13,delight,,2,idle,,130,130,1.0,,Self,Self,,,
d_main_23_05_e_41,d_main_23_05_e,Self,Locale_MainScenario:d_main_23_05_e_41,False,,13,delight,,2,idle,,130,130,1.0,,Self,Self,,,
d_main_23_05_e_42,d_main_23_05_e,Speech,Locale_MainScenario:d_main_23_05_e_42,True,,13,good,,2,idle,,130,130,1.0,,viper,viper,,,
