id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_23_10_s_1,d_main_23_10_s,Monologue,Locale_MainScenario:d_main_23_10_s_1,False,ArkRuinIndoor,14,14,1.0,bgm_story_darklord,,,,crow,13,idle,,viper,15,idle,,guillotine,5,idle,,maiden,3,idle,,jackal,17,idle,
d_main_23_10_s_2,d_main_23_10_s,Monologue,Locale_MainScenario:d_main_23_10_s_2,False,,14,14,1.0,,,,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_3,d_main_23_10_s,Self,Locale_MainScenario:d_main_23_10_s_3,False,,14,14,1.0,,,,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_4,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_4,True,,14,4,1.0,,maiden,maiden,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_5,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_5,True,,4,XS_50,1.0,,guillotine,guillotine,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_6,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_6,True,,XS_50,XS_50,1.0,,guillotine,guillotine,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_7,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_7,True,,XS_50,XS_50,1.0,,guillotine,guillotine,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_8,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_8,True,,XS_50,XS_50,1.0,,guillotine,guillotine,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_9,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_9,True,,XS_50,XS_50,1.0,,guillotine,guillotine,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_10,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_10,True,,XS_50,4,1.0,,maiden,maiden,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_11,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_11,True,,4,4,1.0,,guillotine,guillotine,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_12,d_main_23_10_s,Monologue,Locale_MainScenario:d_main_23_10_s_12,False,,black,black,1.0,,,,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_13,d_main_23_10_s,Monologue,Locale_MainScenario:d_main_23_10_s_13,False,,black,black,1.0,,,,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_14,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_14,True,,S_30,S_30,1.0,,maiden,maiden,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_15,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_15,True,,S_30,S_30,1.0,,maiden,maiden,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_16,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_16,True,,S_30,S_30,1.0,,maiden,maiden,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_17,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_17,True,,S_30,S_30,1.0,,maiden,maiden,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_18,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_18,True,,S_30,S_30,1.0,,maiden,maiden,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_19,d_main_23_10_s,Self,Locale_MainScenario:d_main_23_10_s_19,False,,S_30,S_30,1.0,,,,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_20,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_20,True,,S_30,4,1.0,,maiden,maiden,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_21,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_21,True,,4,4,1.0,,guillotine,guillotine,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_22,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_22,True,,4,17,1.0,none,jackal,jackal,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,idle,
d_main_23_10_s_23,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_23,True,,17,17,1.0,,jackal,jackal,,,13,idle,,,15,idle,,,5,idle,,,3,idle,,,17,crazy,
d_main_23_10_s_24,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_24,False,,S_30,S_30,1.0,bgm_emergency,maiden,maiden,,,13,idle,,,15,idle,,,5,idle,,,3,angry,,,17,crazy,
d_main_23_10_s_25,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_25,False,,XS_50,XS_50,1.0,,guillotine,guillotine,,,13,idle,,,15,idle,,,5,angry,,,3,angry,,,17,crazy,
d_main_23_10_s_26,d_main_23_10_s,Narration,Locale_MainScenario:d_main_23_10_s_26,False,,black,black,1.0,,,,,,13,idle,,,15,idle,,,5,angry,,,7,angry,,,1,crazy,
d_main_23_10_s_27,d_main_23_10_s,Monologue,Locale_MainScenario:d_main_23_10_s_27,False,,black,black,1.0,,,,,,13,idle,,,15,idle,,,5,angry,,,7,angry,,,1,crazy,
d_main_23_10_s_28,d_main_23_10_s,Monologue,Locale_MainScenario:d_main_23_10_s_28,False,,black,black,1.0,,,,,,13,idle,,,15,idle,,,5,angry,,,7,angry,,,1,crazy,
d_main_23_10_s_29,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_29,True,,7,6,1.0,,maiden,maiden,,,13,idle,,,15,idle,,,5,angry,,,7,angry,,,1,crazy,
d_main_23_10_s_30,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_30,True,,6,6,1.0,,guillotine,guillotine,,,13,idle,,,15,idle,,,5,angry,,,7,angry,,,1,crazy,
d_main_23_10_s_31,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_31,True,,6,6,1.0,,maiden,maiden,,,13,idle,,,15,idle,,,5,angry,,,7,angry,,,1,crazy,
d_main_23_10_s_32,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_32,True,,S_10,S_10,1.0,,jackal,jackal,,,13,idle,,,15,idle,,,5,angry,,,7,angry,,,1,crazy,
d_main_23_10_s_33,d_main_23_10_s,Self,Locale_MainScenario:d_main_23_10_s_33,False,,S_10,S_10,1.0,,,,,,13,idle,,,15,idle,,,5,angry,,,7,angry,,,1,crazy,
d_main_23_10_s_34,d_main_23_10_s,Monologue,Locale_MainScenario:d_main_23_10_s_34,False,,black,black,1.0,,,,,,13,idle,,,15,idle,,,5,angry,,,7,angry,,,1,crazy,
d_main_23_10_s_35,d_main_23_10_s,Narration,Locale_MainScenario:d_main_23_10_s_35,False,,black,black,1.0,,,,,,13,idle,,,15,idle,,,5,angry,,,7,angry,,,1,crazy,
d_main_23_10_s_36,d_main_23_10_s,Monologue,Locale_MainScenario:d_main_23_10_s_36,False,,black,black,1.0,,,,,,13,idle,,,15,idle,,,5,angry,,,7,angry,,,1,crazy,
d_main_23_10_s_37,d_main_23_10_s,Monologue,Locale_MainScenario:d_main_23_10_s_37,False,,black,black,1.0,,,,,,13,idle,,,15,idle,,,5,angry,,,7,angry,,,1,crazy,
d_main_23_10_s_38,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_38,False,,6,6,1.0,,maiden,maiden,Low_2,,13,idle,,,15,idle,,,5,angry,,,7,angry,,,1,crazy,
d_main_23_10_s_39,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_39,True,,6,6,1.0,,guillotine,guillotine,,,13,idle,,,15,idle,,,5,angry,,,7,angry,,,1,crazy,
d_main_23_10_s_40,d_main_23_10_s,Monologue,Locale_MainScenario:d_main_23_10_s_40,False,,6,6,1.0,,,,,,13,idle,,,15,idle,,,5,angry,,,7,angry,,,1,crazy,
d_main_23_10_s_41,d_main_23_10_s,Monologue,Locale_MainScenario:d_main_23_10_s_41,False,,6,14,1.0,,,,,,13,idle,,,15,idle,,,5,angry,,,7,angry,maiden,,1,crazy,
d_main_23_10_s_42,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_42,False,,14,14,1.0,,crow,crow,,,13,idle,,,15,angry,,,5,angry,,,,,,,1,crazy,
d_main_23_10_s_43,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_43,True,,14,14,1.0,,viper,viper,,,13,idle,,,15,angry,,,5,angry,,,,,,,1,crazy,
d_main_23_10_s_44,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_44,True,,14,14,1.0,,crow,crow,,,13,angry,,,15,angry,,,5,angry,,,,,,,1,crazy,
d_main_23_10_s_45,d_main_23_10_s,Speech,Locale_MainScenario:d_main_23_10_s_45,True,,14,12,1.0,,jackal,jackal,,,13,angry,,,15,angry,,,5,angry,,,,,,,1,crazy,
