id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,play_sound,characters/3/hide_char_id,characters/4/hide_char_id,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,set_camera_shake,characters/0/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id,characters/1/hide_char_id,set_filter_01,set_filter_02,characters/8/hide_char_id
d_main_32_05_1,d_main_32_05,Speech,rapi,rapi,Locale_MainScenario:d_main_32_05_1,True,rapi,7,idle,grave,5,idle,CrystalCity,75,75,1.0,bgm_chapter32_field_advance_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_32_05_2,d_main_32_05,Speech,grave,grave,Locale_MainScenario:d_main_32_05_2,True,,7,idle,,5,idle,,75,75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_32_05_3,d_main_32_05,Speech,rapi,rapi,Locale_MainScenario:d_main_32_05_3,True,,7,idle,,5,idle,,75,75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_32_05_4,d_main_32_05,Speech,rapi,rapi,Locale_MainScenario:d_main_32_05_4,True,,7,idle,,5,idle,,75,75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_32_05_5,d_main_32_05,Speech,rapi,rapi,Locale_MainScenario:d_main_32_05_5,True,,7,idle,,5,idle,,75,75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_32_05_6,d_main_32_05,Speech,grave,grave,Locale_MainScenario:d_main_32_05_6,True,,7,idle,,5,idle,,75,75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_32_05_7,d_main_32_05,Speech,rapi,rapi,Locale_MainScenario:d_main_32_05_7,True,,7,idle,,5,idle,,75,75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_32_05_8,d_main_32_05,Speech,grave,grave,Locale_MainScenario:d_main_32_05_8,True,,7,idle,,5,idle,,75,75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_32_05_9,d_main_32_05,Self,grave,,Locale_MainScenario:d_main_32_05_9,False,,7,idle,,5,idle,,75,75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_main_32_05_10,d_main_32_05,Speech,grave,grave,Locale_MainScenario:d_main_32_05_10,True,,7,idle,,5,idle,,75,75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
