id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker
d_main_34_af_02_1,d_main_34_af_02,Narration,eunhwa_t,Locale_MainScenario:d_main_34_af_02_1,False,emma_t,7,idle,vesti_t,5,idle,eunhwa_t,3,idle,rapi_red,1,worry,anis,13,void,neon,15,idle,Elevator,2,2,1.0,bgm_inark,
d_main_34_af_02_2,d_main_34_af_02,Speech,eunhwa_t,Locale_MainScenario:d_main_34_af_02_2,False,,7,idle,,5,idle,,3,idle,,1,worry,,13,void,,15,idle,,2,2,1.0,,eunhwa_t
d_main_34_af_02_3,d_main_34_af_02,Speech,rapi_red,Locale_MainScenario:d_main_34_af_02_3,False,,7,idle,,5,idle,,3,idle,,1,worry,,13,void,,15,idle,,2,2,1.0,,rapi_red
d_main_34_af_02_4,d_main_34_af_02,Speech,eunhwa_t,Locale_MainScenario:d_main_34_af_02_4,True,,7,idle,,5,idle,,3,idle,,1,worry,,13,void,,15,idle,,2,2,1.0,,eunhwa_t
d_main_34_af_02_5,d_main_34_af_02,Speech,rapi_red,Locale_MainScenario:d_main_34_af_02_5,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,void,,15,idle,,2,10,1.0,,rapi_red
d_main_34_af_02_6,d_main_34_af_02,Speech,eunhwa_t,Locale_MainScenario:d_main_34_af_02_6,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,void,,15,idle,,10,30,1.0,,eunhwa_t
d_main_34_af_02_7,d_main_34_af_02,Speech,vesti_t,Locale_MainScenario:d_main_34_af_02_7,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,void,,15,idle,,30,XS_50,1.0,,vesti_t
d_main_34_af_02_8,d_main_34_af_02,Speech,vesti_t,Locale_MainScenario:d_main_34_af_02_8,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,void,,15,idle,,XS_50,XS_50,1.0,,vesti_t
d_main_34_af_02_9,d_main_34_af_02,Speech,rapi_red,Locale_MainScenario:d_main_34_af_02_9,True,,7,idle,,5,idle,,3,idle,,1,idle,,13,void,,15,idle,,10,10,1.0,,rapi_red
d_main_34_af_02_10,d_main_34_af_02,Speech,vesti_t,Locale_MainScenario:d_main_34_af_02_10,True,,7,idle,,5,shy,,3,idle,,1,idle,,13,void,,15,idle,,XS_50,XS_50,1.0,,vesti_t
d_main_34_af_02_11,d_main_34_af_02,Speech,vesti_t,Locale_MainScenario:d_main_34_af_02_11,True,,7,idle,,5,shy,,3,idle,,1,idle,,13,void,,15,idle,,XS_50,XS_50,1.0,,vesti_t
d_main_34_af_02_12,d_main_34_af_02,Speech,rapi_red,Locale_MainScenario:d_main_34_af_02_12,False,,7,idle,,5,shy,,3,idle,,1,idle,,13,void,,15,idle,,10,10,1.0,,rapi_red
d_main_34_af_02_13,d_main_34_af_02,Speech,rapi_red,Locale_MainScenario:d_main_34_af_02_13,True,,7,idle,,5,shy,,3,idle,,1,special,,13,void,,15,idle,,10,10,1.0,,rapi_red
d_main_34_af_02_14,d_main_34_af_02,Speech,vesti_t,Locale_MainScenario:d_main_34_af_02_14,True,,7,idle,,5,delight,,3,idle,,1,special,,13,void,,15,idle,,XS_50,XS_50,1.0,,vesti_t
d_main_34_af_02_15,d_main_34_af_02,Speech,vesti_t,Locale_MainScenario:d_main_34_af_02_15,True,,7,idle,,5,shy,,3,idle,,1,special,,13,void,,15,idle,,XS_50,XS_50,1.0,,vesti_t
d_main_34_af_02_16,d_main_34_af_02,Speech,vesti_t,Locale_MainScenario:d_main_34_af_02_16,True,,7,idle,,5,shy,,3,idle,,1,special,,13,void,,15,idle,,XS_50,XS_500,1.0,,vesti_t
d_main_34_af_02_17,d_main_34_af_02,Speech,vesti_t,Locale_MainScenario:d_main_34_af_02_17,True,,7,idle,,5,shy,,3,idle,,1,special,,13,void,,15,idle,,XS_500,XS_500,1.0,,vesti_t
