id,group_id,title_localkey,speech_window,highlight,speaker,scenario_localkey,play_lipsync,set_background,set_light,conversation_id,set_image,set_object,set_object_position,set_start_camera,set_end_camera,set_camera_duration,play_movie,play_sound,play_ambient,ambient_volume,play_bgm,set_camera_shake,set_filter_01,set_filter_02,jump_target,fade,is_exit_scenario,characters/0/show_char_id,characters/0/hide_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/hide_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/hide_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/hide_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/hide_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/hide_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/hide_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/hide_char_id,characters/8/set_char_position,characters/8/set_char_anim,characters/9/show_char_id,characters/9/hide_char_id,characters/9/set_char_position,characters/9/set_char_anim,effects/0/play_effect_id,effects/0/stop_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/1/play_effect_id,effects/1/stop_effect_id,effects/1/set_effect_position,effects/1/is_effect_movable
d_main_36_09_s_1,d_main_36_09_s,,Narration,leviathan,,Locale_MainScenario:d_main_36_09_s_1,False,Jungle2,,,,,,4,4,0,,,,100,bgm_chapter36_field_deals_b,,None,None,,None,False,rapi_red,,5,idle,leviathan,,3,idle,drake,,1,idle,laplace,,13,idle,maxwell,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_2,d_main_36_09_s,,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_09_s_2,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_3,d_main_36_09_s,,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_36_09_s_3,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_4,d_main_36_09_s,,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_09_s_4,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_5,d_main_36_09_s,,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_09_s_5,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_6,d_main_36_09_s,,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_09_s_6,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_7,d_main_36_09_s,,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_09_s_7,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_8,d_main_36_09_s,,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_36_09_s_8,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,idle,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_9,d_main_36_09_s,,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_09_s_9,True,,,,,,,4,4,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,no,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_10,d_main_36_09_s,,Monologue,leviathan,,Locale_MainScenario:d_main_36_09_s_10,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,no,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_11,d_main_36_09_s,,Monologue,leviathan,,Locale_MainScenario:d_main_36_09_s_11,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,think_01,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_12,d_main_36_09_s,,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_s_12,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,think_01,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_13,d_main_36_09_s,,Speech,drake,drake,Locale_MainScenario:d_main_36_09_s_13,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,think_01,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_14,d_main_36_09_s,,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_s_14,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,think_01,,,1,idle,,,13,angry,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_15,d_main_36_09_s,,Speech,drake,drake,Locale_MainScenario:d_main_36_09_s_15,True,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,think_01,,,1,idle,,,13,angry,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_16,d_main_36_09_s,,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_09_s_16,True,,,,,,,12,150,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,think_01,,,1,idle,,,13,angry,,,15,sad,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_17,d_main_36_09_s,,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_09_s_17,True,,,,,,,150,150,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,think_01,,,1,idle,,,13,angry,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_18,d_main_36_09_s,,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_09_s_18,True,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,think_01,,,1,idle,,,13,angry,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_19,d_main_36_09_s,,Monologue,leviathan,,Locale_MainScenario:d_main_36_09_s_19,False,,,,,,,S_30,S_300,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,think_01,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_20,d_main_36_09_s,,Monologue,leviathan,,Locale_MainScenario:d_main_36_09_s_20,False,,,,,,,black,black,0,,sfx_scn_mutatesuction,,100,,,None,None,,None,False,,,5,idle,,,3,think_01,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_21,d_main_36_09_s,,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_09_s_21,True,,,,,,,S_300,S_30,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,smile,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_22,d_main_36_09_s,,Monologue,leviathan,,Locale_MainScenario:d_main_36_09_s_22,False,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,smile,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_23,d_main_36_09_s,,Monologue,leviathan,,Locale_MainScenario:d_main_36_09_s_23,False,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,smile,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_24,d_main_36_09_s,,Monologue,leviathan,,Locale_MainScenario:d_main_36_09_s_24,False,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,smile,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_25,d_main_36_09_s,,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_09_s_25,True,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,smile,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_26,d_main_36_09_s,,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_09_s_26,True,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,smile,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_27,d_main_36_09_s,,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_09_s_27,True,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,,,5,idle,,,3,smile,,,1,idle,,,13,idle,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_28,d_main_36_09_s,,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_s_28,False,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,smile,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_29,d_main_36_09_s,,Speech,drake,drake,Locale_MainScenario:d_main_36_09_s_29,False,,,,,,,12,12,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,smile,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_30,d_main_36_09_s,,Speech,maxwell,maxwell,Locale_MainScenario:d_main_36_09_s_30,False,,,,,,,12,14,-858993459,,,,100,,,None,None,,None,False,,,5,delight,,,3,smile,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_31,d_main_36_09_s,,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_36_09_s_31,False,,,,,,,50,50,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,smile,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_32,d_main_36_09_s,,Monologue,rapi_red,,Locale_MainScenario:d_main_36_09_s_32,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,smile,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_33,d_main_36_09_s,,Monologue,rapi_red,,Locale_MainScenario:d_main_36_09_s_33,False,,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,smile,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_34,d_main_36_09_s,,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_09_s_34,True,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,smile,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_35,d_main_36_09_s,,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_09_s_35,False,,,,,,,S_30,S_30,0,,,,100,,,None,None,,None,False,,,5,delight,,,3,smile,,,1,idle,,,13,delight,,,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_36,d_main_36_09_s,,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_09_s_36,True,EventScene_Chap_36_03_01,,,,,,black,black,0,,,,100,none,,None,None,,None,False,,rapi_red,5,delight,,leviathan,3,smile,,drake,1,idle,,laplace,13,delight,,maxwell,15,idle,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_37,d_main_36_09_s,,Narration,leviathan,,Locale_MainScenario:d_main_36_09_s_37,False,,,,,,,d_main_36_09_s_37,1,1717986918,,sfx_scn_mutateimpact,,100,bgm_disaster,Low_2,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_38,d_main_36_09_s,,Monologue,leviathan,,Locale_MainScenario:d_main_36_09_s_38,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_39,d_main_36_09_s,,Monologue,leviathan,,Locale_MainScenario:d_main_36_09_s_39,False,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_40,d_main_36_09_s,,Speech,laplace,laplace,Locale_MainScenario:d_main_36_09_s_40,True,,,,,,,1,1,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
d_main_36_09_s_41,d_main_36_09_s,,Speech,leviathan,leviathan,Locale_MainScenario:d_main_36_09_s_41,True,EventScene_Chap_36_03_02,,,,,,black,black,0,,,,100,,,None,None,,None,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,False
