id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,play_sound,characters/0/hide_char_id,characters/1/hide_char_id
d_main_37_01_1,d_main_37_01,Narration,Locale_MainScenario:d_main_37_01_1,False,CountryVillage_d,2,2,1.0,bgm_story_beforethenextstep,,,,,,,,,,,,,,,,,
d_main_37_01_2,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_2,True,,2,2,1.0,,maxwell,maxwell,drake,5,angry,laplace,3,sad,maxwell,1,idle_02,rapi_red,13,idle,,,
d_main_37_01_3,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_3,True,,2,2,1.0,,maxwell,maxwell,,5,angry,,3,sad,,1,idle_02,,13,idle,,,
d_main_37_01_4,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_4,True,,2,2,1.0,,maxwell,maxwell,,5,angry,,3,sad,,1,idle_02,,13,idle,,,
d_main_37_01_5,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_5,True,,2,2,1.0,,laplace,laplace,,5,angry,,3,sad,,1,idle_02,,13,idle,,,
d_main_37_01_6,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_6,True,,2,2,1.0,,maxwell,maxwell,,5,angry,,3,sad,,1,idle_02,,13,idle,,,
d_main_37_01_7,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_7,True,,2,2,1.0,,maxwell,maxwell,,5,angry,,3,sad,,1,idle_02,,13,idle,,,
d_main_37_01_8,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_8,True,,2,2,1.0,,laplace,laplace,,5,angry,,3,idle,,1,idle_02,,13,idle,,,
d_main_37_01_9,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_9,True,,2,2,1.0,,laplace,laplace,,5,angry,,3,think,,1,idle_02,,13,idle,,,
d_main_37_01_10,d_main_37_01,Speech,Locale_MainScenario:d_main_37_01_10,True,,2,4,0.7,bgm_story_whosdumber,drake,drake,,5,angry,,3,think,,1,idle_02,,13,idle,,,
