id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_main_39_af_08_1,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_1,True,CommanderRoom_n,L_130,L_130,1.0,bgm_inark,anis,1,pain,avistar,13,no
d_main_39_af_08_2,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_2,True,,L_130,113,1.0,,,1,pain,,13,no
d_main_39_af_08_3,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_3,True,,113,113,1.0,,,1,pain,,13,no
d_main_39_af_08_4,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_4,False,,113,113,1.0,,,1,pain,,13,no
d_main_39_af_08_5,d_main_39_af_08,Narration,anis,,Locale_MainScenario:d_main_39_af_08_5,False,,113,113,1.0,,,1,pain,,13,no
d_main_39_af_08_6,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_6,True,,113,113,1.0,,,1,idle,,13,no
d_main_39_af_08_7,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_7,True,,113,113,1.0,,,1,idle,,13,no
d_main_39_af_08_8,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_8,True,,113,113,1.0,,,1,idle,,13,no
d_main_39_af_08_9,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_9,True,,113,113,1.0,,,1,worry,,13,no
d_main_39_af_08_10,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_10,True,,113,113,1.0,,,1,worry,,13,no
d_main_39_af_08_11,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_11,False,,113,113,1.0,,,1,worry,,13,no
d_main_39_af_08_12,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_12,True,,113,113,1.0,,,1,worry,,13,no
d_main_39_af_08_13,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_13,True,,113,113,1.0,,,1,worry,,13,no
d_main_39_af_08_14,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_14,True,,113,113,1.0,,,1,worry,,13,no
d_main_39_af_08_15,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_15,True,,113,113,1.0,,,1,worry,,13,no
d_main_39_af_08_16,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_16,True,,113,113,1.0,,,1,worry,,13,no
d_main_39_af_08_17,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_17,True,,113,113,1.0,,,1,worry,,13,no
d_main_39_af_08_18,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_18,True,,113,113,1.0,,,1,worry,,13,no
d_main_39_af_08_19,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_19,True,,113,113,1.0,,,1,worry,,13,no
d_main_39_af_08_20,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_20,True,,113,113,1.0,,,1,worry,,13,no
d_main_39_af_08_21,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_21,False,,113,13,1.0,,,1,worry,,13,no
d_main_39_af_08_22,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_22,True,,13,L_130,1.0,,,1,worry,,13,no
d_main_39_af_08_23,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_23,True,,L_130,L_130,1.0,,,1,worry,,13,no
d_main_39_af_08_24,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_24,False,,L_130,10,1.0,,,1,pain,,13,no
d_main_39_af_08_25,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_25,True,,10,10,1.0,,,1,pain,,13,no
d_main_39_af_08_26,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_26,True,,10,10,1.0,,,1,pain,,13,no
d_main_39_af_08_27,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_27,True,,10,113,1.0,,,1,pain,,13,no
d_main_39_af_08_28,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_28,False,,113,113,1.0,,,1,pain,,13,no
d_main_39_af_08_29,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_29,True,,113,113,1.0,,,1,pain,,13,no
d_main_39_af_08_30,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_30,True,,113,113,1.0,,,1,angry,,13,no
d_main_39_af_08_31,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_31,True,,113,113,1.0,,,1,angry,,13,no
d_main_39_af_08_32,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_32,True,,113,113,1.0,,,1,angry,,13,no
d_main_39_af_08_33,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_33,True,,113,113,1.0,,,1,angry,,13,no
d_main_39_af_08_34,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_34,False,,113,13,1.0,,,1,angry,,13,no
d_main_39_af_08_35,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_35,True,,13,L_130,1.0,,,1,angry,,13,no
d_main_39_af_08_36,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_36,True,,L_130,L_130,1.0,,,1,angry,,13,no
d_main_39_af_08_37,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_37,True,,L_130,L_130,1.0,,,1,angry,,13,no
d_main_39_af_08_38,d_main_39_af_08,Speech,avistar,anis,Locale_MainScenario:d_main_39_af_08_38,False,,L_130,L_130,1.0,,,1,angry,,13,no
d_main_39_af_08_39,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_39,True,,L_130,L_130,1.0,,,1,angry,,13,no
d_main_39_af_08_40,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_40,True,,L_130,L_130,1.0,,,1,angry,,13,no
d_main_39_af_08_41,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_41,True,,L_130,L_130,1.0,,,1,angry,,13,no
d_main_39_af_08_42,d_main_39_af_08,Speech,avistar,anis,Locale_MainScenario:d_main_39_af_08_42,False,,L_130,L_130,1.0,,,1,angry,,13,no
d_main_39_af_08_43,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_43,True,,L_130,L_1300,1.0,,,1,angry,,13,no
d_main_39_af_08_44,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_44,True,,L_1300,L_1300,1.0,,,1,angry,,13,no
d_main_39_af_08_45,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_45,True,,100,100,1.0,,,1,angry,,13,no
d_main_39_af_08_46,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_46,True,,L_1300,L_1300,1.0,,,1,angry,,13,no
d_main_39_af_08_47,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_47,True,,L_1300,L_130,1.0,,,1,angry,,13,no
d_main_39_af_08_48,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_48,True,,L_130,113,1.0,,,1,angry,,13,no
d_main_39_af_08_49,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_49,True,,113,113,1.0,,,1,angry,,13,no
d_main_39_af_08_50,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_50,True,,113,113,1.0,,,1,angry,,13,no
d_main_39_af_08_51,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_51,True,,113,113,1.0,,,1,angry,,13,no
d_main_39_af_08_52,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_52,True,,113,113,1.0,,,1,angry,,13,no
d_main_39_af_08_53,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_53,True,,L_1300,L_1300,1.0,,,1,angry,,13,idle
d_main_39_af_08_54,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_54,True,,L_1300,L_130,1.0,,,1,angry,,13,idle
d_main_39_af_08_55,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_55,True,,L_130,113,1.0,,,1,worry,,13,idle
d_main_39_af_08_56,d_main_39_af_08,Speech,anis,anis,Locale_MainScenario:d_main_39_af_08_56,True,,113,113,1.0,,,1,worry,,13,idle
d_main_39_af_08_57,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_57,False,,113,113,1.0,,,1,worry,,13,idle
d_main_39_af_08_58,d_main_39_af_08,Narration,avistar,,Locale_MainScenario:d_main_39_af_08_58,False,,black,black,1.0,none,,1,worry,,13,idle
d_main_39_af_08_59,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_59,True,,L_1300,L_1300,1.0,bgm_story_sceneofmemory,,1,worry,,13,worry
d_main_39_af_08_60,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_60,True,,L_1300,L_1300,1.0,,,1,worry,,13,worry
d_main_39_af_08_61,d_main_39_af_08,Speech,avistar,anis,Locale_MainScenario:d_main_39_af_08_61,False,,L_1300,L_1300,1.0,,,1,worry,,13,worry
d_main_39_af_08_62,d_main_39_af_08,Speech,avistar,avistar,Locale_MainScenario:d_main_39_af_08_62,True,,L_1300,L_1300,1.0,,,1,worry,,13,worry
